active_experts,operation,restart_median_us,scope
1,cpu_list_to_cuda_offsets,37.1205,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
1,gpu_counts_cumsum,19.3125,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
1,vllm_make_from_list,20.248,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
2,cpu_list_to_cuda_offsets,37.206,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
2,gpu_counts_cumsum,18.667,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
2,vllm_make_from_list,20.435499999999998,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
4,cpu_list_to_cuda_offsets,35.568,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
4,gpu_counts_cumsum,19.221,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
4,vllm_make_from_list,20.0625,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
8,cpu_list_to_cuda_offsets,36.292,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
8,gpu_counts_cumsum,19.4775,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
8,vllm_make_from_list,20.3205,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
16,cpu_list_to_cuda_offsets,37.338499999999996,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
16,gpu_counts_cumsum,20.1825,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
16,vllm_make_from_list,20.447499999999998,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
32,cpu_list_to_cuda_offsets,37.7755,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
32,gpu_counts_cumsum,17.474,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
32,vllm_make_from_list,20.5065,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
64,cpu_list_to_cuda_offsets,35.6285,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
64,gpu_counts_cumsum,20.194499999999998,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
64,vllm_make_from_list,20.296,standalone host-visible CPU/GPU synchronization benchmark; NOT removable production request latency
