scope,task,phase,cases,total_operator_stage_ms,mean_active_experts,mean_inactive_experts,mean_local_expert_rows,gate_up_pct_of_stage,down_pct_of_stage,swiglu_pct_of_stage,route_weight_pct_of_stage,active_only_optimistic_saved_pct_of_stage,credible_boundary_saved_pct_of_stage,components_evidence
measured_dense_runtime,gsm8k,early,3,1.7776480317115784,45.666666666666664,18.333333333333332,2044.3333333333333,58.3899619718827,35.98732614035314,4.4310233860431465,5.421995658444034,0.1386099141345464,2.805803331286237,standalone components; not jointly additive
measured_dense_runtime,gsm8k,late,3,1.2860800176858902,36.666666666666664,27.333333333333332,546,59.15899516065656,37.45583415942154,6.255287280278466,4.603135082532756,0.26872444692410913,3.878242955835243,standalone components; not jointly additive
measured_dense_runtime,gsm8k,middle,3,1.7812320291996002,48,16,1821.6666666666667,58.600338484180284,36.757479881158936,4.222695232027036,4.9368076474208396,0.08803004686653841,2.800157805085065,standalone components; not jointly additive
measured_dense_runtime,humaneval,early,3,1.9657920002937317,50.666666666666664,13.333333333333334,2068.3333333333335,58.59175357984837,36.718432127671015,3.815663161071732,4.936432763849639,0.12290134808984347,2.5372627259066545,standalone components; not jointly additive
measured_dense_runtime,humaneval,late,3,1.3569760024547577,40,24,378.3333333333333,59.807100068766175,38.1471745306474,5.113723401753018,3.840303731885572,0.1497455919400445,3.6756219418825444,standalone components; not jointly additive
measured_dense_runtime,humaneval,middle,3,1.7427040040493011,52.666666666666664,11.333333333333334,965.6666666666666,59.92526640627588,37.20195715319335,4.313297057877783,3.547590428258919,0.19004900911994801,2.862064216092583,standalone components; not jointly additive
real_route_replay,gsm8k,early,5,2.2970560118556023,37.2,26.8,1104.4,58.67754206078599,37.18986307610157,5.061783389891224,4.764359236225323,0.5244980290483756,2.3767144230130968,standalone components; not jointly additive
real_route_replay,gsm8k,late,4,1.0525440014898777,20.25,43.75,218.75,58.67080105990891,38.64009526236183,9.034111575704703,5.791681940160791,0.3085859000227185,4.149524311472621,standalone components; not jointly additive
real_route_replay,gsm8k,middle,5,2.568927988409996,44.6,19.4,896.2,59.4532817780854,37.66800754387646,4.763387796873718,3.882709124329569,0.14262765787916865,2.125184582237046,standalone components; not jointly additive
real_route_replay,humaneval,early,5,2.2329919636249542,35,29,1337.2,58.24866422587482,36.833809093376594,5.859044724424754,5.46495461745939,0.3231521622770455,2.444901836988027,standalone components; not jointly additive
real_route_replay,humaneval,late,4,0.7556800059974194,13.25,50.75,75,58.522124286830454,40.49333041763443,12.42854119249032,7.719669696286453,0.38534876188892386,5.779638058985296,standalone components; not jointly additive
real_route_replay,humaneval,middle,5,1.7495199851691723,29,35,397.8,58.96474460243382,38.4269979041835,6.914810877029253,4.713521474988581,0.19113768139835174,3.1205394623247154,standalone components; not jointly additive
