task,scope,oracle,real_owner_rank_cases,restart_unit,clean_prior_bct_seconds_median,observer_attributed_production_expert_pie_pct,prior_grouped_operator_replay_gain_pct,hypothetical_post_grouped_expert_pie_pct,measured_replay_expert_stage_saved_pct,projected_optimistic_request_e2e_upper_bound_pct,evidence
gsm8k,dense,O1_active_only,9,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,0.1545529187760044,0.03795396843093607,dense real owner-rank replay; projected full-request ceiling NOT measured
gsm8k,dense,O2_perfect_boundary,9,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,10.703538187935843,2.6284961403608764,dense real owner-rank replay; projected full-request ceiling NOT measured
gsm8k,dense,O2_plus_all_materialization_unrealistic,9,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,15.31530138748319,3.7610190087271014,dense real owner-rank replay; projected full-request ceiling NOT measured
gsm8k,dense,O3_credible_boundary,9,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,3.0884036328375943,0.7584274364471286,dense real owner-rank replay; projected full-request ceiling NOT measured
gsm8k,dense,O4_combined_credible,9,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,3.2429565516135987,0.7963814048780647,dense real owner-rank replay; projected full-request ceiling NOT measured
humaneval,dense,O1_active_only,9,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,0.15319378524921445,0.038305781225952844,dense real owner-rank replay; projected full-request ceiling NOT measured
humaneval,dense,O2_perfect_boundary,9,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,9.301683144146507,2.325866150334818,dense real owner-rank replay; projected full-request ceiling NOT measured
humaneval,dense,O2_plus_all_materialization_unrealistic,9,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,13.38610246202744,3.3471665416743215,dense real owner-rank replay; projected full-request ceiling NOT measured
humaneval,dense,O3_credible_boundary,9,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,2.9539581479498684,0.7386309724112566,dense real owner-rank replay; projected full-request ceiling NOT measured
humaneval,dense,O4_combined_credible,9,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,3.107151933199083,0.7769367536372095,dense real owner-rank replay; projected full-request ceiling NOT measured
gsm8k,compacted,O1_active_only,14,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,0.32035022399658286,0.0786692505369709,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
gsm8k,compacted,O2_perfect_boundary,14,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,11.2895847503995,2.7724131424269522,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
gsm8k,compacted,O2_plus_all_materialization_unrealistic,14,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,15.965654410041436,3.920727918028993,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
gsm8k,compacted,O3_credible_boundary,14,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,2.5828126902897415,0.6342681334433493,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
gsm8k,compacted,O4_combined_credible,14,3,6.074886083602905,29.465566251407633,22.08,24.557264095376453,2.9031629142863244,0.7129373839803202,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
humaneval,compacted,O1_active_only,14,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,0.2843269632102892,0.07109535436868337,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
humaneval,compacted,O2_perfect_boundary,14,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,14.200885741809802,3.55090137341788,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
humaneval,compacted,O2_plus_all_materialization_unrealistic,14,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,20.155264236906298,5.039781092648227,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
humaneval,compacted,O3_credible_boundary,14,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,3.2262199118612425,0.8067094492738459,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
humaneval,compacted,O4_combined_credible,14,3,7.342817783355713,29.552650564922867,20.52,25.004787996874217,3.5105468750715314,0.8778048036425292,future-known compacted worklist sensitivity; post-Epoch latency NOT measured
