active_experts,inactive_experts,operation,repetition,host_visible_latency_us
1,63,gpu_counts_cumsum,0,22.101
1,63,gpu_counts_cumsum,1,18.995
1,63,gpu_counts_cumsum,2,18.21
1,63,gpu_counts_cumsum,3,17.475
1,63,gpu_counts_cumsum,4,16.956
1,63,gpu_counts_cumsum,5,17.932
1,63,gpu_counts_cumsum,6,17.266
1,63,gpu_counts_cumsum,7,17.211
1,63,gpu_counts_cumsum,8,16.769
1,63,gpu_counts_cumsum,9,17.421
1,63,gpu_counts_cumsum,10,16.833
1,63,gpu_counts_cumsum,11,16.883
1,63,gpu_counts_cumsum,12,16.948
1,63,gpu_counts_cumsum,13,16.637
1,63,gpu_counts_cumsum,14,16.47
1,63,gpu_counts_cumsum,15,16.348
1,63,gpu_counts_cumsum,16,16.618
1,63,gpu_counts_cumsum,17,17.087
1,63,gpu_counts_cumsum,18,16.712
1,63,gpu_counts_cumsum,19,18.951
1,63,gpu_counts_cumsum,20,19.153
1,63,gpu_counts_cumsum,21,19.457
1,63,gpu_counts_cumsum,22,19.145
1,63,gpu_counts_cumsum,23,19.327
1,63,gpu_counts_cumsum,24,19.417
1,63,gpu_counts_cumsum,25,19.645
1,63,gpu_counts_cumsum,26,18.984
1,63,gpu_counts_cumsum,27,19.606
1,63,gpu_counts_cumsum,28,19.122
1,63,gpu_counts_cumsum,29,18.867
1,63,gpu_counts_cumsum,30,16.597
1,63,gpu_counts_cumsum,31,16.867
1,63,gpu_counts_cumsum,32,16.791
1,63,gpu_counts_cumsum,33,20.403
1,63,gpu_counts_cumsum,34,17.202
1,63,gpu_counts_cumsum,35,16.551
1,63,gpu_counts_cumsum,36,16.383
1,63,gpu_counts_cumsum,37,16.626
1,63,gpu_counts_cumsum,38,17.046
1,63,gpu_counts_cumsum,39,16.631
1,63,cpu_list_to_cuda_offsets,0,45.981
1,63,cpu_list_to_cuda_offsets,1,40.637
1,63,cpu_list_to_cuda_offsets,2,38.66
1,63,cpu_list_to_cuda_offsets,3,37.099
1,63,cpu_list_to_cuda_offsets,4,36.876
1,63,cpu_list_to_cuda_offsets,5,37.81
1,63,cpu_list_to_cuda_offsets,6,38.917
1,63,cpu_list_to_cuda_offsets,7,38.726
1,63,cpu_list_to_cuda_offsets,8,37.317
1,63,cpu_list_to_cuda_offsets,9,38.177
1,63,cpu_list_to_cuda_offsets,10,38.01
1,63,cpu_list_to_cuda_offsets,11,36.045
1,63,cpu_list_to_cuda_offsets,12,37.113
1,63,cpu_list_to_cuda_offsets,13,38.733
1,63,cpu_list_to_cuda_offsets,14,38.239
1,63,cpu_list_to_cuda_offsets,15,37.816
1,63,cpu_list_to_cuda_offsets,16,57.87
1,63,cpu_list_to_cuda_offsets,17,50.804
1,63,cpu_list_to_cuda_offsets,18,48.91
1,63,cpu_list_to_cuda_offsets,19,36.241
1,63,cpu_list_to_cuda_offsets,20,35.051
1,63,cpu_list_to_cuda_offsets,21,36.282
1,63,cpu_list_to_cuda_offsets,22,35.537
1,63,cpu_list_to_cuda_offsets,23,34.817
1,63,cpu_list_to_cuda_offsets,24,35.894
1,63,cpu_list_to_cuda_offsets,25,35.039
1,63,cpu_list_to_cuda_offsets,26,34.478
1,63,cpu_list_to_cuda_offsets,27,34.42
1,63,cpu_list_to_cuda_offsets,28,35.679
1,63,cpu_list_to_cuda_offsets,29,45.408
1,63,cpu_list_to_cuda_offsets,30,53.481
1,63,cpu_list_to_cuda_offsets,31,51.219
1,63,cpu_list_to_cuda_offsets,32,49.326
1,63,cpu_list_to_cuda_offsets,33,48.8
1,63,cpu_list_to_cuda_offsets,34,50.481
1,63,cpu_list_to_cuda_offsets,35,59.325
1,63,cpu_list_to_cuda_offsets,36,51.299
1,63,cpu_list_to_cuda_offsets,37,48.597
1,63,cpu_list_to_cuda_offsets,38,54.06
1,63,cpu_list_to_cuda_offsets,39,71.124
1,63,vllm_make_from_list,0,47.651
1,63,vllm_make_from_list,1,34.329
1,63,vllm_make_from_list,2,32.056
1,63,vllm_make_from_list,3,31.432
1,63,vllm_make_from_list,4,33.131
1,63,vllm_make_from_list,5,31.586
1,63,vllm_make_from_list,6,31.977
1,63,vllm_make_from_list,7,31.307
1,63,vllm_make_from_list,8,30.998
1,63,vllm_make_from_list,9,31.111
1,63,vllm_make_from_list,10,31.597
1,63,vllm_make_from_list,11,31.246
1,63,vllm_make_from_list,12,31.765
1,63,vllm_make_from_list,13,30.843
1,63,vllm_make_from_list,14,46.368
1,63,vllm_make_from_list,15,34.364
1,63,vllm_make_from_list,16,31.334
1,63,vllm_make_from_list,17,30.987
1,63,vllm_make_from_list,18,31.364
1,63,vllm_make_from_list,19,35.794
1,63,vllm_make_from_list,20,32.524
1,63,vllm_make_from_list,21,31.407
1,63,vllm_make_from_list,22,29.597
1,63,vllm_make_from_list,23,30.646
1,63,vllm_make_from_list,24,39.003
1,63,vllm_make_from_list,25,30.588
1,63,vllm_make_from_list,26,27.492
1,63,vllm_make_from_list,27,27.117
1,63,vllm_make_from_list,28,27.812
1,63,vllm_make_from_list,29,27.114
1,63,vllm_make_from_list,30,27.725
1,63,vllm_make_from_list,31,26.974
1,63,vllm_make_from_list,32,30.103
1,63,vllm_make_from_list,33,32.783
1,63,vllm_make_from_list,34,33.164
1,63,vllm_make_from_list,35,35.452
1,63,vllm_make_from_list,36,30.531
1,63,vllm_make_from_list,37,31.449
1,63,vllm_make_from_list,38,31.811
1,63,vllm_make_from_list,39,53.475
2,62,gpu_counts_cumsum,0,32.962
2,62,gpu_counts_cumsum,1,31.168
2,62,gpu_counts_cumsum,2,29.694
2,62,gpu_counts_cumsum,3,29.454
2,62,gpu_counts_cumsum,4,39.429
2,62,gpu_counts_cumsum,5,29.978
2,62,gpu_counts_cumsum,6,28.733
2,62,gpu_counts_cumsum,7,28.029
2,62,gpu_counts_cumsum,8,28.358
2,62,gpu_counts_cumsum,9,26.062
2,62,gpu_counts_cumsum,10,25.838
2,62,gpu_counts_cumsum,11,25.382
2,62,gpu_counts_cumsum,12,23.888
2,62,gpu_counts_cumsum,13,23.728
