case_id,task,phase,scope,total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
case_000_real,gsm8k,early,real_route_replay,1606,50,14,real,32.12,1,145,1.0628919014118656,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4654180979789544e-08,0.0028226510621607304,0.9999960660934448
case_000_real,gsm8k,early,real_route_replay,1606,50,14,real,32.12,1,145,1.0628919014118656,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4654180979789544e-08,0.0028226510621607304,0.9999960660934448
case_001_real,gsm8k,early,real_route_replay,781,47,17,real,16.617021276595743,1,131,1.5198727786045299,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.498287183210323e-08,0.002824054565280676,0.9999960660934448
case_001_real,gsm8k,early,real_route_replay,781,47,17,real,16.617021276595743,1,131,1.5198727786045299,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.498287183210323e-08,0.002824054565280676,0.9999960660934448
case_006_real,gsm8k,late,real_route_replay,3,3,61,real,1.0,1,1,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3628901562867668e-08,0.0027684776578098536,0.9999961853027344
case_006_real,gsm8k,late,real_route_replay,3,3,61,real,1.0,1,1,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3628901562867668e-08,0.0027684776578098536,0.9999961853027344
case_007_real,gsm8k,late,real_route_replay,67,17,47,real,3.9411764705882355,1,8,0.421625280353001,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4431634554057382e-08,0.002819031709805131,0.9999960660934448
case_007_real,gsm8k,late,real_route_replay,67,17,47,real,3.9411764705882355,1,8,0.421625280353001,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4431634554057382e-08,0.002819031709805131,0.9999960660934448
case_010_real,gsm8k,middle,real_route_replay,532,44,20,real,12.090909090909092,1,40,0.8467247089649499,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4349594401608101e-08,0.002828827127814293,0.9999960660934448
case_010_real,gsm8k,middle,real_route_replay,532,44,20,real,12.090909090909092,1,40,0.8467247089649499,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4349594401608101e-08,0.002828827127814293,0.9999960660934448
case_011_real,gsm8k,middle,real_route_replay,746,43,21,real,17.348837209302324,1,141,1.5498019291024179,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.464071441859005e-08,0.0028218524530529976,0.9999961256980896
case_011_real,gsm8k,middle,real_route_replay,746,43,21,real,17.348837209302324,1,141,1.5498019291024179,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.464071441859005e-08,0.0028218524530529976,0.9999961256980896
case_015_real,humaneval,early,real_route_replay,276,24,40,real,11.5,1,39,0.9294590576709543,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5353881721580365e-08,0.002835474908351898,0.9999959468841553
case_015_real,humaneval,early,real_route_replay,276,24,40,real,11.5,1,39,0.9294590576709543,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5353881721580365e-08,0.002835474908351898,0.9999959468841553
case_016_real,humaneval,early,real_route_replay,1667,44,20,real,37.88636363636363,1,271,1.3240985594254273,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5145449339115657e-08,0.0028241428080946207,0.9999960660934448
case_016_real,humaneval,early,real_route_replay,1667,44,20,real,37.88636363636363,1,271,1.3240985594254273,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5145449339115657e-08,0.0028241428080946207,0.9999960660934448
case_021_real,humaneval,late,real_route_replay,3,3,61,real,1.0,1,1,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,2.0716864668202106e-08,0.0027626638766378164,0.9999961256980896
case_021_real,humaneval,late,real_route_replay,3,3,61,real,1.0,1,1,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,2.0716864668202106e-08,0.0027626638766378164,0.9999961256980896
case_022_real,humaneval,late,real_route_replay,15,5,59,real,3.0,3,3,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5599276537159312e-08,0.0028698593378067017,0.9999958872795105
case_022_real,humaneval,late,real_route_replay,15,5,59,real,3.0,3,3,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5599276537159312e-08,0.0028698593378067017,0.9999958872795105
case_025_real,humaneval,middle,real_route_replay,12,6,58,real,2.0,1,3,0.28867513459481287,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3460431880218948e-08,0.002824727911502123,0.9999960660934448
case_025_real,humaneval,middle,real_route_replay,12,6,58,real,2.0,1,3,0.28867513459481287,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3460431880218948e-08,0.002824727911502123,0.9999960660934448
case_026_real,humaneval,middle,real_route_replay,137,19,45,real,7.2105263157894735,2,33,1.0719742920108508,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4783370083648606e-08,0.0028562135994434357,0.9999960660934448
case_026_real,humaneval,middle,real_route_replay,137,19,45,real,7.2105263157894735,2,33,1.0719742920108508,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4783370083648606e-08,0.0028562135994434357,0.9999960660934448
