active_experts,inactive_experts,operation,repetition,host_visible_latency_us
1,63,gpu_counts_cumsum,0,25.075
1,63,gpu_counts_cumsum,1,21.65
1,63,gpu_counts_cumsum,2,34.474
1,63,gpu_counts_cumsum,3,22.203
1,63,gpu_counts_cumsum,4,19.825
1,63,gpu_counts_cumsum,5,19.933
1,63,gpu_counts_cumsum,6,19.303
1,63,gpu_counts_cumsum,7,20.581
1,63,gpu_counts_cumsum,8,18.282
1,63,gpu_counts_cumsum,9,17.798
1,63,gpu_counts_cumsum,10,17.686
1,63,gpu_counts_cumsum,11,17.039
1,63,gpu_counts_cumsum,12,21.268
1,63,gpu_counts_cumsum,13,17.954
1,63,gpu_counts_cumsum,14,17.109
1,63,gpu_counts_cumsum,15,16.642
1,63,gpu_counts_cumsum,16,17.114
1,63,gpu_counts_cumsum,17,16.936
1,63,gpu_counts_cumsum,18,17.361
1,63,gpu_counts_cumsum,19,19.325
1,63,gpu_counts_cumsum,20,19.506
1,63,gpu_counts_cumsum,21,19.03
1,63,gpu_counts_cumsum,22,19.353
1,63,gpu_counts_cumsum,23,19.568
1,63,gpu_counts_cumsum,24,19.511
1,63,gpu_counts_cumsum,25,39.264
1,63,gpu_counts_cumsum,26,20.25
1,63,gpu_counts_cumsum,27,18.867
1,63,gpu_counts_cumsum,28,19.525
1,63,gpu_counts_cumsum,29,17.185
1,63,gpu_counts_cumsum,30,16.47
1,63,gpu_counts_cumsum,31,16.618
1,63,gpu_counts_cumsum,32,16.499
1,63,gpu_counts_cumsum,33,16.55
1,63,gpu_counts_cumsum,34,16.529
1,63,gpu_counts_cumsum,35,16.476
1,63,gpu_counts_cumsum,36,26.859
1,63,gpu_counts_cumsum,37,18.205
1,63,gpu_counts_cumsum,38,16.363
1,63,gpu_counts_cumsum,39,16.465
1,63,cpu_list_to_cuda_offsets,0,45.971
1,63,cpu_list_to_cuda_offsets,1,38.079
1,63,cpu_list_to_cuda_offsets,2,36.289
1,63,cpu_list_to_cuda_offsets,3,36.7
1,63,cpu_list_to_cuda_offsets,4,35.257
1,63,cpu_list_to_cuda_offsets,5,36.053
1,63,cpu_list_to_cuda_offsets,6,34.73
1,63,cpu_list_to_cuda_offsets,7,34.601
1,63,cpu_list_to_cuda_offsets,8,35.63
1,63,cpu_list_to_cuda_offsets,9,37.873
1,63,cpu_list_to_cuda_offsets,10,44.471
1,63,cpu_list_to_cuda_offsets,11,37.53
1,63,cpu_list_to_cuda_offsets,12,37.869
1,63,cpu_list_to_cuda_offsets,13,38.145
1,63,cpu_list_to_cuda_offsets,14,36.323
1,63,cpu_list_to_cuda_offsets,15,36.222
1,63,cpu_list_to_cuda_offsets,16,39.079
1,63,cpu_list_to_cuda_offsets,17,38.027
1,63,cpu_list_to_cuda_offsets,18,53.224
1,63,cpu_list_to_cuda_offsets,19,43.091
1,63,cpu_list_to_cuda_offsets,20,38.221
1,63,cpu_list_to_cuda_offsets,21,37.471
1,63,cpu_list_to_cuda_offsets,22,36.054
1,63,cpu_list_to_cuda_offsets,23,36.498
1,63,cpu_list_to_cuda_offsets,24,38.702
1,63,cpu_list_to_cuda_offsets,25,39.245
1,63,cpu_list_to_cuda_offsets,26,37.77
1,63,cpu_list_to_cuda_offsets,27,37.759
1,63,cpu_list_to_cuda_offsets,28,37.825
1,63,cpu_list_to_cuda_offsets,29,37.619
1,63,cpu_list_to_cuda_offsets,30,35.716
1,63,cpu_list_to_cuda_offsets,31,36.986
1,63,cpu_list_to_cuda_offsets,32,37.285
1,63,cpu_list_to_cuda_offsets,33,38.029
1,63,cpu_list_to_cuda_offsets,34,38.181
1,63,cpu_list_to_cuda_offsets,35,37.104
1,63,cpu_list_to_cuda_offsets,36,38.074
1,63,cpu_list_to_cuda_offsets,37,35.108
1,63,cpu_list_to_cuda_offsets,38,34.043
1,63,cpu_list_to_cuda_offsets,39,48.093
1,63,vllm_make_from_list,0,30.54
1,63,vllm_make_from_list,1,23.469
1,63,vllm_make_from_list,2,21.312
1,63,vllm_make_from_list,3,21.27
1,63,vllm_make_from_list,4,20.509
1,63,vllm_make_from_list,5,20.075
1,63,vllm_make_from_list,6,21.147
1,63,vllm_make_from_list,7,29.321
1,63,vllm_make_from_list,8,30.18
