active_experts,inactive_experts,operation,repetition,host_visible_latency_us
1,63,gpu_counts_cumsum,0,24.04
1,63,gpu_counts_cumsum,1,19.818
1,63,gpu_counts_cumsum,2,18.296
1,63,gpu_counts_cumsum,3,17.971
1,63,gpu_counts_cumsum,4,18.757
1,63,gpu_counts_cumsum,5,17.505
1,63,gpu_counts_cumsum,6,17.638
1,63,gpu_counts_cumsum,7,17.706
1,63,gpu_counts_cumsum,8,17.086
1,63,gpu_counts_cumsum,9,17.275
1,63,gpu_counts_cumsum,10,21.731
1,63,gpu_counts_cumsum,11,16.821
1,63,gpu_counts_cumsum,12,16.706
1,63,gpu_counts_cumsum,13,17.719
1,63,gpu_counts_cumsum,14,17.026
1,63,gpu_counts_cumsum,15,17.033
1,63,gpu_counts_cumsum,16,16.808
1,63,gpu_counts_cumsum,17,16.835
1,63,gpu_counts_cumsum,18,17.042
1,63,gpu_counts_cumsum,19,16.73
1,63,gpu_counts_cumsum,20,16.734
1,63,gpu_counts_cumsum,21,16.479
1,63,gpu_counts_cumsum,22,16.548
1,63,gpu_counts_cumsum,23,17.037
1,63,gpu_counts_cumsum,24,16.536
1,63,gpu_counts_cumsum,25,16.608
1,63,gpu_counts_cumsum,26,16.886
1,63,gpu_counts_cumsum,27,18.484
1,63,gpu_counts_cumsum,28,19.133
1,63,gpu_counts_cumsum,29,18.606
1,63,gpu_counts_cumsum,30,18.855
1,63,gpu_counts_cumsum,31,18.748
1,63,gpu_counts_cumsum,32,18.544
1,63,gpu_counts_cumsum,33,25.396
1,63,gpu_counts_cumsum,34,21.044
1,63,gpu_counts_cumsum,35,18.715
1,63,gpu_counts_cumsum,36,19.792
1,63,gpu_counts_cumsum,37,17.65
1,63,gpu_counts_cumsum,38,17.135
1,63,gpu_counts_cumsum,39,17.08
1,63,cpu_list_to_cuda_offsets,0,48.294
1,63,cpu_list_to_cuda_offsets,1,39.791
1,63,cpu_list_to_cuda_offsets,2,37.653
1,63,cpu_list_to_cuda_offsets,3,36.593
1,63,cpu_list_to_cuda_offsets,4,36.092
1,63,cpu_list_to_cuda_offsets,5,37.977
1,63,cpu_list_to_cuda_offsets,6,35.782
1,63,cpu_list_to_cuda_offsets,7,37.89
1,63,cpu_list_to_cuda_offsets,8,39.694
1,63,cpu_list_to_cuda_offsets,9,39.35
1,63,cpu_list_to_cuda_offsets,10,39.375
1,63,cpu_list_to_cuda_offsets,11,37.955
1,63,cpu_list_to_cuda_offsets,12,39.096
1,63,cpu_list_to_cuda_offsets,13,38.437
1,63,cpu_list_to_cuda_offsets,14,37.728
1,63,cpu_list_to_cuda_offsets,15,37.348
1,63,cpu_list_to_cuda_offsets,16,50.161
1,63,cpu_list_to_cuda_offsets,17,42.941
1,63,cpu_list_to_cuda_offsets,18,39.95
1,63,cpu_list_to_cuda_offsets,19,38.566
1,63,cpu_list_to_cuda_offsets,20,38.701
1,63,cpu_list_to_cuda_offsets,21,38.142
1,63,cpu_list_to_cuda_offsets,22,37.072
1,63,cpu_list_to_cuda_offsets,23,57.289
1,63,cpu_list_to_cuda_offsets,24,42.928
1,63,cpu_list_to_cuda_offsets,25,40.636
1,63,cpu_list_to_cuda_offsets,26,39.88
1,63,cpu_list_to_cuda_offsets,27,38.429
1,63,cpu_list_to_cuda_offsets,28,38.516
1,63,cpu_list_to_cuda_offsets,29,38.062
