total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,operation,repetition,latency_ms
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_cpu_list_offsets,0,0.2388480007648468
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_cpu_list_offsets,1,0.11984000355005264
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,0,0.09577599912881851
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,1,0.08739200234413147
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,0,0.07052800059318542
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,1,0.07023999840021133
64,1,63,uniform,64.0,64,64,0.0,vllm_fused,0,0.4533439874649048
64,1,63,uniform,64.0,64,64,0.0,vllm_fused,1,0.44412800669670105
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,0,0.10012800246477127
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,1,0.06876800209283829
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_full64_cpu_list_offsets,0,0.13788799941539764
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_full64_cpu_list_offsets,1,0.11392000317573547
64,2,62,uniform,32.0,32,32,0.0,vllm_fused,0,0.3492479920387268
64,2,62,uniform,32.0,32,32,0.0,vllm_fused,1,0.30963200330734253
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_full64_gpu_cumsum,0,0.11091200262308121
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_full64_gpu_cumsum,1,0.08671999722719193
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,0,0.07369600236415863
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,1,0.0759039968252182
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,0,0.07462400197982788
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,1,0.07267200201749802
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_full64_gpu_cumsum,0,0.15091200172901154
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_full64_gpu_cumsum,1,0.13132800161838531
64,2,62,high_variance,32.0,1,63,0.96875,vllm_fused,0,0.5354880094528198
64,2,62,high_variance,32.0,1,63,0.96875,vllm_fused,1,0.4174399971961975
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_full64_cpu_list_offsets,0,0.24665600061416626
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_full64_cpu_list_offsets,1,0.13705599308013916
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,0,0.07606399804353714
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,1,0.07539200037717819
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,0,0.0785600021481514
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,1,0.07321599870920181
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_full64_cpu_list_offsets,0,0.15014399588108063
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_full64_cpu_list_offsets,1,0.12403199821710587
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_full64_gpu_cumsum,0,0.11193600296974182
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_full64_gpu_cumsum,1,0.10169599950313568
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,0,0.09907200187444687
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,1,0.08860799670219421
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,0,0.0872960016131401
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,1,0.09116800129413605
64,4,60,uniform,16.0,16,16,0.0,vllm_fused,0,0.3685759902000427
64,4,60,uniform,16.0,16,16,0.0,vllm_fused,1,0.30457600951194763
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,0,0.0883840024471283
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,1,0.09097599983215332
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,0,0.09366399794816971
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,1,0.09206400066614151
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_full64_cpu_list_offsets,0,0.14204800128936768
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_full64_cpu_list_offsets,1,0.12857599556446075
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_full64_gpu_cumsum,0,0.1058880016207695
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_full64_gpu_cumsum,1,0.1056319996714592
64,4,60,high_variance,16.0,1,31,0.9375,vllm_fused,0,0.33798399567604065
64,4,60,high_variance,16.0,1,31,0.9375,vllm_fused,1,0.2804799973964691
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_full64_cpu_list_offsets,0,0.18592000007629395
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_full64_cpu_list_offsets,1,0.16937600076198578
64,8,56,uniform,8.0,8,8,0.0,vllm_fused,0,0.33001598715782166
64,8,56,uniform,8.0,8,8,0.0,vllm_fused,1,0.26790401339530945
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,0,0.13209599256515503
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,1,0.13391999900341034
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_full64_gpu_cumsum,0,0.1579200029373169
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_full64_gpu_cumsum,1,0.1650560051202774
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,0,0.13414399325847626
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,1,0.1316480040550232
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,0,0.13859200477600098
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,1,0.13171200454235077
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_full64_gpu_cumsum,0,0.14847999811172485
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_full64_gpu_cumsum,1,0.142752006649971
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_full64_cpu_list_offsets,0,0.1783680021762848
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_full64_cpu_list_offsets,1,0.1671680063009262
64,8,56,high_variance,8.0,1,15,0.875,vllm_fused,0,0.3407680094242096
64,8,56,high_variance,8.0,1,15,0.875,vllm_fused,1,0.2845759987831116
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,0,0.13763199746608734
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,1,0.13062399625778198
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_active_prebuilt_oracle,0,0.22111999988555908
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_active_prebuilt_oracle,1,0.21606400609016418
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_full64_prebuilt,0,0.21596799790859222
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_full64_prebuilt,1,0.21190400421619415
64,16,48,uniform,4.0,4,4,0.0,vllm_fused,0,0.5238080024719238
64,16,48,uniform,4.0,4,4,0.0,vllm_fused,1,0.4848960041999817
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_full64_cpu_list_offsets,0,0.2911039888858795
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_full64_cpu_list_offsets,1,0.2553600072860718
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_full64_gpu_cumsum,0,0.233024001121521
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_full64_gpu_cumsum,1,0.2223999947309494
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_full64_prebuilt,0,0.21379199624061584
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_full64_prebuilt,1,0.20713600516319275
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_full64_gpu_cumsum,0,0.22723199427127838
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_full64_gpu_cumsum,1,0.22806400060653687
64,16,48,high_variance,4.0,1,7,0.75,vllm_fused,0,0.38150399923324585
64,16,48,high_variance,4.0,1,7,0.75,vllm_fused,1,0.33635199069976807
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_active_prebuilt_oracle,0,0.20988799631595612
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_active_prebuilt_oracle,1,0.21094399690628052
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_full64_cpu_list_offsets,0,0.26678401231765747
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_full64_cpu_list_offsets,1,0.24611200392246246
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_full64_gpu_cumsum,0,0.40355199575424194
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_full64_gpu_cumsum,1,0.39763200283050537
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_active_prebuilt_oracle,0,0.3717760145664215
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_active_prebuilt_oracle,1,0.36054399609565735
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_full64_cpu_list_offsets,0,0.42559999227523804
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_full64_cpu_list_offsets,1,0.3964160084724426
64,32,32,uniform,2.0,2,2,0.0,vllm_fused,0,0.5303679704666138
64,32,32,uniform,2.0,2,2,0.0,vllm_fused,1,0.49219200015068054
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_full64_prebuilt,0,0.3664959967136383
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_full64_prebuilt,1,0.36444801092147827
64,32,32,high_variance,2.0,1,3,0.5,torch_grouped_full64_prebuilt,0,0.36953601241111755
64,32,32,high_variance,2.0,1,3,0.5,torch_grouped_full64_prebuilt,1,0.3685759902000427
64,32,32,high_variance,2.0,1,3,0.5,torch_grouped_full64_cpu_list_offsets,0,0.4264959990978241
64,32,32,high_variance,2.0,1,3,0.5,torch_grouped_full64_cpu_list_offsets,1,0.4107840061187744
64,32,32,high_variance,2.0,1,3,0.5,torch_grouped_full64_gpu_cumsum,0,0.38649600744247437
64,32,32,high_variance,2.0,1,3,0.5,torch_grouped_full64_gpu_cumsum,1,0.38518399000167847
64,32,32,high_variance,2.0,1,3,0.5,vllm_fused,0,0.5036799907684326
64,32,32,high_variance,2.0,1,3,0.5,vllm_fused,1,0.4684480130672455
64,32,32,high_variance,2.0,1,3,0.5,torch_grouped_active_prebuilt_oracle,0,0.3776319921016693
64,32,32,high_variance,2.0,1,3,0.5,torch_grouped_active_prebuilt_oracle,1,0.37542399764060974
