total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.677403815847356e-08,0.0028021112084388733,0.9999961853027344
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.677403815847356e-08,0.0028021112084388733,0.9999961853027344
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4780350277021626e-08,0.0028303328435868025,0.9999960660934448
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4780350277021626e-08,0.0028303328435868025,0.9999960660934448
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.493177848033156e-08,0.0028004469349980354,0.9999961853027344
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.493177848033156e-08,0.0028004469349980354,0.9999961853027344
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3775215634836968e-08,0.002825637347996235,0.9999960660934448
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3775215634836968e-08,0.002825637347996235,0.9999960660934448
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4695613614890135e-08,0.0028108202386647463,0.9999960660934448
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4695613614890135e-08,0.0028108202386647463,0.9999960660934448
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5600630121070935e-08,0.0028219283558428288,0.9999959468841553
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5600630121070935e-08,0.0028219283558428288,0.9999959468841553
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4617343779832481e-08,0.0028173758182674646,0.9999960660934448
64,8,56,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4617343779832481e-08,0.0028173758182674646,0.9999960660934448
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3024514800008546e-08,0.002820212859660387,0.9999960064888
64,16,48,uniform,4.0,4,4,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3024514800008546e-08,0.002820212859660387,0.9999960064888
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5324168600727717e-08,0.002818930195644498,0.9999960660934448
64,16,48,high_variance,4.0,1,7,0.75,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5324168600727717e-08,0.002818930195644498,0.9999960660934448
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3958649347500796e-08,0.002799240406602621,0.9999960660934448
64,32,32,uniform,2.0,2,2,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3958649347500796e-08,0.002799240406602621,0.9999960660934448
