total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,operation,repetition,latency_ms
64,1,63,uniform,64.0,64,64,0.0,down_full64_prebuilt,0,0.09424000233411789
64,1,63,uniform,64.0,64,64,0.0,down_full64_prebuilt,1,0.060896001756191254
64,1,63,uniform,64.0,64,64,0.0,route_weight,0,0.030592000111937523
64,1,63,uniform,64.0,64,64,0.0,route_weight,1,0.023264000192284584
64,1,63,uniform,64.0,64,64,0.0,down_active_prebuilt,0,0.030719999223947525
64,1,63,uniform,64.0,64,64,0.0,down_active_prebuilt,1,0.026976000517606735
64,1,63,uniform,64.0,64,64,0.0,gate_up_active_prebuilt,0,0.03526400029659271
64,1,63,uniform,64.0,64,64,0.0,gate_up_active_prebuilt,1,0.03654399886727333
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,0,0.03587200120091438
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,1,0.03276799991726875
64,1,63,uniform,64.0,64,64,0.0,swiglu,0,0.026655999943614006
64,1,63,uniform,64.0,64,64,0.0,swiglu,1,0.022304000332951546
64,2,62,uniform,32.0,32,32,0.0,down_active_prebuilt,0,0.03814399987459183
64,2,62,uniform,32.0,32,32,0.0,down_active_prebuilt,1,0.030751999467611313
64,2,62,uniform,32.0,32,32,0.0,gate_up_full64_prebuilt,0,0.04064000025391579
64,2,62,uniform,32.0,32,32,0.0,gate_up_full64_prebuilt,1,0.04092799872159958
64,2,62,uniform,32.0,32,32,0.0,gate_up_active_prebuilt,0,0.038656000047922134
64,2,62,uniform,32.0,32,32,0.0,gate_up_active_prebuilt,1,0.04025600105524063
64,2,62,uniform,32.0,32,32,0.0,route_weight,0,0.020576000213623047
64,2,62,uniform,32.0,32,32,0.0,route_weight,1,0.015615999698638916
64,2,62,uniform,32.0,32,32,0.0,down_full64_prebuilt,0,0.03030399978160858
64,2,62,uniform,32.0,32,32,0.0,down_full64_prebuilt,1,0.029664000496268272
64,2,62,uniform,32.0,32,32,0.0,swiglu,0,0.028192000463604927
64,2,62,uniform,32.0,32,32,0.0,swiglu,1,0.02147199958562851
64,2,62,high_variance,32.0,1,63,0.96875,swiglu,0,0.0666240006685257
64,2,62,high_variance,32.0,1,63,0.96875,swiglu,1,0.04678399860858917
64,2,62,high_variance,32.0,1,63,0.96875,down_full64_prebuilt,0,0.03596799820661545
64,2,62,high_variance,32.0,1,63,0.96875,down_full64_prebuilt,1,0.03811199963092804
64,2,62,high_variance,32.0,1,63,0.96875,gate_up_full64_prebuilt,0,0.04598399996757507
64,2,62,high_variance,32.0,1,63,0.96875,gate_up_full64_prebuilt,1,0.043327998369932175
64,2,62,high_variance,32.0,1,63,0.96875,gate_up_active_prebuilt,0,0.040063999593257904
64,2,62,high_variance,32.0,1,63,0.96875,gate_up_active_prebuilt,1,0.04227200150489807
64,2,62,high_variance,32.0,1,63,0.96875,route_weight,0,0.015584000386297703
64,2,62,high_variance,32.0,1,63,0.96875,route_weight,1,0.015519999898970127
64,2,62,high_variance,32.0,1,63,0.96875,down_active_prebuilt,0,0.030912000685930252
64,2,62,high_variance,32.0,1,63,0.96875,down_active_prebuilt,1,0.029952000826597214
64,4,60,uniform,16.0,16,16,0.0,swiglu,0,0.039135999977588654
64,4,60,uniform,16.0,16,16,0.0,swiglu,1,0.033215999603271484
64,4,60,uniform,16.0,16,16,0.0,gate_up_active_prebuilt,0,0.05852799862623215
64,4,60,uniform,16.0,16,16,0.0,gate_up_active_prebuilt,1,0.052639998495578766
64,4,60,uniform,16.0,16,16,0.0,down_active_prebuilt,0,0.043935999274253845
64,4,60,uniform,16.0,16,16,0.0,down_active_prebuilt,1,0.03846399858593941
64,4,60,uniform,16.0,16,16,0.0,route_weight,0,0.014816000126302242
64,4,60,uniform,16.0,16,16,0.0,route_weight,1,0.014208000153303146
64,4,60,uniform,16.0,16,16,0.0,down_full64_prebuilt,0,0.03814399987459183
64,4,60,uniform,16.0,16,16,0.0,down_full64_prebuilt,1,0.036320000886917114
64,4,60,uniform,16.0,16,16,0.0,gate_up_full64_prebuilt,0,0.04927999898791313
64,4,60,uniform,16.0,16,16,0.0,gate_up_full64_prebuilt,1,0.05164799839258194
64,4,60,high_variance,16.0,1,31,0.9375,gate_up_full64_prebuilt,0,0.05366399884223938
64,4,60,high_variance,16.0,1,31,0.9375,gate_up_full64_prebuilt,1,0.05161599814891815
64,4,60,high_variance,16.0,1,31,0.9375,down_full64_prebuilt,0,0.03923200070858002
64,4,60,high_variance,16.0,1,31,0.9375,down_full64_prebuilt,1,0.03961599990725517
64,4,60,high_variance,16.0,1,31,0.9375,swiglu,0,0.021983999758958817
64,4,60,high_variance,16.0,1,31,0.9375,swiglu,1,0.021407999098300934
64,4,60,high_variance,16.0,1,31,0.9375,gate_up_active_prebuilt,0,0.04867200180888176
64,4,60,high_variance,16.0,1,31,0.9375,gate_up_active_prebuilt,1,0.047359999269247055
64,4,60,high_variance,16.0,1,31,0.9375,route_weight,0,0.014655999839305878
64,4,60,high_variance,16.0,1,31,0.9375,route_weight,1,0.016992000862956047
64,4,60,high_variance,16.0,1,31,0.9375,down_active_prebuilt,0,0.04169600084424019
64,4,60,high_variance,16.0,1,31,0.9375,down_active_prebuilt,1,0.03686400130391121
64,8,56,uniform,8.0,8,8,0.0,route_weight,0,0.024191999807953835
64,8,56,uniform,8.0,8,8,0.0,route_weight,1,0.015552000142633915
