total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5105820594385477e-08,0.002818630775436759,0.9999960660934448
64,1,63,uniform,64.0,64,64,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5105820594385477e-08,0.002818630775436759,0.9999960660934448
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.38810358762953e-08,0.0028222487308084965,0.9999960064888
64,2,62,uniform,32.0,32,32,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.38810358762953e-08,0.0028222487308084965,0.9999960064888
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5619768589658634e-08,0.0028015621937811375,0.9999961256980896
64,2,62,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5619768589658634e-08,0.0028015621937811375,0.9999961256980896
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5073535308829378e-08,0.0028073936700820923,0.9999960660934448
64,4,60,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5073535308829378e-08,0.0028073936700820923,0.9999960660934448
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.3950588240163597e-08,0.0028440270107239485,0.9999959468841553
64,4,60,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.3950588240163597e-08,0.0028440270107239485,0.9999959468841553
64,8,56,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4593808828067267e-08,0.002831040881574154,0.9999960064888
