active_experts,inactive_experts,operation,repetition,host_visible_latency_us
1,63,gpu_counts_cumsum,0,24.666
1,63,gpu_counts_cumsum,1,22.656
1,63,gpu_counts_cumsum,2,21.217
1,63,gpu_counts_cumsum,3,21.304
1,63,gpu_counts_cumsum,4,18.858
1,63,gpu_counts_cumsum,5,17.844
1,63,gpu_counts_cumsum,6,17.973
1,63,gpu_counts_cumsum,7,18.582
1,63,gpu_counts_cumsum,8,18.188
1,63,gpu_counts_cumsum,9,29.158
1,63,gpu_counts_cumsum,10,20.495
1,63,gpu_counts_cumsum,11,18.22
1,63,gpu_counts_cumsum,12,20.157
1,63,gpu_counts_cumsum,13,20.655
1,63,gpu_counts_cumsum,14,20.174
1,63,gpu_counts_cumsum,15,18.003
1,63,gpu_counts_cumsum,16,38.405
1,63,gpu_counts_cumsum,17,21.74
1,63,gpu_counts_cumsum,18,20.217
1,63,gpu_counts_cumsum,19,20.375
1,63,gpu_counts_cumsum,20,20.326
1,63,gpu_counts_cumsum,21,19.827
1,63,gpu_counts_cumsum,22,19.653
1,63,gpu_counts_cumsum,23,19.697
1,63,gpu_counts_cumsum,24,19.852
1,63,gpu_counts_cumsum,25,20.025
1,63,gpu_counts_cumsum,26,19.716
1,63,gpu_counts_cumsum,27,19.454
1,63,gpu_counts_cumsum,28,19.915
1,63,gpu_counts_cumsum,29,19.847
1,63,gpu_counts_cumsum,30,19.867
1,63,gpu_counts_cumsum,31,19.747
1,63,gpu_counts_cumsum,32,19.844
1,63,gpu_counts_cumsum,33,20.043
1,63,gpu_counts_cumsum,34,18.852
1,63,gpu_counts_cumsum,35,17.645
1,63,gpu_counts_cumsum,36,19.087
1,63,gpu_counts_cumsum,37,20.031
1,63,gpu_counts_cumsum,38,19.239
1,63,gpu_counts_cumsum,39,19.279
1,63,cpu_list_to_cuda_offsets,0,47.114
1,63,cpu_list_to_cuda_offsets,1,47.954
1,63,cpu_list_to_cuda_offsets,2,39.078
1,63,cpu_list_to_cuda_offsets,3,37.761
1,63,cpu_list_to_cuda_offsets,4,38.137
1,63,cpu_list_to_cuda_offsets,5,40.3
1,63,cpu_list_to_cuda_offsets,6,49.751
1,63,cpu_list_to_cuda_offsets,7,39.212
1,63,cpu_list_to_cuda_offsets,8,36.902
1,63,cpu_list_to_cuda_offsets,9,38.164
1,63,cpu_list_to_cuda_offsets,10,37.521
1,63,cpu_list_to_cuda_offsets,11,37.386
1,63,cpu_list_to_cuda_offsets,12,36.541
1,63,cpu_list_to_cuda_offsets,13,39.942
1,63,cpu_list_to_cuda_offsets,14,39.721
1,63,cpu_list_to_cuda_offsets,15,36.226
1,63,cpu_list_to_cuda_offsets,16,37.146
1,63,cpu_list_to_cuda_offsets,17,39.249
1,63,cpu_list_to_cuda_offsets,18,36.47
1,63,cpu_list_to_cuda_offsets,19,35.642
1,63,cpu_list_to_cuda_offsets,20,39.892
1,63,cpu_list_to_cuda_offsets,21,46.246
1,63,cpu_list_to_cuda_offsets,22,38.601
1,63,cpu_list_to_cuda_offsets,23,38.053
1,63,cpu_list_to_cuda_offsets,24,39.398
1,63,cpu_list_to_cuda_offsets,25,35.998
1,63,cpu_list_to_cuda_offsets,26,36.822
1,63,cpu_list_to_cuda_offsets,27,37.667
1,63,cpu_list_to_cuda_offsets,28,36.701
1,63,cpu_list_to_cuda_offsets,29,35.763
1,63,cpu_list_to_cuda_offsets,30,35.962
1,63,cpu_list_to_cuda_offsets,31,37.312
1,63,cpu_list_to_cuda_offsets,32,35.24
1,63,cpu_list_to_cuda_offsets,33,38.234
1,63,cpu_list_to_cuda_offsets,34,37.348
1,63,cpu_list_to_cuda_offsets,35,35.949
1,63,cpu_list_to_cuda_offsets,36,35.564
1,63,cpu_list_to_cuda_offsets,37,36.98
1,63,cpu_list_to_cuda_offsets,38,38.588
1,63,cpu_list_to_cuda_offsets,39,38.377
1,63,vllm_make_from_list,0,28.958
1,63,vllm_make_from_list,1,22.892
1,63,vllm_make_from_list,2,32.902
1,63,vllm_make_from_list,3,27.433
1,63,vllm_make_from_list,4,23.118
1,63,vllm_make_from_list,5,21.594
1,63,vllm_make_from_list,6,21.914
1,63,vllm_make_from_list,7,20.793
1,63,vllm_make_from_list,8,20.478
1,63,vllm_make_from_list,9,20.377
1,63,vllm_make_from_list,10,21.394
1,63,vllm_make_from_list,11,20.896
1,63,vllm_make_from_list,12,21.392
1,63,vllm_make_from_list,13,21.206
1,63,vllm_make_from_list,14,22.268
1,63,vllm_make_from_list,15,21.438
1,63,vllm_make_from_list,16,21.493
1,63,vllm_make_from_list,17,20.906
1,63,vllm_make_from_list,18,20.901
1,63,vllm_make_from_list,19,20.883
1,63,vllm_make_from_list,20,21.416
1,63,vllm_make_from_list,21,20.896
1,63,vllm_make_from_list,22,21.376
1,63,vllm_make_from_list,23,20.801
1,63,vllm_make_from_list,24,20.761
1,63,vllm_make_from_list,25,20.616
1,63,vllm_make_from_list,26,20.582
1,63,vllm_make_from_list,27,20.669
1,63,vllm_make_from_list,28,21.791
1,63,vllm_make_from_list,29,20.902
1,63,vllm_make_from_list,30,21.786
1,63,vllm_make_from_list,31,20.886
1,63,vllm_make_from_list,32,20.253
1,63,vllm_make_from_list,33,20.492
1,63,vllm_make_from_list,34,20.294
1,63,vllm_make_from_list,35,20.85
1,63,vllm_make_from_list,36,21.223
1,63,vllm_make_from_list,37,20.237
1,63,vllm_make_from_list,38,21.315
1,63,vllm_make_from_list,39,33.283
2,62,gpu_counts_cumsum,0,20.694
2,62,gpu_counts_cumsum,1,22.199
2,62,gpu_counts_cumsum,2,20.69
2,62,gpu_counts_cumsum,3,20.313
2,62,gpu_counts_cumsum,4,19.28
2,62,gpu_counts_cumsum,5,17.859
2,62,gpu_counts_cumsum,6,17.551
2,62,gpu_counts_cumsum,7,20.05
2,62,gpu_counts_cumsum,8,19.921
2,62,gpu_counts_cumsum,9,20.045
2,62,gpu_counts_cumsum,10,20.28
2,62,gpu_counts_cumsum,11,20.125
2,62,gpu_counts_cumsum,12,18.733
2,62,gpu_counts_cumsum,13,17.72
2,62,gpu_counts_cumsum,14,31.101
2,62,gpu_counts_cumsum,15,18.924
2,62,gpu_counts_cumsum,16,17.681
2,62,gpu_counts_cumsum,17,17.66
2,62,gpu_counts_cumsum,18,17.784
2,62,gpu_counts_cumsum,19,19.947
