total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,operation,repetition,latency_ms
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,0,0.0692799985408783
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,1,0.06313599646091461
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,2,0.03622400015592575
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,3,0.0342399999499321
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,4,0.03455999866127968
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,5,0.038047999143600464
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,6,0.035999998450279236
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,7,0.0352960005402565
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,8,0.03654399886727333
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,9,0.033504001796245575
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,10,0.03302399814128876
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,11,0.035840000957250595
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,12,0.036959998309612274
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,13,0.03385600075125694
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,14,0.03420799970626831
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,15,0.0387520007789135
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,16,0.0342399999499321
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,17,0.03580800071358681
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,18,0.03667199984192848
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,19,0.03481600061058998
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,20,0.03356799855828285
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,21,0.037408001720905304
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,22,0.03267199918627739
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,23,0.03654399886727333
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,24,0.036288000643253326
64,1,63,uniform,64.0,64,64,0.0,gate_up_full64_prebuilt,25,0.03545600175857544
