case_id,task,phase,scope,total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,operation,repetition,latency_ms
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,0,0.21721599996089935
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,1,0.17715199291706085
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,2,0.11158400028944016
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,3,0.08883199840784073
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,4,0.08035200089216232
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,5,0.08928000181913376
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,6,0.07433599978685379
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,7,0.07568000257015228
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,8,0.07385600358247757
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,9,0.08460800349712372
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,10,0.0769599974155426
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,11,0.07423999905586243
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,12,0.07459200173616409
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,13,0.07401599735021591
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,14,0.07382400333881378
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,15,0.07267200201749802
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,16,0.10150399804115295
synthetic,control,control,synthetic,64,1,63,uniform,64.0,64,64,0.0,torch_grouped_full64_gpu_cumsum,17,0.07763200253248215
