policy,request_id,driver_dp_rank,greedy_token_agreement,logit_cosine,logit_rel_l2,logit_max_abs
N0_stock,coffee,0,True,,,
N0_stock,method,0,True,,,
N0_stock,coffee_rocket,0,True,,,
N0_stock,coffee,1,True,,,
N0_stock,method,1,True,,,
N0_stock,coffee_rocket,1,True,,,
N1_sequential,coffee,0,True,,,
N1_sequential,method,0,True,,,
N1_sequential,coffee_rocket,0,True,,,
N1_sequential,coffee,1,True,,,
N1_sequential,method,1,True,,,
N1_sequential,coffee_rocket,1,True,,,
N2_concurrent,coffee,0,True,,,
N2_concurrent,method,0,True,,,
N2_concurrent,coffee_rocket,0,True,,,
N2_concurrent,coffee,1,True,,,
N2_concurrent,method,1,True,,,
N2_concurrent,coffee_rocket,1,True,,,
N0_stock,coffee,0,,0.9999999999999999,0.0,0.0
N0_stock,method,0,,0.9999999999999999,0.0,0.0
N0_stock,coffee_rocket,0,,0.9999999999999999,0.0,0.0
N1_sequential,coffee,0,,0.9999999999999999,0.0,0.0
N1_sequential,method,0,,0.9997927934777083,0.020386599146903706,0.375
N1_sequential,coffee_rocket,0,,0.9999999999999999,0.0,0.0
N2_concurrent,coffee,0,,0.9999999999999999,0.0,0.0
N2_concurrent,method,0,,0.9952222525180345,0.10138832609860506,1.484375
N2_concurrent,coffee_rocket,0,,0.9999999999999999,0.0,0.0
