block_id,iteration_id,model_call,model_positions,masked_before,total_block_positions,active_ratio,phase,naive_ms,deepep_high_throughput_ms,winner
0,0,1,320,64,64,1.0,early,19.95964801311493,17.251871943473816,deepep_high_throughput
0,0,2,256,64,64,1.0,early,17.89785599708557,17.109375953674316,deepep_high_throughput
0,1,1,256,60,64,0.9375,early,22.394240260124207,16.915935814380646,deepep_high_throughput
0,2,1,256,57,64,0.890625,early,18.10870385169983,16.936863899230957,deepep_high_throughput
0,3,1,256,53,64,0.828125,early,17.948191821575165,16.71648019552231,deepep_high_throughput
0,4,1,256,45,64,0.703125,early,23.098879873752594,16.880064129829407,deepep_high_throughput
0,5,1,256,32,64,0.5,middle,19.147679924964905,17.105664014816284,deepep_high_throughput
0,6,1,256,3,64,0.046875,late,17.811904072761536,16.943104147911072,deepep_high_throughput
0,7,1,256,2,64,0.03125,late,23.814240217208862,16.84883213043213,deepep_high_throughput
0,8,1,256,1,64,0.015625,late,18.223007917404175,16.583616137504578,deepep_high_throughput
1,9,1,320,64,64,1.0,early,18.069023728370667,17.26307213306427,deepep_high_throughput
1,9,2,192,64,64,1.0,early,24.90064001083374,16.92630386352539,deepep_high_throughput
1,10,1,192,0,64,0.0,late,17.241792023181915,16.688704013824463,deepep_high_throughput
1,11,1,192,0,64,0.0,late,16.361952006816864,16.431680023670197,naive
1,12,1,192,0,64,0.0,late,22.34780788421631,16.328192114830017,deepep_high_throughput
2,13,1,320,64,64,1.0,early,17.495807766914368,17.364287972450256,deepep_high_throughput
2,13,2,128,64,64,1.0,early,15.947008073329926,16.014400124549866,naive
2,14,1,128,0,64,0.0,late,22.386208176612854,16.521664083003998,deepep_high_throughput
2,15,1,128,0,64,0.0,late,15.694303810596466,16.280096113681793,naive
2,16,1,128,0,64,0.0,late,16.12035197019577,16.032096087932587,deepep_high_throughput
3,17,1,320,64,64,1.0,early,25.335935950279236,17.512832164764404,deepep_high_throughput
3,17,2,64,64,64,1.0,early,23.797151923179626,15.991967916488647,deepep_high_throughput
3,18,1,64,0,64,0.0,late,17.83590394258499,15.728608012199402,deepep_high_throughput
3,19,1,64,0,64,0.0,late,15.910463809967041,15.674239993095398,deepep_high_throughput
3,20,1,64,0,64,0.0,late,15.660831987857819,15.619360029697418,deepep_high_throughput
