config_id,assignments,fanout,remote_fraction_actual,active_experts_per_active_rank,critical_rank_assignments,remote_assignments,remote_dispatch_bytes,combine_bytes,repetition,dispatch_ms,expert_ms,combine_ms,total_ms,total_transport_bytes,fragmentation_proxy
0,1024,4,0.75,8,256,768,3153408,4194304,14.5,0.49878399074077606,0.33612799644470215,0.0599040016531944,0.6266079843044281,10501120,0.03125
1,1024,4,0.25,16,768,256,1051136,4194304,14.5,0.4700479954481125,0.32500800490379333,0.0595679990947246,0.6191680133342743,6296576,0.020833333333333332
2,4096,3,0.5,8,2048,2048,8409088,16777216,14.5,0.45126399397850037,0.3375360071659088,0.3887999951839447,0.6388640105724335,33595392,0.00390625
3,1024,2,0.25,16,768,256,1051136,4194304,14.5,0.46825599670410156,0.32988800108432764,0.39444799721241,0.6500800251960754,6296576,0.020833333333333332
4,256,4,0.25,2,192,64,262784,1048576,14.5,0.5389440059661865,0.32704000174999237,0.05932799912989135,0.6095679998397827,1574144,0.010416666666666666
5,256,3,0.75,2,96,192,788352,1048576,14.5,0.5309759974479675,0.33048000931739807,0.39022399485111237,0.6494239866733551,2625280,0.020833333333333332
6,1024,2,0.25,8,768,256,1051136,4194304,14.5,0.4652640074491501,0.32193599641323084,0.37758399546146393,0.6149599850177765,6296576,0.010416666666666666
7,256,4,0.5,8,128,128,525568,1048576,14.5,0.49335999786853785,0.3192319869995117,0.05742399953305715,0.6057919859886169,2099712,0.0625
8,1024,2,0.75,2,768,768,3153408,4194304,14.5,0.4671200066804886,0.3247199952602386,0.3812320083379745,0.6170720160007477,10501120,0.0026041666666666665
9,256,1,0.0,8,256,0,0,1048576,14.5,0.2031999975442886,0.3207359910011291,0.3765280097723007,0.6133440136909485,1048576,0.03125
10,1024,4,0.25,8,768,256,1051136,4194304,14.5,0.48104000091552734,0.32390400767326355,0.05577600002288815,0.594543993473053,6296576,0.010416666666666666
11,1024,3,0.25,16,768,256,1051136,4194304,14.5,0.4424639940261841,0.31806400418281555,0.36559998989105225,0.6232799887657166,6296576,0.020833333333333332
12,1024,3,0.25,2,768,256,1051136,4194304,14.5,0.5085119903087616,0.3216640055179596,0.37779200077056885,0.6203199923038483,6296576,0.0026041666666666665
13,256,3,0.25,16,192,64,262784,1048576,14.5,0.4837759882211685,0.33241601288318634,0.39403200149536133,0.6541759967803955,1574144,0.08333333333333333
14,256,2,0.25,2,192,64,262784,1048576,14.5,0.5133920013904572,0.3199519962072372,0.37668800354003906,0.6233280003070831,1574144,0.010416666666666666
15,4096,3,0.25,16,3072,1024,4204544,16777216,14.5,0.5292640030384064,0.43700800836086273,0.4559199959039688,0.7187680006027222,25186304,0.005208333333333333
16,256,3,0.25,8,192,64,262784,1048576,14.5,0.49708800017833704,0.3312480002641678,0.4145919978618622,0.7314240038394928,1574144,0.041666666666666664
17,256,4,0.75,8,64,192,788352,1048576,14.5,0.48606400191783905,0.32872000336647034,0.05715199932456015,0.602512001991272,2625280,0.125
18,1024,2,0.5,16,512,512,2102272,4194304,14.5,0.43328000605106354,0.32046400010585785,0.37774400413036346,0.61735999584198,8398848,0.03125
19,4096,2,0.75,16,3072,3072,12613632,16777216,14.5,0.30804799497127533,0.32959999144077295,0.3588799983263016,0.6358879804611206,42004480,0.005208333333333333
20,4096,3,0.75,16,1536,3072,12613632,16777216,14.5,0.3840799927711487,0.3360960036516189,0.3740639984607696,0.6498080193996429,42004480,0.010416666666666666
