dataset,layer,rank,slow_wave,fast_wave,pairs_slow,pairs_fast,expert_ms_slow,expert_ms_fast,latency_ratio,active_experts_slow,active_experts_fast,rows_p50_slow,rows_p50_fast,tiny_le4_slow,tiny_le4_fast
gsm8k,9,0,61,63,76,74,1.6332160234451294,0.4662719964981079,3.50271094063389,18,17,2.5,2.0,0.6666666666666666,0.5882352941176471
gsm8k,9,2,61,59,81,83,1.5206079483032227,0.46668800711631775,3.258296603118462,24,23,2.0,2.0,0.7916666666666666,0.782608695652174
gsm8k,9,0,61,62,76,76,1.6332160234451294,0.5182399749755859,3.1514666994225395,18,17,2.5,3.0,0.6666666666666666,0.6470588235294118
gsm8k,10,0,61,34,60,62,1.3012160062789917,0.4872319996356964,2.6706292018010136,25,23,2.0,2.0,0.84,0.8695652173913043
gsm8k,29,2,33,57,169,162,1.1825599670410156,0.5073919892311096,2.3306634557495483,38,29,2.0,2.0,0.7894736842105263,0.6896551724137931
gsm8k,12,0,64,34,97,99,0.9302719831466675,0.46006399393081665,2.0220490962536823,23,19,2.0,3.0,0.6956521739130435,0.5789473684210527
humaneval,21,2,78,77,111,107,0.9276800155639648,0.46188798546791077,2.0084523623713406,27,24,3.0,3.0,0.7407407407407407,0.5833333333333334
gsm8k,12,0,64,63,97,94,0.9302719831466675,0.4661119878292084,1.9958121812724874,23,20,2.0,2.5,0.6956521739130435,0.6
humaneval,14,1,28,27,68,69,0.976032018661499,0.49033600091934204,1.9905371354163564,25,24,2.0,2.0,0.88,0.875
humaneval,30,2,7,10,317,310,1.2242560386657715,0.6166080236434937,1.9854688744264601,36,32,4.0,3.0,0.6111111111111112,0.59375
humaneval,4,2,19,18,112,108,1.0022720098495483,0.520255982875824,1.9264978065399263,31,30,3.0,3.0,0.8387096774193549,0.8
humaneval,4,2,19,20,112,112,1.0022720098495483,0.5232959985733032,1.915306084094106,31,31,3.0,3.0,0.8387096774193549,0.8064516129032258
humaneval,22,1,18,25,72,72,0.7742400169372559,0.4223040044307709,1.8333712416032242,17,17,3.0,3.0,0.6470588235294118,0.6470588235294118
gsm8k,10,2,62,63,63,65,0.8431360125541687,0.4710719883441925,1.7898241318015382,18,22,2.0,1.0,0.7222222222222222,0.8181818181818182
gsm8k,10,2,61,59,59,58,0.8863040208816528,0.49564799666404724,1.7881723054403753,19,18,2.0,2.5,0.7368421052631579,0.7777777777777778
humaneval,22,3,18,19,87,84,0.7688320279121399,0.435808002948761,1.764153073624335,19,21,3.0,3.0,0.6842105263157895,0.6666666666666666
gsm8k,10,2,62,64,63,62,0.8431360125541687,0.48028799891471863,1.7554800754117499,18,23,2.0,1.0,0.7222222222222222,0.782608695652174
humaneval,21,2,78,80,111,113,0.9276800155639648,0.537056028842926,1.727343081061074,27,30,3.0,2.5,0.7407407407407407,0.7
humaneval,24,3,81,83,91,88,0.8128319978713989,0.4787519872188568,1.697814358104838,22,22,2.5,2.0,0.6818181818181818,0.7727272727272727
humaneval,9,2,77,78,176,179,0.8862720131874084,0.5426239967346191,1.6333078126304412,37,34,3.0,3.0,0.6486486486486487,0.6470588235294118
humaneval,1,2,27,28,88,85,0.8800640106201172,0.5422080159187317,1.6231113978071927,34,32,1.5,2.0,0.9117647058823529,0.90625
humaneval,27,2,17,21,218,220,0.8609920144081116,0.5362240076065063,1.6056573413250224,25,25,5.0,4.0,0.48,0.52
humaneval,11,2,2,50,1164,1158,1.3137279748916626,0.8189120292663574,1.604235776178057,40,44,8.0,13.5,0.35,0.22727272727272727
gsm8k,2,2,12,36,1745,1752,1.090656042098999,0.6818559765815735,1.5995401955218016,60,26,19.5,4.5,0.1,0.5
gsm8k,2,3,37,36,2353,2364,1.102560043334961,0.6929280161857605,1.5911610117946018,60,20,9.0,11.0,0.35,0.4
gsm8k,2,2,19,36,1790,1752,1.08188796043396,0.6818559765815735,1.586681055225053,61,26,19.0,4.5,0.18032786885245902,0.5
humaneval,22,2,78,79,171,170,0.7397440075874329,0.46691200137138367,1.58433281949212,23,23,3.0,4.0,0.6521739130434783,0.6086956521739131
humaneval,1,2,27,84,88,90,0.8800640106201172,0.556768000125885,1.5806655742088898,34,38,1.5,2.0,0.9117647058823529,0.9473684210526315
humaneval,27,2,17,71,218,217,0.8609920144081116,0.5460479855537415,1.5767698758836894,25,26,5.0,7.0,0.48,0.34615384615384615
gsm8k,1,3,37,36,1488,1493,0.9094719886779785,0.5772479772567749,1.5755308368511125,49,15,5.0,5.0,0.46938775510204084,0.3333333333333333
gsm8k,10,3,62,63,38,38,0.7448319792747498,0.4732480049133301,1.5738724126500168,13,12,2.0,2.0,0.7692307692307693,0.75
humaneval,22,2,78,75,171,172,0.7397440075874329,0.4702720046043396,1.5730130655126109,23,22,3.0,3.5,0.6521739130434783,0.5454545454545454
humaneval,25,2,81,83,18,18,0.74099200963974,0.47539201378822327,1.5586967979016906,10,10,1.0,1.0,1.0,1.0
humaneval,11,2,2,49,1164,1201,1.3137279748916626,0.8435519933700562,1.5573764097731744,40,45,8.0,11.0,0.35,0.26666666666666666
gsm8k,11,2,61,33,53,54,0.70387202501297,0.45337599515914917,1.552512776433805,15,18,1.0,2.0,0.8,0.7777777777777778
humaneval,23,1,74,76,133,133,0.7568640112876892,0.4878079891204834,1.5515613277517515,27,24,3.0,3.0,0.7037037037037037,0.625
gsm8k,12,0,50,27,1004,970,1.2125439643859863,0.7818880081176758,1.55078982130072,46,42,6.5,11.0,0.43478260869565216,0.2619047619047619
gsm8k,11,1,32,56,342,329,0.6391680240631104,0.41571199893951416,1.5375260413306207,32,16,3.0,11.5,0.59375,0.375
gsm8k,10,1,62,61,98,101,0.73471999168396,0.48211199045181274,1.5239612501556223,27,25,2.0,2.0,0.7777777777777778,0.76
humaneval,11,1,78,14,199,208,0.7657600045204163,0.5040959715843201,1.5190758262037165,24,23,4.0,5.0,0.5416666666666666,0.4782608695652174
humaneval,9,2,77,76,176,176,0.8862720131874084,0.5841919779777527,1.517090351454911,37,37,3.0,3.0,0.6486486486486487,0.6756756756756757
humaneval,23,3,74,73,98,95,0.7124159932136536,0.47046399116516113,1.5142837849274478,25,26,3.0,3.0,0.72,0.7692307692307693
humaneval,22,0,74,73,215,207,0.7920960187911987,0.5259519815444946,1.5060234519226519,33,32,4.0,4.0,0.5151515151515151,0.5625
gsm8k,10,2,33,57,85,85,0.773311972618103,0.5162240266799927,1.4980162345242392,31,30,2.0,2.0,0.8709677419354839,0.9
humaneval,1,3,27,26,13,13,0.7897599935531616,0.5277439951896667,1.4964831447666753,9,8,1.0,1.5,1.0,1.0
humaneval,11,2,78,79,144,145,0.7052479982376099,0.4729599952697754,1.4911366823643042,23,23,2.0,3.0,0.6521739130434783,0.6521739130434783
humaneval,22,0,74,72,215,218,0.7920960187911987,0.5359359979629517,1.4779675591896981,33,34,4.0,5.0,0.5151515151515151,0.47058823529411764
humaneval,1,0,27,82,64,64,0.7864639759063721,0.5340160131454468,1.4727348179579167,37,34,1.0,1.0,0.972972972972973,0.9117647058823529
humaneval,23,3,74,76,98,98,0.7124159932136536,0.4840640127658844,1.471739221312886,25,25,3.0,2.0,0.72,0.68
gsm8k,23,3,58,33,147,144,0.7361599802970886,0.5009599924087524,1.4694985456970933,27,25,3.0,2.0,0.6296296296296297,0.8
gsm8k,11,2,61,62,53,51,0.70387202501297,0.48185598850250244,1.4607518466262965,15,12,1.0,2.0,0.8,0.75
humaneval,22,2,43,45,2575,2528,1.4143680334091187,0.9789440035820007,1.4447895162888598,49,49,19.0,24.0,0.22448979591836735,0.24489795918367346
gsm8k,7,2,23,48,599,596,1.1483839750289917,0.7955520153045654,1.443505833605801,43,46,6.0,8.0,0.3953488372093023,0.3695652173913043
humaneval,23,2,74,76,139,134,0.740447998046875,0.5149440169334412,1.437919412009755,25,26,3.0,2.5,0.68,0.7307692307692307
gsm8k,15,2,11,5,971,976,0.9995200037956238,0.7000960111618042,1.4276898994709706,30,29,15.0,14.0,0.3333333333333333,0.3103448275862069
gsm8k,7,0,23,25,1658,1644,1.4032319784164429,0.9829760193824768,1.4275342945781917,59,57,12.0,11.0,0.2542372881355932,0.2631578947368421
gsm8k,7,2,31,56,147,153,0.7349119782447815,0.5195840001106262,1.4144238045981192,27,30,3.0,3.0,0.6296296296296297,0.6666666666666666
humaneval,13,3,19,72,156,153,0.6530879735946655,0.4620800018310547,1.4133655882243676,34,24,2.0,3.0,0.7352941176470589,0.625
humaneval,22,2,43,42,2575,2614,1.4143680334091187,1.0011520385742188,1.4127405018556198,49,50,19.0,24.5,0.22448979591836735,0.24
humaneval,23,2,74,75,139,142,0.740447998046875,0.5246080160140991,1.4114309645374825,25,27,3.0,2.0,0.68,0.7037037037037037
humaneval,16,1,69,17,210,216,0.7165759801864624,0.5086719989776611,1.4087191385148992,39,24,2.0,7.0,0.6923076923076923,0.4166666666666667
gsm8k,17,2,48,26,639,631,1.046015977859497,0.7438399791717529,1.4062379102346845,45,38,7.0,8.5,0.4,0.3157894736842105
gsm8k,7,0,23,26,1658,1662,1.4032319784164429,0.9984959959983826,1.4053456238583815,59,57,12.0,13.0,0.2542372881355932,0.2982456140350877
gsm8k,1,0,30,36,264,272,0.7731519937515259,0.5501760244369507,1.40528114532575,46,24,5.0,4.0,0.4782608695652174,0.5416666666666666
humaneval,28,2,47,46,1391,1377,1.2112959623336792,0.865119993686676,1.4001479230317952,46,45,18.0,18.0,0.1956521739130435,0.15555555555555556
humaneval,11,2,78,74,144,144,0.7052479982376099,0.5038400292396545,1.3997458663653626,23,25,2.0,3.0,0.6521739130434783,0.72
humaneval,1,0,27,28,64,62,0.7864639759063721,0.566208004951477,1.3890018668559279,37,36,1.0,1.0,0.972972972972973,0.9722222222222222
gsm8k,14,2,64,59,45,46,0.650111973285675,0.4711360037326813,1.3798817499299911,14,15,2.0,1.0,0.8571428571428571,0.8666666666666667
humaneval,13,1,69,18,158,159,0.7081279754638672,0.5140159726142883,1.377638075840959,37,24,3.0,6.0,0.6486486486486487,0.4166666666666667
gsm8k,15,2,11,7,971,969,0.9995200037956238,0.726207971572876,1.3763550427996376,30,30,15.0,14.5,0.3333333333333333,0.3
humaneval,23,2,25,71,170,174,0.7334399819374084,0.5337600111961365,1.3741006567610723,27,26,4.0,4.0,0.7037037037037037,0.5384615384615384
gsm8k,4,2,44,36,736,749,0.9234560132026672,0.6722239851951599,1.373732615230279,55,27,8.0,3.0,0.32727272727272727,0.6666666666666666
humaneval,1,0,10,20,151,148,0.7334079742431641,0.5346239805221558,1.371820196929551,40,33,3.0,4.0,0.825,0.5151515151515151
humaneval,8,2,60,62,711,679,1.2473280429840088,0.9110720157623291,1.3690773302265478,54,55,8.0,7.0,0.42592592592592593,0.41818181818181815
gsm8k,11,0,24,25,1166,1147,1.233728051185608,0.9041919708251953,1.3644536680188248,51,51,13.0,14.0,0.23529411764705882,0.23529411764705882
gsm8k,24,2,59,34,42,43,0.6288319826126099,0.4619840085506439,1.3611553018586262,15,16,2.0,2.0,0.6666666666666666,0.875
gsm8k,24,2,59,61,42,41,0.6288319826126099,0.46454399824142456,1.3536543039908233,15,16,2.0,2.0,0.6666666666666666,0.75
humaneval,11,1,78,20,199,199,0.7657600045204163,0.565887987613678,1.3532006709483069,24,28,4.0,3.0,0.5416666666666666,0.6428571428571429
gsm8k,6,0,31,56,306,317,0.9886080026626587,0.7309759855270386,1.352449358442146,42,41,4.0,4.0,0.5952380952380952,0.5121951219512195
humaneval,31,1,25,70,59,60,0.5559359788894653,0.4121919870376587,1.3487306798098282,18,20,3.0,3.0,0.6666666666666666,0.85
