target,sample_filter,observations,model,features,leave_dataset_out_rmse_ms,leave_dataset_out_r2,winner_accuracy_10pct
expert_ms,raw,18600,M0_count,full_pairs+layer,0.057440974399013134,0.9120768477738641,0.8611827956989248
expert_ms,raw,18600,M1_shape,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4,0.035340837395456924,0.9667177004677944,0.9573118279569892
expert_ms,raw,18600,M2_shape_ep,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4+global_rank_load_cv+rank_fanout_mean+remote_fraction,0.03522909275181817,0.9669278391747397,0.9582795698924731
expert_ms,group_p99_trimmed,18352,M0_count,full_pairs+layer,0.05346937555452842,0.9222992388291639,0.8651918047079338
expert_ms,group_p99_trimmed,18352,M1_shape,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4,0.029291851472317425,0.9766810658772273,0.9611486486486487
expert_ms,group_p99_trimmed,18352,M2_shape_ep,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4+global_rank_load_cv+rank_fanout_mean+remote_fraction,0.029154444496897948,0.9768993292298823,0.9623474280732345
dispatch_ms,raw,18600,M0_count,full_pairs+layer,0.11146794672692047,0.004296761086727496,0.17720430107526883
dispatch_ms,raw,18600,M1_shape,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4,0.11059762559102289,0.019784594940929323,0.17188172043010752
dispatch_ms,raw,18600,M2_shape_ep,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4+global_rank_load_cv+rank_fanout_mean+remote_fraction,0.11036306816961794,0.023937902767879216,0.1693010752688172
dispatch_ms,group_p99_trimmed,18352,M0_count,full_pairs+layer,0.09549810437666505,0.012424151065701494,0.1809612031386225
dispatch_ms,group_p99_trimmed,18352,M1_shape,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4,0.09458931197757434,0.031130929941781904,0.1727332170880558
dispatch_ms,group_p99_trimmed,18352,M2_shape_ep,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4+global_rank_load_cv+rank_fanout_mean+remote_fraction,0.09416334435275156,0.03983757065483262,0.17436791630340018
combine_ms,raw,18600,M0_count,full_pairs+layer,0.08031311809518496,-0.0031126908682239662,0.11596774193548387
combine_ms,raw,18600,M1_shape,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4,0.075151648793324,0.121677968324018,0.12763440860215053
combine_ms,raw,18600,M2_shape_ep,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4+global_rank_load_cv+rank_fanout_mean+remote_fraction,0.07346411807545637,0.16068054721174385,0.12505376344086022
combine_ms,group_p99_trimmed,18352,M0_count,full_pairs+layer,0.07211417628130605,0.008493642607355745,0.121512641673932
combine_ms,group_p99_trimmed,18352,M1_shape,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4,0.06690190004029954,0.14664229722102018,0.13121185701830862
combine_ms,group_p99_trimmed,18352,M2_shape_ep,full_pairs+layer+full_active_experts+full_rows_p50+full_rows_p90+full_rows_max+full_tiny_le1+full_tiny_le4+global_rank_load_cv+rank_fanout_mean+remote_fraction,0.06510635574872464,0.19183324233563215,0.1323561464690497
