request_id,r0,r1,r2,r3,dominant_rank,max_over_mean
q0000,15249,15457,16290,18540,3,1.131591796875
q0001,23112,22558,25571,27063,3,1.1011962890625
q0002,59322,64543,68201,70078,3,1.069305419921875
q0003,14441,15057,17530,18508,3,1.129638671875
q0004,56954,57267,63348,68191,3,1.1098795572916667
q0005,15626,14609,16677,18624,3,1.13671875
q0006,15009,15635,16182,18710,3,1.1419677734375
q0007,15706,15313,16186,18331,3,1.11883544921875
q0008,81388,77426,89741,95509,3,1.1103631882440477
q0009,22537,23310,24539,27918,3,1.135986328125
q0010,15350,15411,16107,18668,3,1.139404296875
q0011,15504,15403,15805,18824,3,1.14892578125
q0012,19148,19560,19742,23470,3,1.14599609375
q0013,23618,22766,23659,28261,3,1.1499430338541667
q0014,34943,34027,37980,40506,3,1.0987955729166667
q0015,15385,15187,16755,18209,3,1.11138916015625
q0016,18986,19522,19945,23467,3,1.145849609375
q0017,23135,22568,25102,27499,3,1.1189371744791667
q0018,15637,14856,16294,18749,3,1.14434814453125
q0019,19239,19030,20824,22827,3,1.114599609375
q0020,15001,15298,17312,17925,3,1.09405517578125
q0021,37918,37816,40937,47169,3,1.1515869140625
q0022,38027,38425,42173,45215,3,1.1038818359375
q0023,40795,39899,47660,51870,3,1.1512340198863635
q0024,19721,18583,21211,22405,3,1.093994140625
q0025,127036,134625,145156,150239,3,1.0788071576286764
q0026,47799,47895,50511,50403,2,1.02764892578125
q0027,27400,26944,28420,31924,3,1.1134207589285714
q0028,15126,15546,16470,18394,3,1.1226806640625
q0029,14927,15582,16996,18031,3,1.10052490234375
