start_epoch,end_epoch,wall_seconds,physical_gpu_set,gpu_count,gpu_hours,kind,dataset,configuration,status,log
1789275001.311,1789275068.487,67.176,"0,1,2,3",4,0.074640,clean_baseline,gsm8k,b32_mini32_restart1,PASS,logs/clean_gsm8k_ep4_b32_mini32_r1_g32.log
1789276071.294,1789276141.409,70.115,"0,1,2,3",4,0.077906,clean_baseline,gsm8k,b32_mini32_restart2,PASS,logs/clean_gsm8k_ep4_b32_mini32_r2_g32.log
1789276141.858,1789276208.736,66.878,"0,1,2,3",4,0.074309,clean_baseline,gsm8k,b32_mini32_restart3,PASS,logs/clean_gsm8k_ep4_b32_mini32_r3_g32.log
1789276209.224,1789276277.769,68.545,"0,1,2,3",4,0.076161,clean_baseline,humaneval,b32_mini32_restart1,PASS,logs/clean_humaneval_ep4_b32_mini32_r1_g32.log
1789276278.209,1789276346.122,67.913,"0,1,2,3",4,0.075459,clean_baseline,humaneval,b32_mini32_restart2,PASS,logs/clean_humaneval_ep4_b32_mini32_r2_g32.log
1789276346.584,1789276421.573,74.989,"0,1,2,3",4,0.083321,clean_baseline,humaneval,b32_mini32_restart3,PASS,logs/clean_humaneval_ep4_b32_mini32_r3_g32.log
1789275086.560,1789275153.391,66.831,"0,1,2,3",4,0.074257,pairwise_setup,gsm8k,wave0_layer16_event_api,FAIL_FIXED,logs/pair_gsm8k_wave0_layer16_rsmoke.log
1789275192.608,1789275259.172,66.564,"0,1,2,3",4,0.073960,pairwise_smoke,gsm8k,wave0_layer16,PASS,logs/pair_gsm8k_wave0_layer16_rsmoke2.log
1789275282.027,1789275351.967,69.940,"0,1,2,3",4,0.077711,pairwise_probe,gsm8k,wave0_layer16_restart1,PASS,logs/pair_gsm8k_wave0_layer16_r1.log
1789275418.274,1789275487.524,69.250,"0,1,2,3",4,0.076944,pairwise_probe,gsm8k,wave0_layer16_restart2,PASS,logs/pair_gsm8k_wave0_layer16_r2.log
1789275532.790,1789275604.326,71.536,"0,1,2,3",4,0.079484,pairwise_probe,gsm8k,wave30_layer16,PASS,logs/pair_gsm8k_wave30_layer16_r1.log
1789275613.994,1789275681.831,67.837,"0,1,2,3",4,0.075374,pairwise_probe,gsm8k,wave60_layer16,PASS,logs/pair_gsm8k_wave60_layer16_r1.log
1789275730.750,1789275804.126,73.376,"0,1,2,3",4,0.081529,pairwise_probe,humaneval,wave0_layer16,PASS,logs/pair_humaneval_wave0_layer16_r1.log
1789275808.823,1789275883.259,74.436,"0,1,2,3",4,0.082707,pairwise_probe,humaneval,wave40_layer16,PASS,logs/pair_humaneval_wave40_layer16_r1.log
1789275887.962,1789275971.094,83.132,"0,1,2,3",4,0.092369,pairwise_probe,humaneval,wave80_layer16,PASS,logs/pair_humaneval_wave80_layer16_r1.log
1789276450.934,1789276512.018,61.084,"0,1,2,3",4,0.067871,cross_state_setup,gsm8k,missing_deepep_capacity_env,FAIL_FIXED,/tmp/failed_phase_pair_log_r1_1789276663.log
1789276663.802,1789276737.438,73.636,"0,1,2,3",4,0.081818,cross_state_probe,gsm8k,waves0_30_60_layer16,PASS,logs/phase_pair_gsm8k_waves0-30-60_layer16_r1.log
1789276743.646,1789276818.885,75.239,"0,1,2,3",4,0.083599,cross_state_probe,humaneval,waves0_40_80_layer16,PASS,logs/phase_pair_humaneval_waves0-40-80_layer16_r1.log
