operation,phase,duration_ms,tensorcore_util_percent,sm_util_percent,hbm_gbps,nvlink_gbps,kernel_count,idle_sync_ms,main_resource,evidence
attention,all,NA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,TensorCore_SM_HBM,"source classification; dispatch overlap regressed in all six sampled states"
router_topk,all,NA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,TensorCore_SM_HBM,"production source path; not isolated by the post-layer replay"
route_metadata_prep,all,NA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,SM_HBM_startup,"production source path; input-dependent offsets and layout"
deepep_dispatch,gsm8k_early,0.420336,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_dispatch,gsm8k_middle,0.391968,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_dispatch,gsm8k_late,0.312432,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_dispatch,humaneval_early,0.415008,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_dispatch,humaneval_middle,0.395792,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_dispatch,humaneval_late,0.318400,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
fused_routed_expert,gsm8k_early,1.027680,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,TensorCore_SM_HBM,"prior exhaustive same-substrate trace; owner-rank fused BF16 expert"
fused_routed_expert,gsm8k_middle,1.036416,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,TensorCore_SM_HBM,"prior exhaustive same-substrate trace; owner-rank fused BF16 expert"
fused_routed_expert,gsm8k_late,0.787008,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,TensorCore_SM_HBM,"prior exhaustive same-substrate trace; owner-rank fused BF16 expert"
fused_routed_expert,humaneval_early,1.080544,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,TensorCore_SM_HBM,"prior exhaustive same-substrate trace; owner-rank fused BF16 expert"
fused_routed_expert,humaneval_middle,0.901632,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,TensorCore_SM_HBM,"prior exhaustive same-substrate trace; owner-rank fused BF16 expert"
fused_routed_expert,humaneval_late,0.621760,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,TensorCore_SM_HBM,"prior exhaustive same-substrate trace; owner-rank fused BF16 expert"
deepep_combine,gsm8k_early,0.249824,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_combine,gsm8k_middle,0.214240,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_combine,gsm8k_late,0.145952,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_combine,humaneval_early,0.269824,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_combine,humaneval_middle,0.186768,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
deepep_combine,humaneval_late,0.137232,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,NVLink_communication_SM_startup,"prior exhaustive same-substrate trace; same-rank critical duration"
shared_expert,all,NA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,NA,NA,TensorCore_SM_HBM,"source-classified; clean E2E mass ceiling 2.98% GSM8K / 3.50% HumanEval"
