accepted_set_change_fraction,aligned_rows,baseline_live_ratio,baseline_wave,benchmark_correct,benchmark_delta_vs_baseline,benchmark_total,confidence_logit_margin_abs_change_mean,elapsed_seconds_observer,final_sequence_exact,final_sequence_total,layers,live_aligned_rows,live_top1_flip_fraction,mode,nfe,per_sample_score_flips,phase,policy,policy_live_ratio,policy_wave,sampled_js_mean,sampled_kl_mean,sampled_logits_rows,task,top1_flip_fraction
,,,,5,0,32,,8.92961859703064,32,32,,,,none,66,0,"early,middle,late",baseline,,,,,,gsm8k,
0.0244140625,1024,1.0,36,5,0,32,0.3294677734375,7.366389274597168,23,32,"1,6",1024,0.162109375,layer_bypass,67,0,early,greedy_layer_bypass_early_k02,1.0,36,nan,nan,16,gsm8k,0.162109375
0.0341796875,1024,1.0,36,5,0,32,0.46697998046875,6.907649517059326,25,32,"1,2,6,21",1024,0.2509765625,layer_bypass,64,0,early,greedy_layer_bypass_early_k04,1.0,36,nan,nan,16,gsm8k,0.2509765625
0.0654296875,1024,1.0,36,5,0,32,0.87298583984375,6.690847873687744,20,32,"1,2,4,6,8,11,18,21",1024,0.4375,layer_bypass,61,0,early,greedy_layer_bypass_early_k08,1.0,36,nan,nan,16,gsm8k,0.4375
0.1611328125,1024,1.0,36,2,-3,32,1.61322021484375,7.835209369659424,0,32,"1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,25",1024,0.7587890625,layer_bypass,69,3,early,greedy_layer_bypass_early_k16,1.0,36,nan,nan,16,gsm8k,0.7587890625
0.031746031746031744,960,0.328125,8,5,0,32,0.3761904761904762,4.7366790771484375,17,32,"5,6",315,0.23174603174603176,layer_bypass,63,0,late,greedy_layer_bypass_late_k02,0.328125,8,nan,nan,16,gsm8k,0.109375
0.05714285714285714,960,0.328125,8,4,-1,32,0.5115079365079365,4.796757698059082,11,32,"1,3,5,6",315,0.23174603174603176,layer_bypass,64,1,late,greedy_layer_bypass_late_k04,0.328125,8,nan,nan,16,gsm8k,0.14270833333333333
0.06349206349206349,960,0.328125,8,4,-1,32,0.7446428571428572,5.811083793640137,8,32,"1,3,5,6,7,12,13,18",315,0.4984126984126984,layer_bypass,79,1,late,greedy_layer_bypass_late_k08,0.328125,8,nan,nan,16,gsm8k,0.30833333333333335
0.2,960,0.328125,8,0,-5,32,1.404563492063492,6.910566091537476,1,32,"1,3,4,5,6,7,8,9,12,13,15,16,18,21,24,25",315,0.8158730158730159,layer_bypass,92,5,late,greedy_layer_bypass_late_k16,0.328125,8,nan,nan,16,gsm8k,0.6770833333333334
0.04259634888438134,992,0.4969758064516129,0,5,0,32,0.41024340770791073,6.800694227218628,3,32,"1,2",493,0.2718052738336714,layer_bypass,63,0,middle,greedy_layer_bypass_middle_k02,0.4969758064516129,0,nan,nan,16,gsm8k,0.17540322580645162
0.05476673427991886,992,0.4969758064516129,0,3,-2,32,0.7145030425963489,7.298987627029419,1,32,"1,2,3,5",493,0.5010141987829615,layer_bypass,67,2,middle,greedy_layer_bypass_middle_k04,0.4969758064516129,0,nan,nan,16,gsm8k,0.34274193548387094
0.11764705882352941,992,0.4969758064516129,0,0,-5,32,0.9629817444219066,11.979981660842896,0,32,"1,2,3,5,6,7,8,12",493,0.7748478701825557,layer_bypass,108,5,middle,greedy_layer_bypass_middle_k08,0.4969758064516129,0,nan,nan,16,gsm8k,0.6028225806451613
0.12778904665314403,992,0.4969758064516129,0,0,-5,32,0.9331896551724138,9.623671770095825,0,32,"1,2,3,4,5,6,7,8,9,10,11,12,14,25,26,27",493,0.8782961460446247,layer_bypass,106,5,middle,greedy_layer_bypass_middle_k16,0.4969758064516129,0,nan,nan,16,gsm8k,0.8346774193548387
0.0244140625,1024,1.0,36,5,0,32,0.30706787109375,4.97574520111084,27,32,"10,11",1024,0.1474609375,routed_bypass,67,0,early,greedy_routed_bypass_early_k02,1.0,36,nan,nan,16,gsm8k,0.1474609375
