accepted_set_change_fraction,aligned_rows,baseline_live_ratio,baseline_wave,benchmark_correct,benchmark_delta_vs_baseline,benchmark_total,confidence_logit_margin_abs_change_mean,elapsed_seconds_observer,final_sequence_exact,final_sequence_total,layers,live_aligned_rows,live_top1_flip_fraction,mode,nfe,per_sample_score_flips,phase,policy,policy_live_ratio,policy_wave,sampled_js_mean,sampled_kl_mean,sampled_logits_rows,task,top1_flip_fraction
,,,,6,0,32,,7.979009628295898,32,32,,,,none,86,0,"early,middle,late",baseline,,,,,,humaneval,
0.02369077306733167,1024,0.783203125,29,6,0,32,0.46485349127182046,6.521814346313477,22,32,"1,6",802,0.19576059850374064,layer_bypass,84,0,early,greedy_layer_bypass_early_k02,0.783203125,29,nan,nan,16,humaneval,0.181640625
0.0798004987531172,1024,0.783203125,29,6,0,32,0.8228647132169576,6.587730646133423,22,32,"1,2,6,21",802,0.29301745635910226,layer_bypass,86,0,early,greedy_layer_bypass_early_k04,0.783203125,29,nan,nan,16,humaneval,0.27734375
0.21072319201995013,1024,0.783203125,29,6,0,32,1.4586190773067331,7.234869956970215,18,32,"1,2,4,6,8,11,18,21",802,0.47381546134663344,layer_bypass,93,0,early,greedy_layer_bypass_early_k08,0.783203125,29,nan,nan,16,humaneval,0.451171875
0.31546134663341646,1024,0.783203125,29,6,0,32,2.3439837905236907,8.104951858520508,0,32,"1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,25",802,0.8354114713216958,layer_bypass,105,4,early,greedy_layer_bypass_early_k16,0.783203125,29,nan,nan,16,humaneval,0.81640625
0.07792207792207792,576,0.13368055555555555,2,7,1,32,0.5478896103896104,6.689288139343262,16,32,"5,6",77,0.23376623376623376,layer_bypass,92,1,late,greedy_layer_bypass_late_k02,0.13368055555555555,2,nan,nan,16,humaneval,0.14583333333333334
0.1038961038961039,576,0.13368055555555555,2,7,1,32,1.0073051948051948,7.748915910720825,14,32,"1,3,5,6",77,0.35064935064935066,layer_bypass,106,1,late,greedy_layer_bypass_late_k04,0.13368055555555555,2,nan,nan,16,humaneval,0.22916666666666666
0.16883116883116883,576,0.13368055555555555,2,5,-1,32,1.025974025974026,7.610398769378662,11,32,"1,3,5,6,7,12,13,18",77,0.7792207792207793,layer_bypass,104,1,late,greedy_layer_bypass_late_k08,0.13368055555555555,2,nan,nan,16,humaneval,0.3993055555555556
0.18181818181818182,576,0.13368055555555555,2,3,-3,32,1.1225649350649352,9.222581148147583,13,32,"1,3,4,5,6,7,8,9,12,13,15,16,18,21,24,25",77,0.935064935064935,layer_bypass,126,5,late,greedy_layer_bypass_late_k16,0.13368055555555555,2,nan,nan,16,humaneval,0.6336805555555556
0.09056603773584905,576,0.4600694444444444,0,5,-1,32,0.5117924528301887,7.50618839263916,8,32,"1,2",265,0.3433962264150943,layer_bypass,97,1,middle,greedy_layer_bypass_middle_k02,0.4600694444444444,0,nan,nan,16,humaneval,0.3038194444444444
