oracle,criterion,policy,mode,phase,layers,gsm8k_optimistic_e2e_percent,humaneval_optimistic_e2e_percent,median_optimistic_e2e_percent,gsm8k_post_epoch_percent,humaneval_post_epoch_percent,gsm8k_final_sequence_exact,humaneval_final_sequence_exact
O2_greedy_multi_layer,benchmark_vector_safe,greedy_layer_bypass_early_k02,layer_bypass,early,"1,6",0.2197729038812267,0.0780061541309153,0.148889529006071,0.1986326392012454,0.061094663684564524,23,22
O2_greedy_multi_layer,benchmark_vector_safe,greedy_layer_bypass_early_k04,layer_bypass,early,"1,2,6,21",0.4818968303901543,0.16755090817893792,0.3247238692845461,0.43554249660750766,0.13122639488233223,25,22
O2_greedy_multi_layer,benchmark_vector_safe,greedy_layer_bypass_early_k08,layer_bypass,early,"1,2,4,6,8,11,18,21",0.9751239729329765,0.43043111908637466,0.7027775460096756,0.8813254267084666,0.3371149975656958,20,18
O2_greedy_multi_layer,benchmark_vector_safe,greedy_routed_bypass_early_k02,routed_bypass,early,"10,11",0.1237851698037187,0.052323455111222994,0.08805431245747085,0.11187810024740397,0.040979893553907076,27,22
O2_greedy_multi_layer,benchmark_vector_safe,greedy_routed_bypass_early_k04,routed_bypass,early,"10,11,13,23",0.2398606962800783,0.10562571778176559,0.17274320703092194,0.21678815860079342,0.08272639224704688,25,22
O2_greedy_multi_layer,benchmark_vector_safe,greedy_routed_bypass_early_k08,routed_bypass,early,"1,4,7,10,11,13,23,26",0.5133586295937593,0.20596387497925972,0.3596612522865095,0.4639779411025628,0.16131155052086552,24,20
O2_greedy_multi_layer,benchmark_vector_safe,greedy_routed_bypass_late_k02,routed_bypass,late,"3,5",1.7084185341086642,0.9617386979710703,1.3350786160398673,0.3089415072060576,0.1652988387137777,20,20
O2_greedy_multi_layer,benchmark_vector_safe,greedy_routed_bypass_late_k04,routed_bypass,late,"3,5,8,25",3.363656026720003,1.9759795306174004,2.6698177786687016,0.6082660319298082,0.3396214818248657,16,19
O2_greedy_multi_layer,benchmark_vector_safe,greedy_routed_bypass_middle_k02,routed_bypass,middle,"5,26",1.6475720973642027,2.5718758876385195,2.109723992501361,0.7324388053806588,1.180450846865336,10,10
O2_greedy_multi_layer,benchmark_vector_safe,greedy_stale_routed_early_k02,stale_routed,early,"6,9",0.1191839310546865,0.0515337863956144,0.08535885872515045,0.10771946112413316,0.04036142254812768,30,32
O2_greedy_multi_layer,benchmark_vector_safe,greedy_stale_routed_early_k04,stale_routed,early,"6,9,11,14",0.2429738423373714,0.1036275760998841,0.17330070921862775,0.21960184676097388,0.08116144143760454,29,32
O2_greedy_multi_layer,benchmark_vector_safe,greedy_stale_routed_early_k08,stale_routed,early,"6,9,11,14,16,18,20,22",0.4887626792740193,0.207234670356948,0.34799867481548363,0.44174790983213363,0.16230684143190655,29,32
O2_greedy_multi_layer,benchmark_vector_safe,greedy_stale_routed_early_k16,stale_routed,early,"1,6,8,9,10,11,14,15,16,17,18,20,22,23,27,28",0.9781158560345102,0.4189227778028509,0.6985193169186805,0.8840295163671281,0.3281016287088735,30,32
O2_greedy_multi_layer,benchmark_vector_safe,greedy_stale_routed_late_k04,stale_routed,late,"6,15,26,29",3.4918064439784917,1.8579962642574146,2.674901354117953,0.6314400857500441,0.31934310791924314,18,22
O2_greedy_multi_layer,benchmark_vector_safe,greedy_stale_routed_late_k08,stale_routed,late,"5,6,15,21,23,26,29,31",6.807940925398448,3.7716890812811443,5.289815003339796,1.2311125690050733,0.6482590608451967,20,20
O2_greedy_multi_layer,benchmark_vector_safe,greedy_stale_routed_middle_k02,stale_routed,middle,"2,6",1.7128522715280217,2.6770379127681463,2.194945092148084,0.7614595279675982,1.2287185732431922,14,16
O2_greedy_multi_layer,benchmark_vector_safe,greedy_stale_routed_middle_k04,stale_routed,middle,"2,4,6,28",3.404281786938766,5.401414603725613,4.40284819533219,1.5133954314919307,2.4791649060068734,16,9
O2_greedy_multi_layer,benchmark_vector_safe,greedy_stale_routed_middle_k08,stale_routed,middle,"2,4,6,7,15,20,27,28",6.8913516300571835,10.648261840568189,8.769806735312686,3.0635948274750175,4.88738580572954,13,9
O3_contiguous_group,benchmark_vector_safe,routed_bypass_middle_low_early,routed_bypass,early,"8,9,10,11,12,13,14,15",0.4947672069228316,0.2090044515051455,0.35188582921398853,0.4471748535225397,0.16369293955774092,21,17
O3_contiguous_group,benchmark_vector_safe,routed_bypass_shallow_early,routed_bypass,early,"0,1,2,3,4,5,6,7",0.44968085750194087,0.1851278422696787,0.3174043498858098,0.4064254234551233,0.14499270459011945,25,21
