accepted_set_change_fraction,aligned_rows,baseline_live_ratio,baseline_wave,benchmark_correct,benchmark_delta_vs_baseline,benchmark_total,confidence_logit_margin_abs_change_mean,elapsed_seconds_observer,final_sequence_exact,final_sequence_total,layers,live_aligned_rows,live_top1_flip_fraction,mode,nfe,per_sample_score_flips,phase,policy,policy_live_ratio,policy_wave,sampled_js_mean,sampled_kl_mean,sampled_logits_rows,task,top1_flip_fraction,dataset,direct_e2e_optimistic_percent,post_epoch_live_weighted_percent,current_step_exact,benchmark_vector_safe,final_trajectory_exact
0.0244140625,1024.0,1.0,36.0,5,0,32,0.3294677734375,7.366389274597168,23,32,"1,6",1024.0,0.162109375,layer_bypass,67,0,early,greedy_layer_bypass_early_k02,1.0,36.0,,,16.0,gsm8k,0.162109375,gsm8k,0.2197729038812267,0.1986326392012454,False,True,False
0.0341796875,1024.0,1.0,36.0,5,0,32,0.46697998046875,6.907649517059326,25,32,"1,2,6,21",1024.0,0.2509765625,layer_bypass,64,0,early,greedy_layer_bypass_early_k04,1.0,36.0,,,16.0,gsm8k,0.2509765625,gsm8k,0.4818968303901543,0.43554249660750766,False,True,False
0.0654296875,1024.0,1.0,36.0,5,0,32,0.87298583984375,6.690847873687744,20,32,"1,2,4,6,8,11,18,21",1024.0,0.4375,layer_bypass,61,0,early,greedy_layer_bypass_early_k08,1.0,36.0,,,16.0,gsm8k,0.4375,gsm8k,0.9751239729329765,0.8813254267084666,False,True,False
0.1611328125,1024.0,1.0,36.0,2,-3,32,1.61322021484375,7.835209369659424,0,32,"1,2,3,4,5,6,7,8,9,10,11,12,18,20,21,25",1024.0,0.7587890625,layer_bypass,69,3,early,greedy_layer_bypass_early_k16,1.0,36.0,,,16.0,gsm8k,0.7587890625,gsm8k,2.581950777373628,2.3335893012297784,False,False,False
0.0317460317460317,960.0,0.328125,8.0,5,0,32,0.3761904761904762,4.7366790771484375,17,32,"5,6",315.0,0.2317460317460317,layer_bypass,63,0,late,greedy_layer_bypass_late_k02,0.328125,8.0,,,16.0,gsm8k,0.109375,gsm8k,3.1019763849772053,0.5609452488130764,False,True,False
0.0571428571428571,960.0,0.328125,8.0,4,-1,32,0.5115079365079365,4.796757698059082,11,32,"1,3,5,6",315.0,0.2317460317460317,layer_bypass,64,1,late,greedy_layer_bypass_late_k04,0.328125,8.0,,,16.0,gsm8k,0.1427083333333333,gsm8k,7.2408464839982924,1.3093969548751283,False,False,False
0.0634920634920634,960.0,0.328125,8.0,4,-1,32,0.7446428571428572,5.811083793640137,8,32,"1,3,5,6,7,12,13,18",315.0,0.4984126984126984,layer_bypass,79,1,late,greedy_layer_bypass_late_k08,0.328125,8.0,,,16.0,gsm8k,0.3083333333333333,gsm8k,13.800787579906636,2.4956625267422945,False,False,False
0.2,960.0,0.328125,8.0,0,-5,32,1.404563492063492,6.910566091537476,1,32,"1,3,4,5,6,7,8,9,12,13,15,16,18,21,24,25",315.0,0.8158730158730159,layer_bypass,92,5,late,greedy_layer_bypass_late_k16,0.328125,8.0,,,16.0,gsm8k,0.6770833333333334,gsm8k,25.90235671423566,4.6840472423579556,False,False,False
0.0425963488843813,992.0,0.4969758064516129,0.0,5,0,32,0.4102434077079107,6.800694227218628,3,32,"1,2",493.0,0.2718052738336714,layer_bypass,63,0,middle,greedy_layer_bypass_middle_k02,0.4969758064516129,0.0,,,16.0,gsm8k,0.1754032258064516,gsm8k,2.97989083634214,1.3247296963980681,False,True,False
0.0547667342799188,992.0,0.4969758064516129,0.0,3,-2,32,0.7145030425963489,7.298987627029419,1,32,"1,2,3,5",493.0,0.5010141987829615,layer_bypass,67,2,middle,greedy_layer_bypass_middle_k04,0.4969758064516129,0.0,,,16.0,gsm8k,0.3427419354838709,gsm8k,5.679611235218014,2.5249078172692987,False,False,False
0.1176470588235294,992.0,0.4969758064516129,0.0,0,-5,32,0.9629817444219066,11.979981660842896,0,32,"1,2,3,5,6,7,8,12",493.0,0.7748478701825557,layer_bypass,108,5,middle,greedy_layer_bypass_middle_k08,0.4969758064516129,0.0,,,16.0,gsm8k,0.6028225806451613,gsm8k,11.10923568523629,4.938682396360084,False,False,False
0.127789046653144,992.0,0.4969758064516129,0.0,0,-5,32,0.9331896551724138,9.623671770095823,0,32,"1,2,3,4,5,6,7,8,9,10,11,12,14,25,26,27",493.0,0.8782961460446247,layer_bypass,106,5,middle,greedy_layer_bypass_middle_k16,0.4969758064516129,0.0,,,16.0,gsm8k,0.8346774193548387,gsm8k,22.26293396115002,9.897130924261248,False,False,False
0.0244140625,1024.0,1.0,36.0,5,0,32,0.30706787109375,4.97574520111084,27,32,"10,11",1024.0,0.1474609375,routed_bypass,67,0,early,greedy_routed_bypass_early_k02,1.0,36.0,,,16.0,gsm8k,0.1474609375,gsm8k,0.1237851698037187,0.11187810024740397,False,True,False
0.03125,1024.0,1.0,36.0,5,0,32,0.3975830078125,4.743489503860474,25,32,"10,11,13,23",1024.0,0.2138671875,routed_bypass,64,0,early,greedy_routed_bypass_early_k04,1.0,36.0,,,16.0,gsm8k,0.2138671875,gsm8k,0.2398606962800783,0.21678815860079342,False,True,False
0.037109375,1024.0,1.0,36.0,5,0,32,0.5223388671875,4.436245679855347,24,32,"1,4,7,10,11,13,23,26",1024.0,0.2861328125,routed_bypass,60,0,early,greedy_routed_bypass_early_k08,1.0,36.0,,,16.0,gsm8k,0.2861328125,gsm8k,0.5133586295937593,0.4639779411025628,False,True,False
0.0634765625,1024.0,1.0,36.0,5,0,32,0.80950927734375,4.8412933349609375,16,32,"1,2,4,7,8,10,11,12,13,14,16,17,18,23,26,27",1024.0,0.46875,routed_bypass,66,0,early,greedy_routed_bypass_early_k16,1.0,36.0,,,16.0,gsm8k,0.46875,gsm8k,1.0064912993345851,0.9096754858732017,False,True,False
0.0253968253968253,960.0,0.328125,8.0,5,0,32,0.258531746031746,4.539247751235962,20,32,"3,5",315.0,0.1682539682539682,routed_bypass,62,0,late,greedy_routed_bypass_late_k02,0.328125,8.0,,,16.0,gsm8k,0.0739583333333333,gsm8k,1.7084185341086642,0.3089415072060576,False,True,False
0.0349206349206349,960.0,0.328125,8.0,5,0,32,0.4009920634920635,4.661503553390503,16,32,"3,5,8,25",315.0,0.1428571428571428,routed_bypass,64,0,late,greedy_routed_bypass_late_k04,0.328125,8.0,,,16.0,gsm8k,0.084375,gsm8k,3.363656026720003,0.6082660319298082,False,True,False
0.0603174603174603,960.0,0.328125,8.0,4,-1,32,0.5569444444444445,5.135854721069336,12,32,"3,5,7,8,9,24,25,28",315.0,0.2793650793650793,routed_bypass,71,1,late,greedy_routed_bypass_late_k08,0.328125,8.0,,,16.0,gsm8k,0.1604166666666666,gsm8k,6.859771359862349,1.240485314747835,False,False,False
0.1079365079365079,960.0,0.328125,8.0,4,-1,32,0.8162698412698413,6.290557384490967,5,32,"1,2,3,4,5,7,8,9,13,15,20,24,25,26,27,28",315.0,0.4571428571428571,routed_bypass,83,1,late,greedy_routed_bypass_late_k16,0.328125,8.0,,,16.0,gsm8k,0.315625,gsm8k,14.188667306068066,2.5658046756493276,False,False,False
0.024340770791075,992.0,0.4969758064516129,0.0,5,0,32,0.3846348884381338,4.791714668273926,10,32,"5,26",493.0,0.2373225152129817,routed_bypass,65,0,middle,greedy_routed_bypass_middle_k02,0.4969758064516129,0.0,,,16.0,gsm8k,0.1350806451612903,gsm8k,1.6475720973642027,0.7324388053806588,False,True,False
0.0446247464503042,992.0,0.4969758064516129,0.0,5,0,32,0.5256085192697769,4.893927812576294,8,32,"3,5,26,29",493.0,0.332657200811359,routed_bypass,67,0,middle,greedy_routed_bypass_middle_k04,0.4969758064516129,0.0,,,16.0,gsm8k,0.1995967741935483,gsm8k,3.2502843551769143,1.444934879670382,False,True,False
0.0851926977687626,992.0,0.4969758064516129,0.0,4,-1,32,0.8575050709939148,5.368472337722778,0,32,"2,3,5,6,26,28,29,30",493.0,0.5030425963488844,routed_bypass,72,1,middle,greedy_routed_bypass_middle_k08,0.4969758064516129,0.0,,,16.0,gsm8k,0.2963709677419355,gsm8k,6.575976356739007,2.92339271504224,False,False,False
