dataset,iteration,phase,normalized_iteration,ready_requests,physical_rows,decision_live_rows,live_ratio,accepted_rows,acceptance_rate_live,live_confidence_median,live_margin_median,model_forward_ms_observer
gsm8k,1,middle,0.015625,31,992,441,0.44455645161290325,86,0.19501133786848074,0.48918086290359497,0.2819204032421112,949.2817993164062
gsm8k,2,middle,0.03125,31,992,419,0.4223790322580645,57,0.1360381861575179,0.3882907032966614,0.1790309101343155,952.9417724609375
gsm8k,3,middle,0.046875,31,992,394,0.3971774193548387,77,0.19543147208121828,0.44314901530742645,0.21253717690706253,945.9694213867188
gsm8k,4,middle,0.0625,31,992,381,0.3840725806451613,68,0.1784776902887139,0.48212987184524536,0.21548718214035034,937.7000122070312
gsm8k,5,middle,0.078125,30,960,377,0.3927083333333333,67,0.17771883289124668,0.4547039270401001,0.19119513034820557,905.1406860351562
gsm8k,6,middle,0.09375,30,960,406,0.42291666666666666,64,0.15763546798029557,0.35283561050891876,0.1324816197156906,932.8308715820312
gsm8k,7,middle,0.109375,30,960,342,0.35625,59,0.17251461988304093,0.4166824072599411,0.1861945167183876,948.0154418945312
gsm8k,8,late,0.125,30,960,315,0.328125,56,0.17777777777777778,0.37925541400909424,0.13821828365325928,932.4330444335938
gsm8k,9,middle,0.140625,30,960,483,0.503125,83,0.17184265010351968,0.3426143527030945,0.14087089896202087,934.4098510742188
gsm8k,10,middle,0.15625,30,960,464,0.48333333333333334,85,0.18318965517241378,0.3272610604763031,0.14149488508701324,919.8673706054688
gsm8k,11,middle,0.171875,28,896,379,0.42299107142857145,51,0.1345646437994723,0.31362977623939514,0.11625456809997559,868.1585083007812
gsm8k,12,middle,0.1875,28,896,456,0.5089285714285714,71,0.15570175438596492,0.3529044836759567,0.1371360346674919,878.9060668945312
gsm8k,13,middle,0.203125,28,896,449,0.5011160714285714,47,0.10467706013363029,0.33382657170295715,0.1309201419353485,873.9526977539062
gsm8k,14,middle,0.21875,28,896,466,0.5200892857142857,52,0.11158798283261803,0.2787056714296341,0.10605752095580101,871.8106079101562
gsm8k,15,middle,0.234375,27,864,478,0.5532407407407407,74,0.15481171548117154,0.3618171960115433,0.141837015748024,853.2978515625
gsm8k,16,middle,0.25,27,864,468,0.5416666666666666,90,0.19230769230769232,0.4004611074924469,0.1586940437555313,849.4297485351562
gsm8k,17,middle,0.265625,27,864,378,0.4375,68,0.17989417989417988,0.3749871551990509,0.1364762932062149,862.9388427734375
gsm8k,18,middle,0.28125,27,864,342,0.3958333333333333,62,0.18128654970760233,0.449903666973114,0.20861904323101044,874.6991577148438
gsm8k,19,middle,0.296875,25,800,280,0.35,51,0.18214285714285713,0.44333234429359436,0.18784377723932266,790.322265625
gsm8k,20,middle,0.3125,23,736,261,0.3546195652173913,47,0.18007662835249041,0.4724278151988983,0.23857107758522034,746.839599609375
gsm8k,21,late,0.328125,21,672,214,0.31845238095238093,50,0.2336448598130841,0.5169521868228912,0.2614627331495285,714.2410278320312
gsm8k,22,late,0.34375,17,544,164,0.3014705882352941,35,0.21341463414634146,0.509331151843071,0.2661464065313339,614.3931884765625
gsm8k,23,late,0.359375,14,448,129,0.28794642857142855,18,0.13953488372093023,0.44180408120155334,0.2149966061115265,555.1305541992188
gsm8k,24,late,0.375,14,448,143,0.31919642857142855,51,0.35664335664335667,0.6477330923080444,0.4659408926963806,542.4698486328125
gsm8k,25,late,0.390625,14,448,92,0.20535714285714285,26,0.2826086956521739,0.6220462918281555,0.45698970556259155,546.72314453125
gsm8k,26,late,0.40625,14,448,98,0.21875,35,0.35714285714285715,0.6433465778827667,0.4176333099603653,549.1539306640625
gsm8k,27,late,0.421875,11,352,63,0.17897727272727273,9,0.14285714285714285,0.4261026382446289,0.17780205607414246,476.2590026855469
gsm8k,28,late,0.4375,8,256,54,0.2109375,16,0.2962962962962963,0.5291177928447723,0.28279726207256317,438.2737731933594
gsm8k,29,late,0.453125,8,256,38,0.1484375,8,0.21052631578947367,0.477825865149498,0.1454744040966034,402.1836242675781
