dataset,boundary,phase,records,matched_row_fraction,cosine_p50_median,rel_l2_p50_median,rel_l2_p90_median,live_rel_l2_mean_median
gsm8k,8,all,63,0.9661654135338346,0.9969499707221985,0.08235083520412445,0.3465810716152191,0.15603642165660858
gsm8k,8,early,1,1.0,0.990371584892273,0.14251963794231415,0.5905177593231201,0.16058349609375
gsm8k,8,middle,26,0.9549795361527967,0.9966160655021667,0.08559010922908783,0.3891162574291229,0.15495839715003967
gsm8k,8,late,36,0.9899665551839465,0.9979106783866882,0.06866025924682617,0.2956126034259796,0.15945206582546234
gsm8k,16,all,63,0.9661654135338346,0.986324667930603,0.171522319316864,0.5218828916549683,0.2862969934940338
gsm8k,16,early,1,1.0,0.9380290508270264,0.3730783760547638,0.7589293122291565,0.3461396098136902
gsm8k,16,middle,26,0.9549795361527967,0.9819338619709015,0.19771187007427216,0.5310488939285278,0.30507519841194153
gsm8k,16,late,36,0.9899665551839465,0.9908361434936523,0.13834448903799057,0.4932231605052948,0.25480763614177704
gsm8k,24,all,63,0.9661654135338346,0.9660637378692627,0.265880286693573,0.782079815864563,0.4298562705516815
gsm8k,24,early,1,1.0,0.8467907905578613,0.5762621164321899,0.9513872861862183,0.5174404978752136
gsm8k,24,middle,26,0.9549795361527967,0.9518724083900452,0.3155481070280075,0.7935027480125427,0.4674580693244934
gsm8k,24,late,36,0.9899665551839465,0.980962872505188,0.1972934678196907,0.7522994577884674,0.3811080753803253
gsm8k,32,all,63,0.9661654135338346,0.9861454963684082,0.17827549576759338,0.5493443608283997,0.21367910504341125
gsm8k,32,early,1,1.0,0.9765468835830688,0.23162323236465454,0.655750572681427,0.23155131936073303
gsm8k,32,middle,26,0.9549795361527967,0.984467625617981,0.1864117532968521,0.5292834937572479,0.21578223258256912
gsm8k,32,late,36,0.9899665551839465,0.988924503326416,0.16233482211828232,0.5809071063995361,0.200347438454628
humaneval,8,all,83,0.9231578947368421,0.9967262744903564,0.08666795492172241,0.33146774768829346,0.1597258448600769
humaneval,8,middle,57,0.913730255164034,0.9963390827178955,0.0881035253405571,0.34954553842544556,0.1546960324048996
humaneval,8,late,26,0.984251968503937,0.9978777170181274,0.0659586749970913,0.2650931626558304,0.18172723799943924
humaneval,16,all,83,0.9231578947368421,0.9802939891815186,0.20887228846549988,0.5615972280502319,0.3404136002063751
humaneval,16,middle,57,0.913730255164034,0.9753528833389282,0.2330012023448944,0.5779581069946289,0.3406723141670227
humaneval,16,late,26,0.984251968503937,0.9922197461128235,0.12523102015256882,0.5182896256446838,0.3294248431921005
humaneval,24,all,83,0.9231578947368421,0.94891357421875,0.3275558352470398,0.8385345935821533,0.5215535759925842
humaneval,24,middle,57,0.913730255164034,0.9379292130470276,0.3568112850189209,0.8484792709350586,0.5281080603599548
humaneval,24,late,26,0.984251968503937,0.9865397214889526,0.16808857023715973,0.7717258632183075,0.49570271372795105
humaneval,32,all,83,0.9231578947368421,0.9797437191009521,0.21641120314598083,0.5951802730560303,0.240820974111557
humaneval,32,middle,57,0.913730255164034,0.979158878326416,0.21822071075439453,0.5965752601623535,0.240820974111557
humaneval,32,late,26,0.984251968503937,0.9837467670440674,0.19688697159290314,0.569840282201767,0.24474021047353745
