task,policy,score,total,relative_quality_pct,baseline_score,sequence_exact,sequence_exact_pct,benchmark_pass_agreement,nfe,nfe_delta,model_seconds_observer
gsm8k,baseline,5,32,100.0,5,32,100.0,32,66,0,5.970254182815552
gsm8k,pp2_b15_w0_k0,4,32,80.0,5,2,6.25,31,92,26,6.800313234329224
gsm8k,pp2_b15_w4_k0,5,32,100.0,5,6,18.75,32,80,14,5.907858848571777
gsm8k,pp2_b15_w4_k2,4,32,80.0,5,7,21.875,31,68,2,5.0161895751953125
gsm8k,pp2_b15_w4_k4,5,32,100.0,5,4,12.5,32,76,10,5.580970048904419
gsm8k,pp2_b15_w8_k0,4,32,80.0,5,7,21.875,31,75,9,5.493992328643799
gsm8k,pp4_all_w0_k0,3,32,60.0,5,0,0.0,28,118,52,8.86894416809082
gsm8k,pp4_all_w4_k0,4,32,80.0,5,1,3.125,31,99,33,7.419457197189331
gsm8k,pp4_all_w4_k2,5,32,100.0,5,4,12.5,32,66,0,4.950588941574097
gsm8k,pp4_all_w4_k4,4,32,80.0,5,1,3.125,31,88,22,6.587876081466675
gsm8k,pp4_all_w4_k4_early,5,32,100.0,5,32,100.0,32,66,0,4.949325323104858
gsm8k,pp4_all_w4_k4_late,7,32,140.0,5,11,34.375,30,71,5,5.313524484634399
gsm8k,pp4_all_w4_k4_middle,3,32,60.0,5,2,6.25,30,73,7,5.491469383239746
gsm8k,pp4_all_w4_k8,6,32,120.0,5,2,6.25,31,83,17,6.2232115268707275
gsm8k,pp4_all_w8_k0,4,32,80.0,5,5,15.625,31,78,12,5.851161003112793
gsm8k,pp4_b15_w4_k4,5,32,100.0,5,4,12.5,32,76,10,5.605910062789917
gsm8k,pp4_b23_w4_k4,5,32,100.0,5,5,15.625,32,69,3,5.096876621246338
gsm8k,pp4_b7_w4_k4,5,32,100.0,5,3,9.375,32,73,7,5.374400615692139
