task,policy,score,total,relative_quality_pct,baseline_score,sequence_exact,sequence_exact_pct,benchmark_pass_agreement,nfe,nfe_delta,model_seconds_observer
humaneval,baseline,6,32,100.0,6,32,100.0,32,86,0,12.53769850730896
humaneval,pp2_b15_w0_k0,3,32,50.0,6,7,21.875,29,122,36,8.973364353179932
humaneval,pp2_b15_w4_k0,7,32,116.66666666666667,6,11,34.375,31,137,51,10.119005918502808
humaneval,pp2_b15_w4_k2,6,32,100.0,6,12,37.5,32,97,11,7.119391679763794
humaneval,pp2_b15_w4_k4,6,32,100.0,6,12,37.5,32,124,38,9.237446784973145
humaneval,pp2_b15_w8_k0,6,32,100.0,6,13,40.625,32,98,12,7.289500713348389
humaneval,pp4_all_w0_k0,1,32,16.666666666666668,6,4,12.5,27,125,39,9.493123054504395
humaneval,pp4_all_w4_k0,7,32,116.66666666666667,6,9,28.125,31,122,36,9.566224336624146
humaneval,pp4_all_w4_k2,6,32,100.0,6,12,37.5,32,100,14,7.94148588180542
humaneval,pp4_all_w4_k4,6,32,100.0,6,10,31.25,32,114,28,8.636386394500732
humaneval,pp4_all_w4_k4_early,6,32,100.0,6,32,100.0,32,86,0,6.635524034500122
humaneval,pp4_all_w4_k4_late,6,32,100.0,6,17,53.125,32,84,-2,6.3995397090911865
humaneval,pp4_all_w4_k4_middle,6,32,100.0,6,10,31.25,32,112,26,8.496651887893677
humaneval,pp4_all_w4_k8,6,32,100.0,6,10,31.25,32,116,30,8.78791856765747
humaneval,pp4_all_w8_k0,6,32,100.0,6,13,40.625,32,110,24,8.352115392684937
humaneval,pp4_b15_w4_k4,6,32,100.0,6,12,37.5,32,124,38,9.188234329223633
humaneval,pp4_b23_w4_k4,6,32,100.0,6,13,40.625,32,93,7,6.915780544281006
humaneval,pp4_b7_w4_k4,6,32,100.0,6,12,37.5,32,99,13,7.315412998199463
