source_tokens_per_rank,global_physical_m,assignments,repeats,dispatch_p50_ms,dispatch_p95_ms,combine_p50_ms,combine_p95_ms,communication_p50_ms,communication_p95_ms,relative_l2_max
1,4,32,30,0.0997759997844696,0.12229919843375682,0.17350400239229202,0.18934400305151938,0.27454400062561035,0.30172160081565375,0.001907483791001141
2,8,64,30,0.10278400033712387,0.12286080457270143,0.15291200578212738,0.17327200323343275,0.259040005505085,0.3007040042430162,0.0015793825732544065
4,16,128,30,0.10750400274991989,0.13550399877130978,0.15888000279664993,0.18591039776802062,0.2672160007059574,0.35223040096461744,0.001689019612967968
8,32,256,30,0.15716800093650818,0.16839040443301198,0.26395198702812195,0.2720896005630493,0.4227199852466583,0.4410207979381084,0.0014875968918204308
16,64,512,30,0.11051199957728386,0.13782719895243645,0.16116800159215927,0.19472960159182545,0.27609600126743317,0.32019360437989236,0.0012981111649423838
32,128,1024,30,0.10388800129294395,0.13343840017914768,0.15694399923086166,0.19789120405912394,0.26183999329805374,0.3411023989319801,0.0012960771564394236
64,256,2048,30,0.11419200152158737,0.14763359725475306,0.180479995906353,0.20856800377368925,0.30238400027155876,0.34560480192303655,0.0012546947691589594
128,512,4096,30,0.11646400019526482,0.2128048002719877,0.1666560024023056,0.18907520100474356,0.2858880050480366,0.38286560401320435,0.0012007277691736817
256,1024,8192,30,0.199023999273777,0.2214112006127834,0.25070399045944214,0.2758704021573067,0.4586080014705658,0.49447361379861826,0.0011531711788848042
512,2048,16384,30,0.22681599855422974,0.24260479882359504,0.2309119999408722,0.25637600496411317,0.459087997674942,0.49935039877891535,0.0011165025644004345
1024,4096,32768,30,0.2552479952573776,0.292651192843914,0.21487999707460403,0.21749600544571876,0.4710879921913147,0.5079663939774036,0.0011042392579838634
