source,destination,rows,hidden,bytes,p50_ms,p90_ms,p99_ms
0,1,32,4096,262144,0.0796160027384758,0.09194239750504495,0.1053308778256178
1,2,32,4096,262144,0.04201599955558777,0.047395198792219165,0.050325119011104105
2,3,32,4096,262144,0.039823999628424644,0.04425599984824658,0.048793279603123664
0,1,64,4096,524288,0.04291199892759323,0.04618880115449429,0.04814015943557024
1,2,64,4096,524288,0.0411360003054142,0.044819199666380885,0.059658560976386076
2,3,64,4096,524288,0.03996799886226654,0.043817600235342986,0.059421440474689016
0,1,128,4096,1048576,0.04265600070357323,0.0465759988874197,0.061030717939138425
1,2,128,4096,1048576,0.04158399999141693,0.04523519948124887,0.06257759988307954
2,3,128,4096,1048576,0.040063999593257904,0.04157439842820168,0.04467327959835529
0,1,256,4096,2097152,0.044064000248909,0.05199359990656376,0.06831328038126232
1,2,256,4096,2097152,0.04281600005924702,0.048041598871350295,0.05685919936746359
2,3,256,4096,2097152,0.04896000027656555,0.05896319895982743,0.09190975941717627
0,1,512,4096,4194304,0.05246399901807308,0.08357759937644005,0.10078400142490865
1,2,512,4096,4194304,0.04996800050139427,0.05336959846317769,0.0635468788444996
2,3,512,4096,4194304,0.055776000022888184,0.05874239914119244,0.07762304097414019
0,1,1024,4096,8388608,0.06814399734139442,0.06980160176753998,0.07546976119279862
1,2,1024,4096,8388608,0.06625599786639214,0.08707519993185997,0.09164224080741405
2,3,1024,4096,8388608,0.07291200011968613,0.0797952026128769,3.4948520835489076
