task,horizon,state,matched_rows,exact_topk_set_pct,topk_jaccard,exact_destination_set_pct,destination_jaccard,hidden_cosine_p50,hidden_rel_l2_p50,routed_output_cosine_p50,routed_output_rel_l2_p50,detail_layers
gsm8k,0,ACTIVE,412517.0,19.591677433899694,0.6078699042944777,62.190891526894646,0.8635763293797775,0.9550960958003998,0.30421511828899384,0.8996129930019379,0.4761398732662201,1|8|16|24|31
gsm8k,0,DORMANT,349463.0,10.811158835127038,0.5077258395025893,53.36845388496064,0.8265839302012719,0.8885518312454224,0.4779709130525589,0.773632138967514,0.7031383216381073,1|8|16|24|31
gsm8k,0,DEAD,1027836.0,35.94824466159971,0.6703021885324966,69.6725936822606,0.8873121944216966,0.9731188118457794,0.23435331881046295,0.9564852118492126,0.3202380836009979,1|8|16|24|31
gsm8k,1,ACTIVE,477183.0,18.31477651131746,0.592486068422375,60.91331837052032,0.8581997542526574,0.9453150033950806,0.33602137863636017,0.8823859095573425,0.5145514607429504,1|8|16|24|31
gsm8k,1,DORMANT,284797.0,10.95692721482319,0.5107630514753827,53.50583046871982,0.8271929947760245,0.8945334553718567,0.4640561491250992,0.7809516787528992,0.6886816322803497,1|8|16|24|31
gsm8k,1,DEAD,1027836.0,35.94824466159971,0.6703021885324966,69.6725936822606,0.8873121944216966,0.9731188118457794,0.23435331881046295,0.9564852118492126,0.3202380836009979,1|8|16|24|31
gsm8k,2,ACTIVE,533510.0,17.405296995370282,0.5817568398338749,60.0209930460535,0.8545002280500599,0.9375709295272827,0.3585209548473358,0.8677544593811035,0.543761134147644,1|8|16|24|31
gsm8k,2,DORMANT,228470.0,11.266687092397252,0.5156693339974776,53.76329496213945,0.8281875082065754,0.9014544486999512,0.4478353261947632,0.7917138934135437,0.6691415905952454,1|8|16|24|31
gsm8k,2,DEAD,1027836.0,35.94824466159971,0.6703021885324966,69.6725936822606,0.8873121944216966,0.9731188118457794,0.23435331881046295,0.9564852118492126,0.3202380836009979,1|8|16|24|31
gsm8k,4,ACTIVE,621643.0,16.41923097340435,0.5712556836417482,59.09082865889265,0.8505766171266773,0.9299780428409576,0.379443496465683,0.8532324731349945,0.5701105296611786,1|8|16|24|31
gsm8k,4,DORMANT,140337.0,11.779502198279856,0.5206821252439348,53.95369717180786,0.8290430653832678,0.907940536737442,0.43173807859420776,0.8039054572582245,0.6461189091205597,1|8|16|24|31
gsm8k,4,DEAD,1027836.0,35.94824466159971,0.6703021885324966,69.6725936822606,0.8873121944216966,0.9731188118457794,0.23435331881046295,0.9564852118492126,0.3202380836009979,1|8|16|24|31
gsm8k,8,ACTIVE,719479.0,15.659247872418792,0.5636477274443504,58.32289754113741,0.8474339302006223,0.9258471429347992,0.39032280445098877,0.8448653519153595,0.58443483710289,1|8|16|24|31
gsm8k,8,DORMANT,42501.0,13.964377308769205,0.5330547766206759,55.12811463259688,0.832674525305318,0.9194657206535339,0.4020533263683319,0.8216385841369629,0.6096800863742828,1|8|16|24|31
gsm8k,8,DEAD,1027836.0,35.94824466159971,0.6703021885324966,69.6725936822606,0.8873121944216966,0.9731188118457794,0.23435331881046295,0.9564852118492126,0.3202380836009979,1|8|16|24|31
humaneval,0,ACTIVE,423243.0,20.13264247725302,0.6119515628072051,62.41449947193456,0.8642263427867604,0.9572000503540039,0.2968718409538269,0.9051673412322998,0.46055105328559875,1|8|16|24|31
humaneval,0,DORMANT,249922.0,9.646209617400629,0.4943136788592641,52.65122718288106,0.8245185831310028,0.8785285949707031,0.4982605278491974,0.7620542049407959,0.7157222628593445,1|8|16|24|31
humaneval,0,DEAD,914531.0,31.573451310015734,0.6332357542338879,66.48402295821575,0.8748067770978167,0.9726629555225372,0.23639824986457825,0.9548193216323853,0.324675589799881,1|8|16|24|31
humaneval,1,ACTIVE,466860.0,19.127575718630855,0.5991143392795363,61.36529152208371,0.8599258878468237,0.9512672126293182,0.3163796365261078,0.894482433795929,0.48548339307308197,1|8|16|24|31
humaneval,1,DORMANT,206305.0,9.703594193063667,0.4984928048692614,52.96139211361819,0.825855327468148,0.885918527841568,0.48174527287483215,0.7743690609931946,0.6947992444038391,1|8|16|24|31
humaneval,1,DEAD,914531.0,31.573451310015734,0.6332357542338879,66.48402295821575,0.8748067770978167,0.9726629555225372,0.23639824986457825,0.9548193216323853,0.324675589799881,1|8|16|24|31
humaneval,2,ACTIVE,503874.0,18.362328677407447,0.5910059716688253,60.6943402517296,0.857252838342319,0.9464606046676636,0.33180467784404755,0.8854238986968994,0.5048754811286926,1|8|16|24|31
humaneval,2,DORMANT,169291.0,9.920787283435033,0.5006263509313985,53.12095740470551,0.826362102336744,0.8926822543144226,0.4663229286670685,0.7859582602977753,0.6740390956401825,1|8|16|24|31
humaneval,2,DEAD,914531.0,31.573451310015734,0.6332357542338879,66.48402295821575,0.8748067770978167,0.9726629555225372,0.23639824986457825,0.9548193216323853,0.324675589799881,1|8|16|24|31
humaneval,4,ACTIVE,559519.0,17.40888155719466,0.5814467760358633,59.8980552939221,0.8540751073696222,0.9405434131622314,0.3496728539466858,0.8753930330276489,0.5249739289283752,1|8|16|24|31
humaneval,4,DORMANT,113646.0,10.481671154286117,0.5034366353619153,53.33315734825687,0.8268820137386554,0.9015568494796753,0.44629162549972534,0.8016412854194641,0.6458089351654053,1|8|16|24|31
humaneval,4,DEAD,914531.0,31.573451310015734,0.6332357542338879,66.48402295821575,0.8748067770978167,0.9726629555225372,0.23639824986457825,0.9548193216323853,0.324675589799881,1|8|16|24|31
humaneval,8,ACTIVE,627316.0,16.60582545320062,0.5728447561528222,59.170976031218714,0.8510249751859621,0.9354562759399414,0.36405685544013977,0.8681121468544006,0.5384083986282349,1|8|16|24|31
humaneval,8,DORMANT,45849.0,11.225980937425026,0.505777606739335,53.57368753953194,0.8284041091408807,0.9112352728843689,0.4244270920753479,0.8219069242477417,0.6151437759399414,1|8|16|24|31
humaneval,8,DEAD,914531.0,31.573451310015734,0.6332357542338879,66.48402295821575,0.8748067770978167,0.9726629555225372,0.23639824986457825,0.9548193216323853,0.324675589799881,1|8|16|24|31
