task,subset,policy,horizon,period,trigger,router_fresh,shared_fresh,routed_rows_deferred_pct,remote_payload_deferred_pct,final_sequence_exact,final_sequence_total,nfe,nfe_equal,acceptance_iteration_exact_pct,acceptance_iteration_abs_drift,benchmark_score,baseline_score,quality_delta_pp,per_sample_score_flips,feasible_e2e_oracle_pct,evidence_boundary
gsm8k,bounded32,baseline,0,66,periodic,True,True,0.0,,32,32,66,True,100.0,0.0,5,5,0.0,0,,causal output replacement; no measured runtime saving
gsm8k,bounded32,h1_k2,1,2,periodic,True,True,10.245855734767025,8.468179834428907,12,32,61,False,55.30161109029599,0.9460472086923941,6,5,3.125,1,3.175764805797498,causal output replacement; no measured runtime saving
gsm8k,bounded32,h1_k4,1,4,periodic,True,True,16.28440366972477,11.79300737863815,10,32,65,False,50.73947667804323,1.1186954872961699,6,5,3.125,1,4.415766266307447,causal output replacement; no measured runtime saving
gsm8k,bounded32,h1_k8,1,8,periodic,True,True,18.43861209964413,13.281738970103152,5,32,61,False,41.86575654152446,1.3651877133105803,4,5,-3.125,1,4.976730801976942,causal output replacement; no measured runtime saving
gsm8k,bounded32,h1_route_k8,1,8,route+destination,True,True,2.315432551319648,1.5036808612132633,17,32,62,False,60.3222180591982,0.9475458973398276,5,5,0.0,0,0.6348597656031447,causal output replacement; no measured runtime saving
gsm8k,bounded32,h1_stale,1,999,periodic,True,True,19.358945969884854,18.72642371178316,2,32,64,False,44.36860068259386,1.2844141069397041,5,5,0.0,0,6.952743464322068,causal output replacement; no measured runtime saving
gsm8k,bounded32,h2_k8,2,8,periodic,True,True,15.297998180163786,10.686105933020505,9,32,59,False,50.61820906706632,1.2409142000749345,4,5,-3.125,1,3.977925773938448,causal output replacement; no measured runtime saving
humaneval,bounded32,baseline,0,86,periodic,True,True,0.0,,32,32,86,True,100.0,0.0,6,6,0.0,0,,causal output replacement; no measured runtime saving
humaneval,bounded32,h1_k2,1,2,periodic,True,True,10.935867293625915,6.03134997783907,16,32,84,False,75.08315693982462,0.5836105231327487,6,6,0.0,0,2.963305954498142,causal output replacement; no measured runtime saving
humaneval,bounded32,h1_k4,1,4,periodic,True,True,15.306508577194753,8.8940193920178,12,32,103,False,70.51708497127305,0.827638342908981,7,6,3.125,1,4.373424787518614,causal output replacement; no measured runtime saving
humaneval,bounded32,h1_k8,1,8,periodic,True,True,18.915816326530614,10.35767260017073,10,32,84,False,68.85394617478077,0.704263683096462,6,6,0.0,0,5.1501182280640965,causal output replacement; no measured runtime saving
humaneval,bounded32,h1_route_k8,1,8,route+destination,True,True,1.8361685786188189,1.0512053918128146,20,32,90,False,77.77441790142123,0.7910492893861506,6,6,0.0,0,0.5428982080924174,causal output replacement; no measured runtime saving
humaneval,bounded32,h1_stale,1,999,periodic,True,True,19.641038696537677,15.139710163004937,8,32,92,False,67.58391291200483,0.7886301784094345,6,6,0.0,0,7.27256983464085,causal output replacement; no measured runtime saving
humaneval,bounded32,h2_k8,2,8,periodic,True,True,14.991931479642503,8.524403047821522,17,32,106,False,73.66192924100393,0.6785606289688539,6,6,0.0,0,4.208526172920919,causal output replacement; no measured runtime saving
