label,task,n,policy,evidence_type,correct,accuracy,nfe,generated_tokens,bct_s,wave_bct_median_s,answer_file
dynpilot1_gsm8k32_p00,gsm8k,32,"phase:0.9,0.9,0.9",actual_full_trajectory_candidate_not_perfect_future_oracle,13,0.40625,102,5224,7.7039,7.7039,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/dynpilot1_gsm8k32_p00/benchmark/dynpilot1_gsm8k32_p00_gsm8k_32_0_threshold_0.9_0.jsonl
full1phase_gsm8k1319_p00,gsm8k,1319,"phase:0.9,0.825,0.825",actual_full_trajectory_candidate_not_perfect_future_oracle,146,0.1106899166034875,2965,148237,212.0893,4.8782,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full1phase_gsm8k1319_p00/benchmark/full1phase_gsm8k1319_p00_gsm8k_1319_0_threshold_0.9_0.jsonl
hemini16phase_humaneval164_p00,humaneval,164,"phase:0.9,0.825,0.825",actual_full_trajectory_candidate_not_perfect_future_oracle,14,0.08536585365853659,613,23427,45.294200000000004,7.6304,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/hemini16phase_humaneval164_p00/benchmark/hemini16phase_humaneval164_p00_humaneval_164_0_threshold_0.9_0.jsonl
phase32a_gsm8k32_p00,gsm8k,32,"phase:0.9,0.8,0.9",actual_full_trajectory_candidate_not_perfect_future_oracle,12,0.375,96,5223,7.1328,7.1328,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p00/benchmark/phase32a_gsm8k32_p00_gsm8k_32_0_threshold_0.9_0.jsonl
phase32a_gsm8k32_p01,gsm8k,32,"phase:0.9,0.825,0.9",actual_full_trajectory_candidate_not_perfect_future_oracle,12,0.375,99,5240,7.3507,7.3507,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p01/benchmark/phase32a_gsm8k32_p01_gsm8k_32_0_threshold_0.9_0.jsonl
phase32a_gsm8k32_p02,gsm8k,32,"phase:0.825,0.9,0.9",actual_full_trajectory_candidate_not_perfect_future_oracle,12,0.375,103,5244,7.6125,7.6125,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p02/benchmark/phase32a_gsm8k32_p02_gsm8k_32_0_threshold_0.9_0.jsonl
phase32a_gsm8k32_p03,gsm8k,32,"phase:0.9,0.9,0.825",actual_full_trajectory_candidate_not_perfect_future_oracle,12,0.375,102,5218,7.558,7.558,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p03/benchmark/phase32a_gsm8k32_p03_gsm8k_32_0_threshold_0.9_0.jsonl
phase32a_gsm8k32_p04,gsm8k,32,"phase:0.9,0.825,0.825",actual_full_trajectory_candidate_not_perfect_future_oracle,13,0.40625,95,5213,7.115,7.115,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p04/benchmark/phase32a_gsm8k32_p04_gsm8k_32_0_threshold_0.9_0.jsonl
phase32a_gsm8k32_p05,gsm8k,32,"phase:0.825,0.8,0.9",actual_full_trajectory_candidate_not_perfect_future_oracle,12,0.375,92,5267,7.0497,7.0497,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p05/benchmark/phase32a_gsm8k32_p05_gsm8k_32_0_threshold_0.9_0.jsonl
phase32a_gsm8k32_p06,gsm8k,32,"phase:0.8,0.9,0.9",actual_full_trajectory_candidate_not_perfect_future_oracle,12,0.375,102,5216,7.9647,7.9647,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/phase32a_gsm8k32_p06/benchmark/phase32a_gsm8k32_p06_gsm8k_32_0_threshold_0.9_0.jsonl
promoted1phase_gsm8k512_p00,gsm8k,512,"phase:0.9,0.825,0.825",actual_full_trajectory_candidate_not_perfect_future_oracle,67,0.130859375,1190,58812,85.558,5.3177,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted1phase_gsm8k512_p00/benchmark/promoted1phase_gsm8k512_p00_gsm8k_512_0_threshold_0.9_0.jsonl
promoted2phase_retry_gsm8k512_p00,gsm8k,512,"phase:0.9,0.825,0.825",actual_full_trajectory_candidate_not_perfect_future_oracle,67,0.130859375,1190,58812,95.1646,6.1159,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted2phase_retry_gsm8k512_p00/benchmark/promoted2phase_retry_gsm8k512_p00_gsm8k_512_0_threshold_0.9_0.jsonl
promoted3phase_gsm8k512_p00,gsm8k,512,"phase:0.9,0.825,0.825",actual_full_trajectory_candidate_not_perfect_future_oracle,67,0.130859375,1190,58812,87.3608,5.3529,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted3phase_gsm8k512_p00/benchmark/promoted3phase_gsm8k512_p00_gsm8k_512_0_threshold_0.9_0.jsonl
