label,task,n,mini,generation,threshold,policy,policy_class,observer_heavy,correct,accuracy_pct,nfe,generated_tokens,bct_s,waves,evidence
dynpilot1_gsm8k32_p00,gsm8k,32,32,128,0.9,"phase:0.9,0.9,0.9",dynamic,False,13,40.625,102,5224,7.7039,1,actual_full_trajectory
frontier1_gsm8k32_t800,gsm8k,32,32,128,0.8,static,static,False,12,37.5,91,5212,6.8763,1,actual_full_trajectory
frontier1_gsm8k32_t850,gsm8k,32,32,128,0.85,static,static,False,12,37.5,100,5203,10.4423,1,actual_full_trajectory
frontier1_gsm8k32_t950,gsm8k,32,32,128,0.95,static,static,False,12,37.5,118,5226,13.1291,1,actual_full_trajectory
frontier2_gsm8k32_t825,gsm8k,32,32,128,0.825,static,static,False,13,40.625,88,5211,9.286,1,actual_full_trajectory
frontier2_gsm8k32_t875,gsm8k,32,32,128,0.875,static,static,False,12,37.5,98,5215,12.8706,1,actual_full_trajectory
frontier2_gsm8k32_t900,gsm8k,32,32,128,0.9,static,static,False,13,40.625,102,5224,7.7427,1,actual_full_trajectory
frontier2_gsm8k32_t925,gsm8k,32,32,128,0.925,static,static,False,12,37.5,115,5208,12.9756,1,actual_full_trajectory
full1_gsm8k1319_t900,gsm8k,1319,32,128,0.9,static,static,False,144,10.917361637604246,3226,148238,227.7815,42,actual_full_trajectory
full1phase_gsm8k1319_p00,gsm8k,1319,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,146,11.06899166034875,2965,148237,212.0893,42,actual_full_trajectory
full1static_gsm8k1319_t800,gsm8k,1319,32,128,0.8,static,static,False,142,10.765731614859742,2758,148226,265.4381,42,actual_full_trajectory
full1static_gsm8k1319_t825,gsm8k,1319,32,128,0.825,static,static,False,140,10.614101592115238,2863,148220,215.6695,42,actual_full_trajectory
full2static_gsm8k1319_t800,gsm8k,1319,32,128,0.8,static,static,False,142,10.765731614859742,2758,148226,229.017,42,actual_full_trajectory
full2static_gsm8k1319_t825,gsm8k,1319,32,128,0.825,static,static,False,140,10.614101592115238,2863,148220,201.9536,42,actual_full_trajectory
gsm32_t090_r2,gsm8k,32,32,128,0.9,static,static,False,13,40.625,102,5224,11.2508,1,actual_full_trajectory
hemini16_humaneval164_t900,humaneval,164,16,128,0.9,static,static,False,13,7.926829268292683,672,23413,47.1545,6,actual_full_trajectory
hemini16phase_humaneval164_p00,humaneval,164,16,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,14,8.536585365853659,613,23427,45.294200000000004,6,actual_full_trajectory
pair2_gsm8k32_t825,gsm8k,32,32,128,0.825,static,static,False,13,40.625,88,5211,6.4132,1,actual_full_trajectory
pair2_gsm8k32_t900,gsm8k,32,32,128,0.9,static,static,False,13,40.625,102,5224,7.5477,1,actual_full_trajectory
pair3_gsm8k32_t825,gsm8k,32,32,128,0.825,static,static,False,13,40.625,88,5211,9.5173,1,actual_full_trajectory
pair3_gsm8k32_t900,gsm8k,32,32,128,0.9,static,static,False,13,40.625,102,5224,7.6532,1,actual_full_trajectory
phase32a_gsm8k32_p00,gsm8k,32,32,128,0.9,"phase:0.9,0.8,0.9",dynamic,False,12,37.5,96,5223,7.1328,1,actual_full_trajectory
phase32a_gsm8k32_p01,gsm8k,32,32,128,0.9,"phase:0.9,0.825,0.9",dynamic,False,12,37.5,99,5240,7.3507,1,actual_full_trajectory
phase32a_gsm8k32_p02,gsm8k,32,32,128,0.9,"phase:0.825,0.9,0.9",dynamic,False,12,37.5,103,5244,7.6125,1,actual_full_trajectory
phase32a_gsm8k32_p03,gsm8k,32,32,128,0.9,"phase:0.9,0.9,0.825",dynamic,False,12,37.5,102,5218,7.558,1,actual_full_trajectory
phase32a_gsm8k32_p04,gsm8k,32,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,13,40.625,95,5213,7.115,1,actual_full_trajectory
phase32a_gsm8k32_p05,gsm8k,32,32,128,0.9,"phase:0.825,0.8,0.9",dynamic,False,12,37.5,92,5267,7.0497,1,actual_full_trajectory
phase32a_gsm8k32_p06,gsm8k,32,32,128,0.9,"phase:0.8,0.9,0.9",dynamic,False,12,37.5,102,5216,7.9647,1,actual_full_trajectory
promoted1_gsm8k512_t825,gsm8k,512,32,128,0.825,static,static,False,69,13.4765625,1125,58812,113.8877,16,actual_full_trajectory
promoted1_gsm8k512_t900,gsm8k,512,32,128,0.9,static,static,False,68,13.28125,1300,58819,113.864,16,actual_full_trajectory
promoted1phase_gsm8k512_p00,gsm8k,512,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,67,13.0859375,1190,58812,85.558,16,actual_full_trajectory
promoted2_gsm8k512_t900,gsm8k,512,32,128,0.9,static,static,False,68,13.28125,1300,58819,92.4178,16,actual_full_trajectory
promoted2phase_retry_gsm8k512_p00,gsm8k,512,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,67,13.0859375,1190,58812,95.1646,16,actual_full_trajectory
promoted3_gsm8k512_t900,gsm8k,512,32,128,0.9,static,static,False,68,13.28125,1300,58819,100.336,16,actual_full_trajectory
promoted3phase_gsm8k512_p00,gsm8k,512,32,128,0.9,"phase:0.9,0.825,0.825",dynamic,False,67,13.0859375,1190,58812,87.3608,16,actual_full_trajectory
