label,task,n,threshold,correct,accuracy,nfe,generated_tokens,bct_s,tokens_per_forward,answer_file
frontier1_gsm8k32_t800,gsm8k,32,0.8,12,0.375,91,5212,6.8763,57.27472527472528,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier1_gsm8k32_t800/benchmark/frontier1_gsm8k32_t800_gsm8k_32_0_threshold_0.8_0.jsonl
frontier1_gsm8k32_t850,gsm8k,32,0.85,12,0.375,100,5203,10.4423,52.03,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier1_gsm8k32_t850/benchmark/frontier1_gsm8k32_t850_gsm8k_32_0_threshold_0.85_0.jsonl
frontier1_gsm8k32_t950,gsm8k,32,0.95,12,0.375,118,5226,13.1291,44.28813559322034,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier1_gsm8k32_t950/benchmark/frontier1_gsm8k32_t950_gsm8k_32_0_threshold_0.95_0.jsonl
frontier2_gsm8k32_t825,gsm8k,32,0.825,13,0.40625,88,5211,9.286,59.21590909090909,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier2_gsm8k32_t825/benchmark/frontier2_gsm8k32_t825_gsm8k_32_0_threshold_0.825_0.jsonl
frontier2_gsm8k32_t875,gsm8k,32,0.875,12,0.375,98,5215,12.8706,53.214285714285715,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier2_gsm8k32_t875/benchmark/frontier2_gsm8k32_t875_gsm8k_32_0_threshold_0.875_0.jsonl
frontier2_gsm8k32_t900,gsm8k,32,0.9,13,0.40625,102,5224,7.7427,51.21568627450981,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier2_gsm8k32_t900/benchmark/frontier2_gsm8k32_t900_gsm8k_32_0_threshold_0.9_0.jsonl
frontier2_gsm8k32_t925,gsm8k,32,0.925,12,0.375,115,5208,12.9756,45.28695652173913,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/frontier2_gsm8k32_t925/benchmark/frontier2_gsm8k32_t925_gsm8k_32_0_threshold_0.925_0.jsonl
full1_gsm8k1319_t900,gsm8k,1319,0.9,144,0.10917361637604246,3226,148238,227.7815,45.95102293862368,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full1_gsm8k1319_t900/benchmark/full1_gsm8k1319_t900_gsm8k_1319_0_threshold_0.9_0.jsonl
full1static_gsm8k1319_t800,gsm8k,1319,0.8,142,0.10765731614859743,2758,148226,265.4381,53.74401740391588,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full1static_gsm8k1319_t800/benchmark/full1static_gsm8k1319_t800_gsm8k_1319_0_threshold_0.8_0.jsonl
full1static_gsm8k1319_t825,gsm8k,1319,0.825,140,0.10614101592115238,2863,148220,215.6695,51.77086971707999,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full1static_gsm8k1319_t825/benchmark/full1static_gsm8k1319_t825_gsm8k_1319_0_threshold_0.825_0.jsonl
full2static_gsm8k1319_t800,gsm8k,1319,0.8,142,0.10765731614859743,2758,148226,229.017,53.74401740391588,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full2static_gsm8k1319_t800/benchmark/full2static_gsm8k1319_t800_gsm8k_1319_0_threshold_0.8_0.jsonl
full2static_gsm8k1319_t825,gsm8k,1319,0.825,140,0.10614101592115238,2863,148220,201.9536,51.77086971707999,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/full2static_gsm8k1319_t825/benchmark/full2static_gsm8k1319_t825_gsm8k_1319_0_threshold_0.825_0.jsonl
gsm32_t090_r2,gsm8k,32,0.9,13,0.40625,102,5224,11.2508,51.21568627450981,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/gsm32_t090_r2/benchmark/gsm32_t090_r2_gsm8k_32_0_threshold_0.9_0.jsonl
hemini16_humaneval164_t900,humaneval,164,0.9,13,0.07926829268292683,672,23413,47.1545,34.84077380952381,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/hemini16_humaneval164_t900/benchmark/hemini16_humaneval164_t900_humaneval_164_0_threshold_0.9_0.jsonl
pair2_gsm8k32_t825,gsm8k,32,0.825,13,0.40625,88,5211,6.4132,59.21590909090909,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/pair2_gsm8k32_t825/benchmark/pair2_gsm8k32_t825_gsm8k_32_0_threshold_0.825_0.jsonl
pair2_gsm8k32_t900,gsm8k,32,0.9,13,0.40625,102,5224,7.5477,51.21568627450981,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/pair2_gsm8k32_t900/benchmark/pair2_gsm8k32_t900_gsm8k_32_0_threshold_0.9_0.jsonl
pair3_gsm8k32_t825,gsm8k,32,0.825,13,0.40625,88,5211,9.5173,59.21590909090909,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/pair3_gsm8k32_t825/benchmark/pair3_gsm8k32_t825_gsm8k_32_0_threshold_0.825_0.jsonl
pair3_gsm8k32_t900,gsm8k,32,0.9,13,0.40625,102,5224,7.6532,51.21568627450981,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/pair3_gsm8k32_t900/benchmark/pair3_gsm8k32_t900_gsm8k_32_0_threshold_0.9_0.jsonl
promoted1_gsm8k512_t825,gsm8k,512,0.825,69,0.134765625,1125,58812,113.8877,52.27733333333333,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted1_gsm8k512_t825/benchmark/promoted1_gsm8k512_t825_gsm8k_512_0_threshold_0.825_0.jsonl
promoted1_gsm8k512_t900,gsm8k,512,0.9,68,0.1328125,1300,58819,113.864,45.245384615384616,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted1_gsm8k512_t900/benchmark/promoted1_gsm8k512_t900_gsm8k_512_0_threshold_0.9_0.jsonl
promoted2_gsm8k512_t900,gsm8k,512,0.9,68,0.1328125,1300,58819,92.4178,45.245384615384616,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted2_gsm8k512_t900/benchmark/promoted2_gsm8k512_t900_gsm8k_512_0_threshold_0.9_0.jsonl
promoted3_gsm8k512_t900,gsm8k,512,0.9,68,0.1328125,1300,58819,100.336,45.245384615384616,/home/esjung/MLLM-EP-adaptive-budget/poc_ep_adaptive_budget/results/promoted3_gsm8k512_t900/benchmark/promoted3_gsm8k512_t900_gsm8k_512_0_threshold_0.9_0.jsonl
