task,block_length,x,y,spearman_rho,observations
gsm8k,8,live_ratio,model_forward_ms,0.005774516152021698,263
gsm8k,8,live_ratio,active_experts,0.07496418112697634,263
gsm8k,8,live_ratio,rows_per_active_expert_mean,0.2816925485245736,263
gsm8k,8,live_ratio,tiny_expert_fraction_le4,-0.2572503074444493,263
gsm8k,8,live_ratio,rank_load_cv,0.1331899110494126,263
gsm8k,8,live_ratio,rank_fanout_mean,-0.09371350921862574,263
gsm8k,8,live_ratio,remote_fraction,-0.015829423914572694,263
gsm8k,8,live_ratio,dispatch_bytes_bf16,0.18733485364784916,263
gsm8k,8,live_ratio,attention_critical_ms,-0.11969258478335307,263
gsm8k,8,live_ratio,dispatch_critical_ms,0.1367514014466123,263
gsm8k,8,live_ratio,expert_critical_ms,0.04224804376983817,263
gsm8k,8,live_ratio,combine_critical_ms,-0.018733702958431037,263
gsm8k,16,live_ratio,model_forward_ms,0.08011742448395999,263
gsm8k,16,live_ratio,active_experts,-0.11982803070329438,263
gsm8k,16,live_ratio,rows_per_active_expert_mean,0.40873393592905005,263
gsm8k,16,live_ratio,tiny_expert_fraction_le4,-0.007690639450248095,263
gsm8k,16,live_ratio,rank_load_cv,0.5681692433792397,263
gsm8k,16,live_ratio,rank_fanout_mean,-0.3067542043695805,263
gsm8k,16,live_ratio,remote_fraction,-0.09166401413803332,263
gsm8k,16,live_ratio,dispatch_bytes_bf16,0.1109878217887671,263
gsm8k,16,live_ratio,attention_critical_ms,0.017050951334051902,263
gsm8k,16,live_ratio,dispatch_critical_ms,0.11521281123582125,263
gsm8k,16,live_ratio,expert_critical_ms,-0.08779190158504604,263
gsm8k,16,live_ratio,combine_critical_ms,0.222238274817996,263
gsm8k,32,live_ratio,model_forward_ms,-0.007753440327431032,361
gsm8k,32,live_ratio,active_experts,-0.6393427519879997,361
gsm8k,32,live_ratio,rows_per_active_expert_mean,0.6404854941756705,361
gsm8k,32,live_ratio,tiny_expert_fraction_le4,0.4787013162707652,361
gsm8k,32,live_ratio,rank_load_cv,0.8026127615918651,361
gsm8k,32,live_ratio,rank_fanout_mean,-0.35474756231997395,361
gsm8k,32,live_ratio,remote_fraction,-0.00966543747549692,361
gsm8k,32,live_ratio,dispatch_bytes_bf16,0.09937267801302024,361
gsm8k,32,live_ratio,attention_critical_ms,-0.0747461951678806,361
gsm8k,32,live_ratio,dispatch_critical_ms,0.03370848071289175,361
gsm8k,32,live_ratio,expert_critical_ms,-0.42451034540190097,361
gsm8k,32,live_ratio,combine_critical_ms,0.2877244298599236,361
gsm8k,64,live_ratio,model_forward_ms,0.11633258209028054,601
gsm8k,64,live_ratio,active_experts,-0.758994814129102,601
gsm8k,64,live_ratio,rows_per_active_expert_mean,0.8305057329948694,601
gsm8k,64,live_ratio,tiny_expert_fraction_le4,0.6647846527949972,601
gsm8k,64,live_ratio,rank_load_cv,0.7981023875905047,601
gsm8k,64,live_ratio,rank_fanout_mean,0.10518017302873804,601
gsm8k,64,live_ratio,remote_fraction,-0.02602825688149112,601
gsm8k,64,live_ratio,dispatch_bytes_bf16,0.05344593939268372,601
gsm8k,64,live_ratio,attention_critical_ms,0.10158042054367897,601
gsm8k,64,live_ratio,dispatch_critical_ms,0.13619059792903812,601
gsm8k,64,live_ratio,expert_critical_ms,-0.5672352561798188,601
gsm8k,64,live_ratio,combine_critical_ms,0.4949659285563988,601
gsm8k,128,live_ratio,model_forward_ms,0.2997463887756122,1216
gsm8k,128,live_ratio,active_experts,-0.7725685268600313,1216
gsm8k,128,live_ratio,rows_per_active_expert_mean,0.8234348693722351,1216
gsm8k,128,live_ratio,tiny_expert_fraction_le4,0.7166703866465604,1216
gsm8k,128,live_ratio,rank_load_cv,0.8100069644136569,1216
gsm8k,128,live_ratio,rank_fanout_mean,0.14569372835027755,1216
gsm8k,128,live_ratio,remote_fraction,0.019139195069894227,1216
gsm8k,128,live_ratio,dispatch_bytes_bf16,0.05771448786108435,1216
gsm8k,128,live_ratio,attention_critical_ms,0.17673923347397055,1216
gsm8k,128,live_ratio,dispatch_critical_ms,0.11072582070001258,1216
gsm8k,128,live_ratio,expert_critical_ms,-0.6797906044350073,1216
gsm8k,128,live_ratio,combine_critical_ms,0.19496329720890174,1216
humaneval,8,live_ratio,model_forward_ms,0.11864672066675315,165
humaneval,8,live_ratio,active_experts,-0.1573895642660271,165
humaneval,8,live_ratio,rows_per_active_expert_mean,0.3303971662363578,165
humaneval,8,live_ratio,tiny_expert_fraction_le4,-0.2901495012372862,165
humaneval,8,live_ratio,rank_load_cv,0.061691695777517264,165
humaneval,8,live_ratio,rank_fanout_mean,0.04128326426045654,165
humaneval,8,live_ratio,remote_fraction,-0.1247611128346018,165
humaneval,8,live_ratio,dispatch_bytes_bf16,0.047534641010904356,165
humaneval,8,live_ratio,attention_critical_ms,0.05652123545624354,165
humaneval,8,live_ratio,dispatch_critical_ms,0.07393645125755369,165
humaneval,8,live_ratio,expert_critical_ms,-0.02918473764921881,165
humaneval,8,live_ratio,combine_critical_ms,0.009029487772919094,165
humaneval,16,live_ratio,model_forward_ms,0.20032428385154497,143
humaneval,16,live_ratio,active_experts,-0.0073744089234301,143
