task,block_length,mini_batch_size,phase,waves,physical_rows_median,physical_rows_mean,live_ratio_median,live_ratio_mean,model_forward_ms_median,model_forward_ms_mean,active_experts_median,active_experts_mean,rows_per_active_expert_mean_median,rows_per_active_expert_mean_mean,tiny_expert_fraction_le4_median,tiny_expert_fraction_le4_mean,rank_load_cv_median,rank_load_cv_mean,rank_fanout_mean_median,rank_fanout_mean_mean,remote_fraction_median,remote_fraction_mean,dispatch_bytes_bf16_median,dispatch_bytes_bf16_mean,attention_critical_ms_median,attention_critical_ms_mean,dispatch_critical_ms_median,dispatch_critical_ms_mean,expert_critical_ms_median,expert_critical_ms_mean,combine_critical_ms_median,combine_critical_ms_mean
gsm8k,8,8,early,9,40.0,47.111111111111114,0.75,0.7686342592592593,91.0224609375,90.81746419270833,90.6,90.77777777777777,3.9711044511044506,4.174288537749903,0.7307271617271617,0.723132881920835,0.3652570142179783,0.3580449626386104,3.028125,3.0288889262411325,0.75625,0.7581915509259259,2008678.4,2348191.2888888884,0.5851455926895142,0.5862648910946316,1.3030399799346923,1.3062065680821737,0.5147199928760529,0.5190485311879053,0.11373440325260162,0.11611164510250092
gsm8k,8,8,late,28,40.0,36.0,0.27142857142857146,0.23178146258503401,90.9106559753418,92.68635068620954,97.5,88.33571428571427,3.226377904892993,3.1076709589620077,0.8010707144360392,0.8181601521396618,0.3414654859830375,0.3399052590716101,3.035625034570694,3.049381434491703,0.7513671875000001,0.7525418526785715,1993113.6,1778834.2857142857,0.5988799929618835,0.6273053744009562,1.2503552079200744,1.2584699434893474,0.5271680027246475,0.5393010286348207,0.11112640053033829,0.1244598853800978
gsm8k,8,8,middle,93,48.0,47.74193548387097,0.5,0.500828853046595,91.12105560302734,92.49589349890267,106.6,102.46881720430108,3.767382488401934,3.756103580349186,0.7509190452609653,0.75598412811258,0.3166159987682874,0.32931147684623246,3.05,3.0422424641988606,0.7515625,0.751854998719918,2413363.2,2349307.04516129,0.5891584038734436,0.6140794504073358,1.3682752132415772,1.3383642847819996,0.5409536063671112,0.5432454180973832,0.11658239811658859,0.12461226673055721
gsm8k,8,32,early,6,164.0,154.66666666666666,0.70497311827957,0.7961735163698699,130.047119140625,133.2468516031901,142.0,127.7,8.869752407061554,8.851054781986216,0.5250342124855882,0.5592490414859262,0.35201182740348014,0.3768293692450127,2.9996075093746186,2.9778773327668504,0.7474557328190744,0.7495359597612402,8105164.8,7623748.2666666685,0.6681312024593353,0.6941695988178253,3.0594047784805296,2.8147071838378905,0.8046400070190429,2.8122378528118137,0.20663040056824683,2.258188774685065
gsm8k,8,32,late,20,24.0,44.0,0.19791666666666669,0.19346119007803791,102.28937911987305,113.24678840637208,77.4,88.46,2.568395318716771,3.250895127731089,0.86699659242316,0.8157439977792669,0.3266517281660327,0.3528203912117977,3.026388949155807,3.040366433262825,0.7526494565217392,0.7555015814122472,1182105.6,2172518.4,0.655676805973053,0.6864880025386811,1.3878623843193054,1.5489612835645672,0.5567616045475006,0.613601919412613,0.13548480048775674,0.17085087969899176
gsm8k,8,32,middle,107,224.0,192.14953271028037,0.46875,0.47614998044243867,123.31279754638672,124.11563438344224,172.8,161.88411214953268,10.326432885630059,9.327703305899345,0.4450608080787407,0.4934237017821244,0.28851872010654367,0.29702839668970465,3.028125,3.031965069458863,0.7524305555555555,0.7535814882675318,11165696.0,9484100.426168226,0.660204803943634,0.736195591454194,3.6094784259796144,3.2312023352239727,0.8351807951927185,0.8078449633633978,0.14911360144615174,0.16149466915108335
gsm8k,16,8,early,11,112.0,98.9090909090909,0.734375,0.7489448051948052,109.57644653320312,116.16156699440695,116.0,118.7818181818182,6.786030757168736,6.816050629628375,0.6071091175468645,0.6126022240660683,0.3798196172465555,0.3706365175599343,3.0000001430511474,3.0061486233364447,0.7546875,0.7547747564935064,5439488.0,4886304.581818182,0.681491208076477,0.7456558498469267,2.255583930015564,2.276796501333063,0.6871680021286011,0.6744232719594782,0.22316800355911254,0.21406021795489574
gsm8k,16,8,late,28,80.0,69.14285714285714,0.2421875,0.22701955782312927,104.58118438720703,111.45367295401437,124.5,114.67142857142858,4.818124013252535,4.519972795292691,0.6768622527658998,0.703719200948172,0.30103627276979705,0.29875350814388274,3.045870614051819,3.049390988690512,0.7560267857142857,0.7548375717474489,3875635.2,3418931.2,0.6749440014362336,0.7174171413694108,1.8253023982048036,1.9206445638622558,0.6896416008472442,0.6733476570674354,0.19937919899821283,0.21477028668991158
gsm8k,16,8,middle,76,80.0,88.63157894736842,0.4625,0.4762139724310777,108.81028747558594,116.46287386040939,124.7,124.3657894736842,5.523228800387595,5.6237444254511635,0.632828942036634,0.6405870174184818,0.3219655978885748,0.3232230644731526,3.047172731161117,3.03895252111711,0.7528571428571428,0.7517037956218671,4027187.2,4367435.452631579,0.727183997631073,0.7699552852072215,2.174009644985199,2.22323966308644,0.704886394739151,0.6984169268294385,0.2283807948231697,0.22735376798204684
gsm8k,16,16,early,29,256.0,256.0,0.7578125,0.790948275862069,117.57494354248047,126.78411970467403,158.8,157.0,13.062242993902519,13.35237749152828,0.44456650316379526,0.44547683666489146,0.357418431582211,0.36018034194391013,3.01953125,3.017699353448276,0.75087890625,0.7476932920258621,12597657.6,12544211.862068966,0.6029888033866883,0.9531581845776788,3.6262399673461916,3.64538725820081,0.8039680004119873,0.7976549539072761,0.1545087993144989,0.15865357235587874
