task,sample_count,regime,decoder_control,block_length,mini_batch_size,generation,threshold,threshold_requested,threshold_effective,target_total_length,repeat,quality_correct,quality_total,accuracy,nfe,bct_s,run_dir
gsm8k,8,effort,legacy_threshold_overridden,128,8,128,0.9,1.0,0.9,256,1,5,8,0.625,103,8.590946912765503,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B128_m8_g128_t1.0_L256_r1
gsm8k,8,effort,legacy_threshold_overridden,16,8,128,0.9,1.0,0.9,256,1,5,8,0.625,116,9.27420711517334,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B16_m8_g128_t1.0_L256_r1
gsm8k,8,effort,legacy_threshold_overridden,32,8,128,0.9,1.0,0.9,256,1,5,8,0.625,106,9.234050750732422,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B32_m8_g128_t1.0_L256_r1
gsm8k,8,effort,legacy_threshold_overridden,64,8,128,0.9,1.0,0.9,256,1,5,8,0.625,99,8.608670949935913,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B64_m8_g128_t1.0_L256_r1
gsm8k,8,effort,legacy_threshold_overridden,8,8,128,0.9,1.0,0.9,256,1,5,8,0.625,131,11.331738471984863,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B8_m8_g128_t1.0_L256_r1
humaneval,8,effort,legacy_threshold_overridden,128,8,128,0.9,1.0,0.9,384,1,3,8,0.375,95,8.376246452331543,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B128_m8_g128_t1.0_L384_r1
humaneval,8,effort,legacy_threshold_overridden,16,8,128,0.9,1.0,0.9,384,1,3,8,0.375,144,13.326161861419678,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B16_m8_g128_t1.0_L384_r1
humaneval,8,effort,legacy_threshold_overridden,32,8,128,0.9,1.0,0.9,384,1,3,8,0.375,111,11.493791103363037,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B32_m8_g128_t1.0_L384_r1
humaneval,8,effort,legacy_threshold_overridden,64,8,128,0.9,1.0,0.9,384,1,3,8,0.375,132,11.136204957962036,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B64_m8_g128_t1.0_L384_r1
humaneval,8,effort,legacy_threshold_overridden,8,8,128,0.9,1.0,0.9,384,1,3,8,0.375,166,13.711768388748169,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B8_m8_g128_t1.0_L384_r1
gsm8k,8,effortnoeos,no_early_stop_threshold0.9,128,8,128,0.9,1.0,0.9,256,1,5,8,0.625,103,8.99313235282898,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B128_m8_g128_t1.0_L256_r1
gsm8k,8,effortnoeos,no_early_stop_threshold0.9,16,8,128,0.9,1.0,0.9,256,1,5,8,0.625,115,9.492299556732178,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B16_m8_g128_t1.0_L256_r1
gsm8k,8,effortnoeos,no_early_stop_threshold0.9,32,8,128,0.9,1.0,0.9,256,1,6,8,0.75,111,9.864650011062622,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B32_m8_g128_t1.0_L256_r1
gsm8k,8,effortnoeos,no_early_stop_threshold0.9,64,8,128,0.9,1.0,0.9,256,1,5,8,0.625,99,8.254069566726685,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B64_m8_g128_t1.0_L256_r1
gsm8k,8,effortnoeos,no_early_stop_threshold0.9,8,8,128,0.9,1.0,0.9,256,1,4,8,0.5,132,11.384657382965088,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B8_m8_g128_t1.0_L256_r1
humaneval,8,effortnoeos,no_early_stop_threshold0.9,128,8,128,0.9,1.0,0.9,384,1,3,8,0.375,95,7.865416526794434,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B128_m8_g128_t1.0_L384_r1
humaneval,8,effortnoeos,no_early_stop_threshold0.9,16,8,128,0.9,1.0,0.9,384,1,3,8,0.375,142,12.453009843826294,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B16_m8_g128_t1.0_L384_r1
humaneval,8,effortnoeos,no_early_stop_threshold0.9,32,8,128,0.9,1.0,0.9,384,1,3,8,0.375,111,10.342043399810791,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B32_m8_g128_t1.0_L384_r1
humaneval,8,effortnoeos,no_early_stop_threshold0.9,64,8,128,0.9,1.0,0.9,384,1,3,8,0.375,132,11.0640127658844,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B64_m8_g128_t1.0_L384_r1
humaneval,8,effortnoeos,no_early_stop_threshold0.9,8,8,128,0.9,1.0,0.9,384,1,3,8,0.375,166,14.720622301101685,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B8_m8_g128_t1.0_L384_r1
gsm8k,32,fixedmini,serving_native,128,8,128,0.9,0.9,0.9,,1,9,32,0.28125,276,24.47190499305725,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B128_m8_g128_t0.9_r1
gsm8k,32,fixedmini,serving_native,16,8,128,0.9,0.9,0.9,,1,13,32,0.40625,287,24.31148648262024,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B16_m8_g128_t0.9_r1
gsm8k,32,fixedmini,serving_native,32,8,128,0.9,0.9,0.9,,1,13,32,0.40625,260,22.44863748550415,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B32_m8_g128_t0.9_r1
gsm8k,32,fixedmini,serving_native,64,8,128,0.9,0.9,0.9,,1,15,32,0.46875,250,21.03674030303955,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B64_m8_g128_t0.9_r1
gsm8k,32,fixedmini,serving_native,8,8,128,0.9,0.9,0.9,,1,13,32,0.40625,354,28.465256929397583,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B8_m8_g128_t0.9_r1
humaneval,32,fixedmini,serving_native,128,8,128,0.9,0.9,0.9,,1,10,32,0.3125,152,13.838669776916504,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B128_m8_g128_t0.9_r1
humaneval,32,fixedmini,serving_native,16,8,128,0.9,0.9,0.9,,1,14,32,0.4375,266,21.499093294143677,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B16_m8_g128_t0.9_r1
humaneval,32,fixedmini,serving_native,32,8,128,0.9,0.9,0.9,,1,16,32,0.5,235,20.428930044174194,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B32_m8_g128_t0.9_r1
humaneval,32,fixedmini,serving_native,64,8,128,0.9,0.9,0.9,,1,14,32,0.4375,214,17.986751317977905,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B64_m8_g128_t0.9_r1
humaneval,32,fixedmini,serving_native,8,8,128,0.9,0.9,0.9,,1,15,32,0.46875,355,29.347177743911743,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B8_m8_g128_t0.9_r1
gsm8k,32,frontier,serving_native,128,16,128,0.9,0.9,0.9,256,5,11,32,0.34375,151,14.055897951126099,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B128_m16_g128_t0.9_L256_r5
gsm8k,32,frontier,serving_native,128,2,128,0.9,0.9,0.9,256,2,10,32,0.3125,1115,96.37265753746033,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B128_m2_g128_t0.9_L256_r2
gsm8k,32,frontier,serving_native,128,4,128,0.9,0.9,0.9,256,2,9,32,0.28125,560,47.33087635040283,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B128_m4_g128_t0.9_L256_r2
gsm8k,32,frontier,serving_native,16,16,128,0.9,0.9,0.9,256,2,11,32,0.34375,150,11.982459545135498,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B16_m16_g128_t0.9_L256_r2
gsm8k,32,frontier,serving_native,16,32,128,0.9,0.9,0.9,256,2,13,32,0.40625,116,11.247262001037598,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B16_m32_g128_t0.9_L256_r2
gsm8k,32,frontier,serving_native,32,16,128,0.9,0.9,0.9,256,2,12,32,0.375,145,12.538766145706177,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B32_m16_g128_t0.9_L256_r2
gsm8k,32,frontier,serving_native,32,32,128,0.9,0.9,0.9,256,1,13,32,0.40625,102,9.033670663833618,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B32_m32_g128_t0.9_L256_r1
gsm8k,32,frontier,serving_native,64,16,128,0.9,0.9,0.9,256,2,14,32,0.4375,137,11.724724054336548,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B64_m16_g128_t0.9_L256_r2
