task,block_length,physical_rows_median,decision_live_ratio_median,modeled_live_rows_median,modeled_dead_rows_median,modeled_row_reduction_percent,active_experts_before_median,tiny_expert_fraction_before_median,evidence
gsm8k,8,48.0,0.45870535714285715,22.017857142857142,25.982142857142854,54.12946428571428,101.9,0.7544452577791403,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
gsm8k,16,80.0,0.4375,35.0,45.0,56.25,124.0,0.6372474285838537,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
gsm8k,32,160.0,0.4285714285714285,68.57142857142856,91.42857142857144,57.14285714285715,150.8,0.4965725993860976,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
gsm8k,64,320.0,0.4285714285714285,137.1428571428571,182.8571428571429,57.14285714285715,175.7,0.3818286296115096,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
gsm8k,128,704.0,0.38720703125,272.59375,431.40625,61.279296875,191.89999999999998,0.2926107496007493,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
humaneval,8,48.0,0.5,24.0,24.0,50.0,110.6,0.7736947738752484,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
humaneval,16,48.0,0.46875,22.5,25.5,53.125,102.6,0.7282463158960855,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
humaneval,32,128.0,0.4497767857142857,57.57142857142857,70.42857142857143,55.02232142857143,148.0,0.5106352524792248,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
humaneval,64,192.0,0.3816964285714285,73.28571428571428,118.71428571428572,61.83035714285715,162.8,0.4720589716198228,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
humaneval,128,704.0,0.45256696428571425,318.60714285714283,385.3928571428572,54.743303571428584,194.0,0.2875967958541221,modeled live-row count from measured mask state; not measured Epoch latency and no compacted routing claim
