plan,task,n,mini,target,threshold,repeat,barrier,schedule_barrier,policy,block_schedule,fixed,model_seconds,elapsed_seconds,nfe,generated_tokens,correct,total,accuracy,passing_ids,evidence,result_dir
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,128,[128],True,10.36995005607605,10.371267795562744,103,1204,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_16_16_16_16_16,"[16,16,16,16,16,16,16,16]",True,9.379981756210327,9.383008241653442,116,1263,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_16_16_16_32,"[16,16,16,16,16,16,32]",False,17.945213317871094,17.94696021080017,182,1263,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_16_16_32_16,"[16,16,16,16,16,32,16]",False,19.523437023162842,19.525076627731323,221,1263,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_16_32_16_16,"[16,16,16,16,32,16,16]",False,22.475842475891113,22.477546453475952,232,1263,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_16_32_32,"[16,16,16,16,32,32]",False,21.419264554977417,21.42071533203125,246,1263,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_16_64,"[16,16,16,16,64]",False,20.79598307609558,20.79728078842163,219,1263,5,8,0.625,"[0,1,3,4,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_32_16_16_16,"[16,16,16,32,16,16,16]",False,20.02516484260559,20.02776837348938,229,1268,4,8,0.5,"[0,1,3,4]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_32_16_32,"[16,16,16,32,16,32]",False,19.8612539768219,19.862748622894287,221,1268,4,8,0.5,"[0,1,3,4]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_32_32_16,"[16,16,16,32,32,16]",False,15.63907790184021,15.640295028686523,190,1267,4,8,0.5,"[0,1,3,4]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_16_64_16,"[16,16,16,64,16]",False,16.08296298980713,16.084688186645508,197,1264,5,8,0.625,"[0,1,3,4,5]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_32_16_16_16_16,"[16,16,32,16,16,16,16]",False,20.38937497138977,20.391026735305786,206,1246,4,8,0.5,"[0,1,3,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
exhaustive_128,gsm8k,8,8,256,0.9,9,,False,16_16_32_16_16_32,"[16,16,32,16,16,32]",False,20.078011989593506,20.079203128814697,208,1243,4,8,0.5,"[0,1,3,6]",clean actual trajectory; no independent-block summation,poc_ep_dynamic_block/results/schedules/schedule_exhaustive_128_gsm8k_n8_m8_L256_t0.9_r9
