regime,task,n,block,mini,gen,threshold,target_total,repeat,threshold_requested,threshold_effective,nfe,bct_s,tps,tpf,quality_correct,quality_total,accuracy,generated_tokens,peak_hbm_mib,mean_sampled_gpu_util_pct,clean_timing,run_dir
effort,gsm8k,8,128,8,128,0.9,256,1,1.0,0.9,103,8.590946912765503,140.18738566095323,11.689320388349515,5,8,0.625,1204,61535.0,14.026349614395887,True,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B128_m8_g128_t1.0_L256_r1
effort,gsm8k,8,16,8,128,0.9,256,1,1.0,0.9,116,9.27420711517334,136.22014121065817,10.887931034482758,5,8,0.625,1263,61011.0,14.644893111638956,True,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B16_m8_g128_t1.0_L256_r1
effort,gsm8k,8,32,8,128,0.9,256,1,1.0,0.9,106,9.234050750732422,136.59786642012153,11.89622641509434,5,8,0.625,1261,61089.0,15.442261904761905,True,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B32_m8_g128_t1.0_L256_r1
effort,gsm8k,8,64,8,128,0.9,256,1,1.0,0.9,99,8.608670949935913,143.49944400520147,12.474747474747474,5,8,0.625,1235,61245.0,12.809055118110237,True,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B64_m8_g128_t1.0_L256_r1
effort,gsm8k,8,8,8,128,0.9,256,1,1.0,0.9,131,11.331738471984863,111.48278209143308,9.641221374045802,5,8,0.625,1263,60971.0,14.541759465478842,True,poc_ep_dynamic_block/results/clean/effort_gsm8k_n8_B8_m8_g128_t1.0_L256_r1
effort,humaneval,8,128,8,128,0.9,384,1,1.0,0.9,95,8.376246452331543,216.27130149526147,19.063157894736843,3,8,0.375,1811,66505.0,14.130606860158311,True,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B128_m8_g128_t1.0_L384_r1
effort,humaneval,8,16,8,128,0.9,384,1,1.0,0.9,144,13.326161861419678,143.1344170339049,13.243055555555555,3,8,0.375,1907,65869.0,16.099887133182843,True,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B16_m8_g128_t1.0_L384_r1
effort,humaneval,8,32,8,128,0.9,384,1,1.0,0.9,111,11.493791103363037,164.03765694630303,16.98198198198198,3,8,0.375,1885,66029.0,16.28132387706856,True,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B32_m8_g128_t1.0_L384_r1
effort,humaneval,8,64,8,128,0.9,384,1,1.0,0.9,132,11.136204957962036,165.08950052653643,13.924242424242424,3,8,0.375,1838,66167.0,14.67,True,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B64_m8_g128_t1.0_L384_r1
effort,humaneval,8,8,8,128,0.9,384,1,1.0,0.9,166,13.711768388748169,138.5923876718862,11.44578313253012,3,8,0.375,1900,65867.0,16.385906040268456,True,poc_ep_dynamic_block/results/clean/effort_humaneval_n8_B8_m8_g128_t1.0_L384_r1
effortnoeos,gsm8k,8,128,8,128,0.9,256,1,1.0,0.9,103,8.99313235282898,133.91733673174355,11.689320388349515,5,8,0.625,1204,61535.0,15.315856777493606,True,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B128_m8_g128_t1.0_L256_r1
effortnoeos,gsm8k,8,16,8,128,0.9,256,1,1.0,0.9,115,9.492299556732178,133.08945315129137,10.982608695652173,5,8,0.625,1263,61011.0,15.5,True,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B16_m8_g128_t1.0_L256_r1
effortnoeos,gsm8k,8,32,8,128,0.9,256,1,1.0,0.9,111,9.864650011062622,127.86853078983859,11.36036036036036,6,8,0.75,1261,61087.0,16.33054892601432,True,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B32_m8_g128_t1.0_L256_r1
effortnoeos,gsm8k,8,64,8,128,0.9,256,1,1.0,0.9,99,8.254069566726685,149.6691362527851,12.474747474747474,5,8,0.625,1235,61245.0,11.810897435897436,True,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B64_m8_g128_t1.0_L256_r1
effortnoeos,gsm8k,8,8,8,128,0.9,256,1,1.0,0.9,132,11.384657382965088,110.96509743767353,9.568181818181818,4,8,0.5,1263,60991.0,15.86117381489842,True,poc_ep_dynamic_block/results/clean/effortnoeos_gsm8k_n8_B8_m8_g128_t1.0_L256_r1
effortnoeos,humaneval,8,128,8,128,0.9,384,1,1.0,0.9,95,7.865416526794434,230.32272488417738,19.063157894736843,3,8,0.375,1811,66485.0,13.23397435897436,True,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B128_m8_g128_t1.0_L384_r1
effortnoeos,humaneval,8,16,8,128,0.9,384,1,1.0,0.9,142,12.453009843826294,153.08604833806996,13.422535211267606,3,8,0.375,1906,65869.0,18.189359267734552,True,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B16_m8_g128_t1.0_L384_r1
effortnoeos,humaneval,8,32,8,128,0.9,384,1,1.0,0.9,111,10.342043399810791,182.31682991235846,16.98198198198198,3,8,0.375,1885,66027.0,16.66950113378685,True,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B32_m8_g128_t1.0_L384_r1
effortnoeos,humaneval,8,64,8,128,0.9,384,1,1.0,0.9,132,11.0640127658844,166.1673343280069,13.924242424242424,3,8,0.375,1838,66167.0,14.090680100755668,True,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B64_m8_g128_t1.0_L384_r1
effortnoeos,humaneval,8,8,8,128,0.9,384,1,1.0,0.9,166,14.720622301101685,129.09341202677663,11.44578313253012,3,8,0.375,1900,65867.0,17.70682302771855,True,poc_ep_dynamic_block/results/clean/effortnoeos_humaneval_n8_B8_m8_g128_t1.0_L384_r1
fixedmini,gsm8k,32,128,8,128,0.9,,1,0.9,0.9,276,24.47190499305725,211.7134500413775,18.768115942028984,9,32,0.28125,5180,62985.0,26.37714592274678,True,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B128_m8_g128_t0.9_r1
fixedmini,gsm8k,32,16,8,128,0.9,,1,0.9,0.9,287,24.31148648262024,214.30727331600607,18.149825783972126,13,32,0.40625,5209,65933.0,21.54527162977867,True,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B16_m8_g128_t0.9_r1
fixedmini,gsm8k,32,32,8,128,0.9,,1,0.9,0.9,260,22.44863748550415,234.01385882276153,20.2,13,32,0.40625,5252,63123.0,21.440548780487806,True,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B32_m8_g128_t0.9_r1
fixedmini,gsm8k,32,64,8,128,0.9,,1,0.9,0.9,250,21.03674030303955,252.23435785335775,20.76,15,32,0.46875,5190,61393.0,19.56081081081081,True,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B64_m8_g128_t0.9_r1
fixedmini,gsm8k,32,8,8,128,0.9,,1,0.9,0.9,354,28.465256929397583,184.18607069724322,14.807909604519773,13,32,0.40625,5242,62981.0,20.6984052532833,True,poc_ep_dynamic_block/results/clean/fixedmini_gsm8k_n32_B8_m8_g128_t0.9_r1
fixedmini,humaneval,32,128,8,128,0.9,,1,0.9,0.9,152,13.838669776916504,299.26375652029924,27.236842105263158,10,32,0.3125,4140,63335.0,18.40174129353234,True,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B128_m8_g128_t0.9_r1
fixedmini,humaneval,32,16,8,128,0.9,,1,0.9,0.9,266,21.499093294143677,287.66518674296196,23.24436090225564,14,32,0.4375,6183,70343.0,20.031446540880502,True,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B16_m8_g128_t0.9_r1
fixedmini,humaneval,32,32,8,128,0.9,,1,0.9,0.9,235,20.428930044174194,302.291964923409,26.272340425531915,16,32,0.5,6174,70599.0,21.82505285412262,True,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B32_m8_g128_t0.9_r1
fixedmini,humaneval,32,64,8,128,0.9,,1,0.9,0.9,214,17.986751317977905,336.0610142264603,28.238317757009344,14,32,0.4375,6043,69853.0,18.725118483412324,True,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B64_m8_g128_t0.9_r1
fixedmini,humaneval,32,8,8,128,0.9,,1,0.9,0.9,355,29.347177743911743,207.82401847224517,17.177464788732394,15,32,0.46875,6098,72667.0,21.747605363984675,True,poc_ep_dynamic_block/results/clean/fixedmini_humaneval_n32_B8_m8_g128_t0.9_r1
frontier,gsm8k,32,128,16,128,0.9,256,5,0.9,0.9,151,14.055897951126099,366.22756885263215,34.079470198675494,11,32,0.34375,5146,66777.0,22.90711009174312,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B128_m16_g128_t0.9_L256_r5
frontier,gsm8k,32,128,2,128,0.9,256,2,0.9,0.9,1115,96.37265753746033,53.76255178223517,4.646636771300448,10,32,0.3125,5181,58227.0,37.991027227722775,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B128_m2_g128_t0.9_L256_r2
frontier,gsm8k,32,128,4,128,0.9,256,2,0.9,0.9,560,47.33087635040283,109.43167607744907,9.248214285714285,9,32,0.28125,5179,59677.0,31.391014234875446,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B128_m4_g128_t0.9_L256_r2
frontier,gsm8k,32,16,16,128,0.9,256,2,0.9,0.9,150,11.982459545135498,436.47386973585196,34.85333333333333,11,32,0.34375,5228,74197.0,17.844594594594593,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B16_m16_g128_t0.9_L256_r2
frontier,gsm8k,32,16,32,128,0.9,256,2,0.9,0.9,116,11.247262001037598,465.3709937361339,45.10344827586207,13,32,0.40625,5232,81053.0,18.877586206896552,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B16_m32_g128_t0.9_L256_r2
frontier,gsm8k,32,32,16,128,0.9,256,2,0.9,0.9,145,12.538766145706177,416.4989574622096,36.0,12,32,0.375,5220,69571.0,19.613163972286372,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B32_m16_g128_t0.9_L256_r2
frontier,gsm8k,32,32,32,128,0.9,256,1,0.9,0.9,102,9.033670663833618,578.6298770318257,51.21568627450981,13,32,0.40625,5224,80979.0,17.07345971563981,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B32_m32_g128_t0.9_L256_r1
frontier,gsm8k,32,64,16,128,0.9,256,2,0.9,0.9,137,11.724724054336548,445.1600900342267,38.08029197080292,14,32,0.4375,5217,66421.0,19.24182242990654,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B64_m16_g128_t0.9_L256_r2
frontier,gsm8k,32,64,32,128,0.9,256,5,0.9,0.9,106,10.122854709625244,511.9395100431498,48.867924528301884,11,32,0.34375,5180,75343.0,16.623456790123456,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B64_m32_g128_t0.9_L256_r5
frontier,gsm8k,32,64,4,128,0.9,256,2,0.9,0.9,510,44.00325393676758,118.64140117179038,10.235294117647058,11,32,0.34375,5220,59055.0,27.867967332123413,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B64_m4_g128_t0.9_L256_r2
frontier,gsm8k,32,8,16,128,0.9,256,2,0.9,0.9,185,15.518046379089355,342.9303750451126,28.756756756756758,11,32,0.34375,5320,69335.0,19.23131868131868,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B8_m16_g128_t0.9_L256_r2
frontier,gsm8k,32,8,32,128,0.9,256,2,0.9,0.9,134,11.911832094192505,447.6138621150119,39.76865671641791,13,32,0.40625,5329,81009.0,18.31587837837838,True,poc_ep_dynamic_block/results/clean/frontier_gsm8k_n32_B8_m32_g128_t0.9_L256_r2
frontier,humaneval,32,16,16,128,0.9,384,5,0.9,0.9,189,16.833834886550903,457.2386588579408,40.70899470899471,17,32,0.53125,7694,74609.0,20.70766932270916,True,poc_ep_dynamic_block/results/clean/frontier_humaneval_n32_B16_m16_g128_t0.9_L384_r5
frontier,humaneval,32,32,16,128,0.9,384,5,0.9,0.9,200,16.602699518203735,462.6493702088092,38.395,17,32,0.53125,7679,74767.0,19.10448577680525,True,poc_ep_dynamic_block/results/clean/frontier_humaneval_n32_B32_m16_g128_t0.9_L384_r5
frontier,humaneval,32,64,16,128,0.9,384,5,0.9,0.9,166,15.246544361114502,493.79317923391716,45.33734939759036,17,32,0.53125,7526,74741.0,21.468546637744033,True,poc_ep_dynamic_block/results/clean/frontier_humaneval_n32_B64_m16_g128_t0.9_L384_r5
frontier,humaneval,32,8,16,128,0.9,384,5,0.9,0.9,270,25.122729301452637,301.05888684175216,28.007407407407406,18,32,0.5625,7562,74469.0,23.272189349112427,True,poc_ep_dynamic_block/results/clean/frontier_humaneval_n32_B8_m16_g128_t0.9_L384_r5
matched,gsm8k,32,128,8,128,0.9,256,1,0.9,0.9,276,22.78949284553528,227.34557503721643,18.768115942028984,9,32,0.28125,5180,63031.0,23.19876126126126,True,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B128_m8_g128_t0.9_L256_r1
matched,gsm8k,32,16,8,128,0.9,256,1,0.9,0.9,287,23.865532875061035,218.32516666681323,18.149825783972126,13,32,0.40625,5209,66407.0,20.37753036437247,True,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B16_m8_g128_t0.9_L256_r1
matched,gsm8k,32,32,8,128,0.9,256,1,0.9,0.9,260,21.666595697402954,242.46245261269283,20.2,13,32,0.40625,5252,63135.0,20.622362869198312,True,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B32_m8_g128_t0.9_L256_r1
matched,gsm8k,32,64,8,128,0.9,256,1,0.9,0.9,250,19.81702971458435,261.9567942678344,20.76,15,32,0.46875,5190,61445.0,19.287100456621005,True,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B64_m8_g128_t0.9_L256_r1
matched,gsm8k,32,8,8,128,0.9,256,1,0.9,0.9,354,29.594178676605225,177.16217574514235,14.807909604519773,13,32,0.40625,5242,62979.0,21.644392523364488,True,poc_ep_dynamic_block/results/clean/matched_gsm8k_n32_B8_m8_g128_t0.9_L256_r1
matched,humaneval,32,128,8,128,0.9,384,1,0.9,0.9,252,22.377134561538696,317.58296803415885,28.194444444444443,18,32,0.5625,7105,71255.0,24.927455357142858,True,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B128_m8_g128_t0.9_L384_r1
matched,humaneval,32,16,8,128,0.9,384,1,0.9,0.9,321,26.59312915802002,288.62561140764495,23.906542056074766,17,32,0.53125,7674,72703.0,22.703777335984096,True,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B16_m8_g128_t0.9_L384_r1
matched,humaneval,32,32,8,128,0.9,384,1,0.9,0.9,286,26.031211853027344,297.74023505472195,27.094405594405593,18,32,0.5625,7749,70583.0,24.11474609375,True,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B32_m8_g128_t0.9_L384_r1
matched,humaneval,32,64,8,128,0.9,384,1,0.9,0.9,263,23.17611265182495,322.4756424225651,28.4106463878327,18,32,0.5625,7472,69853.0,22.51336302895323,True,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B64_m8_g128_t0.9_L384_r1
matched,humaneval,32,8,8,128,0.9,384,1,0.9,0.9,438,36.29531645774841,207.62932030188716,17.203196347031962,18,32,0.5625,7535,70317.0,23.82719298245614,True,poc_ep_dynamic_block/results/clean/matched_humaneval_n32_B8_m8_g128_t0.9_L384_r1
matchedeffort,gsm8k,8,128,8,128,1.0,256,2,1.0,1.0,185,15.08800721168518,79.08196903709424,6.448648648648649,4,8,0.5,1193,61535.0,24.439300411522634,True,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B128_m8_g128_t1.0_L256_r2
matchedeffort,gsm8k,8,16,8,128,1.0,256,2,1.0,1.0,211,18.2245352268219,69.53550039169617,6.004739336492891,5,8,0.625,1267,61009.0,18.629759519038075,True,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B16_m8_g128_t1.0_L256_r2
matchedeffort,gsm8k,8,32,8,128,1.0,256,2,1.0,1.0,206,18.133636474609375,67.83899959935626,5.970873786407767,5,8,0.625,1230,61089.0,20.297894736842107,True,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B32_m8_g128_t1.0_L256_r2
matchedeffort,gsm8k,8,64,8,128,1.0,256,2,1.0,1.0,206,17.636059761047363,70.09306465910306,6.0,5,8,0.625,1236,61245.0,21.503177966101696,True,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B64_m8_g128_t1.0_L256_r2
matchedeffort,gsm8k,8,8,8,128,1.0,256,2,1.0,1.0,224,21.449748277664185,58.889651639987804,5.638392857142857,5,8,0.625,1263,60991.0,16.455504587155964,True,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B8_m8_g128_t1.0_L256_r2
matchedeffort,humaneval,8,128,8,128,1.0,384,2,1.0,1.0,255,20.226640224456787,89.54671185158371,7.101960784313725,3,8,0.375,1811,66485.0,22.518539325842696,True,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B128_m8_g128_t1.0_L384_r2
matchedeffort,humaneval,8,16,8,128,1.0,384,2,1.0,1.0,223,19.35869288444519,94.95684780243477,8.242152466367713,3,8,0.375,1838,65869.0,19.7819587628866,True,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B16_m8_g128_t1.0_L384_r2
matchedeffort,humaneval,8,32,8,128,1.0,384,2,1.0,1.0,234,20.692349433898926,91.2533821766797,8.068376068376068,3,8,0.375,1888,66027.0,20.7839248434238,True,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B32_m8_g128_t1.0_L384_r2
matchedeffort,humaneval,8,64,8,128,1.0,384,2,1.0,1.0,263,18.485784769058228,100.19828506468706,7.0418250950570345,3,8,0.375,1852,66167.0,20.510135135135137,True,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B64_m8_g128_t1.0_L384_r2
matchedeffort,humaneval,8,8,8,128,1.0,384,2,1.0,1.0,281,26.98258113861084,71.97928390595314,6.911032028469751,3,8,0.375,1942,65867.0,21.441891891891892,True,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B8_m8_g128_t1.0_L384_r2
native,gsm8k,8,128,8,128,0.9,,1,0.9,0.9,103,8.187263250350952,147.0983088219102,11.689320388349515,5,8,0.625,1204,62701.0,14.831632653061224,True,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B128_m8_g128_t0.9_r1
native,gsm8k,8,16,8,128,0.9,,1,0.9,0.9,116,9.27610445022583,136.1895438354685,10.887931034482758,5,8,0.625,1263,65251.0,15.456650831353919,True,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B16_m8_g128_t0.9_r1
native,gsm8k,8,32,8,128,0.9,,2,0.9,0.9,106,8.669350385665894,145.49807740422818,11.89622641509434,5,8,0.625,1261,62977.0,14.635135135135135,True,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B32_m8_g128_t0.9_r2
native,gsm8k,8,64,8,128,0.9,,1,0.9,0.9,99,8.098814964294434,152.54151586404066,12.474747474747474,5,8,0.625,1235,61471.0,14.281172069825436,True,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B64_m8_g128_t0.9_r1
native,gsm8k,8,8,8,128,0.9,,1,0.9,0.9,131,11.475248575210571,110.08583381197363,9.641221374045802,5,8,0.625,1263,62837.0,15.677293064876958,True,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B8_m8_g128_t0.9_r1
