task,sample_count,block_length,mini_batch_size,generation,threshold,target_total_length,repeat,trace_tag,nfe,trace_wall_s,waves,model_forward_sum_s
gsm8k,32,128,2,128,0.9,256,2,trace_gsm8k_n32_B128_m2_g128_t0.9_L256_r2,1115,208.004549741745,1114,200.8601173400879
gsm8k,32,16,16,128,0.9,256,2,trace_gsm8k_n32_B16_m16_g128_t0.9_L256_r2,150,19.525193452835083,148,18.2651015625
gsm8k,32,32,8,128,0.9,256,2,trace_gsm8k_n32_B32_m8_g128_t0.9_L256_r2,260,36.582847118377686,256,34.6960027923584
gsm8k,32,64,4,128,0.9,256,2,trace_gsm8k_n32_B64_m4_g128_t0.9_L256_r2,510,67.19089865684509,503,64.06935026550293
gsm8k,32,8,32,128,0.9,256,2,trace_gsm8k_n32_B8_m32_g128_t0.9_L256_r2,134,18.461965560913086,133,16.3447897567749
gsm8k,8,128,8,128,0.9,256,1,trace_gsm8k_n8_B128_m8_g128_t0.9_L256_r1,103,21.851498126983643,102,20.008949447631835
gsm8k,8,16,8,128,0.9,256,1,trace_gsm8k_n8_B16_m8_g128_t0.9_L256_r1,116,13.918166399002075,115,13.249658493041991
gsm8k,8,32,8,128,0.9,256,1,trace_gsm8k_n8_B32_m8_g128_t0.9_L256_r1,106,13.59634280204773,105,12.88389874267578
gsm8k,8,64,8,128,0.9,256,1,trace_gsm8k_n8_B64_m8_g128_t0.9_L256_r1,99,14.545137166976929,98,13.827813148498535
gsm8k,8,8,8,128,0.9,256,1,trace_gsm8k_n8_B8_m8_g128_t0.9_L256_r1,131,12.670796871185303,130,12.01469309234619
humaneval,8,128,8,128,0.9,384,1,trace_humaneval_n8_B128_m8_g128_t0.9_L384_r1,95,16.731962203979492,94,15.962266426086426
humaneval,8,16,8,128,0.9,384,1,trace_humaneval_n8_B16_m8_g128_t0.9_L384_r1,144,14.797879457473755,143,14.068833740234375
humaneval,8,32,8,128,0.9,384,1,trace_humaneval_n8_B32_m8_g128_t0.9_L384_r1,111,12.433427333831787,110,11.771455032348634
humaneval,8,64,8,128,0.9,384,1,trace_humaneval_n8_B64_m8_g128_t0.9_L384_r1,132,18.600577354431152,131,17.68887961578369
humaneval,8,8,8,128,0.9,384,1,trace_humaneval_n8_B8_m8_g128_t0.9_L384_r1,166,18.83086633682251,165,18.047978164672852
