task,trajectory_complete,request_id,call_index,sequence_id,block_start,iteration,phase,masked_before,transfer_count,selected_cutoff,best_unselected,cutoff_gap,delta,alternatives,swappable_selected,future_step_available,future_positions_traced,base_rank_load,best_rank_load,base_max_rank,best_max_rank,max_rank_reduction_pct,best_swap,one_swap_only,frozen_baseline_route_not_rollout
gsm8k,1,measured_0,127,0,32,0,middle,20,1,0.784212052822113,0.7463507652282715,0.0378612875938415,0.001,0,1,1,20,"[159, 188, 213, 200]","[159, 188, 213, 200]",213,213,0.0,,1,1
gsm8k,1,measured_0,127,0,32,0,middle,20,1,0.784212052822113,0.7463507652282715,0.0378612875938415,0.002,0,1,1,20,"[159, 188, 213, 200]","[159, 188, 213, 200]",213,213,0.0,,1,1
gsm8k,1,measured_0,127,0,32,0,middle,20,1,0.784212052822113,0.7463507652282715,0.0378612875938415,0.005,0,1,1,20,"[159, 188, 213, 200]","[159, 188, 213, 200]",213,213,0.0,,1,1
gsm8k,1,measured_0,127,0,32,0,middle,20,1,0.784212052822113,0.7463507652282715,0.0378612875938415,0.01,0,1,1,20,"[159, 188, 213, 200]","[159, 188, 213, 200]",213,213,0.0,,1,1
gsm8k,1,measured_0,127,0,32,0,middle,20,1,0.784212052822113,0.7463507652282715,0.0378612875938415,0.02,0,1,1,20,"[159, 188, 213, 200]","[159, 188, 213, 200]",213,213,0.0,,1,1
gsm8k,1,measured_0,127,0,32,0,middle,20,1,0.784212052822113,0.7463507652282715,0.0378612875938415,0.05,1,1,1,20,"[159, 188, 213, 200]","[159, 188, 213, 200]",213,213,0.0,,1,1
gsm8k,1,measured_0,127,0,32,0,middle,20,1,0.784212052822113,0.7463507652282715,0.0378612875938415,0.1,2,1,1,20,"[159, 188, 213, 200]","[157, 191, 210, 202]",213,210,1.408450704225352,"[17, 20]",1,1
gsm8k,1,measured_0,127,1,32,0,middle,11,1,0.911519169807434,0.7863550186157227,0.1251641511917114,0.001,0,1,1,11,"[78, 111, 127, 84]","[78, 111, 127, 84]",127,127,0.0,,1,1
gsm8k,1,measured_0,127,1,32,0,middle,11,1,0.911519169807434,0.7863550186157227,0.1251641511917114,0.002,0,1,1,11,"[78, 111, 127, 84]","[78, 111, 127, 84]",127,127,0.0,,1,1
gsm8k,1,measured_0,127,1,32,0,middle,11,1,0.911519169807434,0.7863550186157227,0.1251641511917114,0.005,0,1,1,11,"[78, 111, 127, 84]","[78, 111, 127, 84]",127,127,0.0,,1,1
gsm8k,1,measured_0,127,1,32,0,middle,11,1,0.911519169807434,0.7863550186157227,0.1251641511917114,0.01,0,1,1,11,"[78, 111, 127, 84]","[78, 111, 127, 84]",127,127,0.0,,1,1
gsm8k,1,measured_0,127,1,32,0,middle,11,1,0.911519169807434,0.7863550186157227,0.1251641511917114,0.02,0,1,1,11,"[78, 111, 127, 84]","[78, 111, 127, 84]",127,127,0.0,,1,1
gsm8k,1,measured_0,127,1,32,0,middle,11,1,0.911519169807434,0.7863550186157227,0.1251641511917114,0.05,0,1,1,11,"[78, 111, 127, 84]","[78, 111, 127, 84]",127,127,0.0,,1,1
gsm8k,1,measured_0,127,1,32,0,middle,11,1,0.911519169807434,0.7863550186157227,0.1251641511917114,0.1,0,1,1,11,"[78, 111, 127, 84]","[78, 111, 127, 84]",127,127,0.0,,1,1
gsm8k,1,measured_0,127,3,64,0,early,22,1,0.4703311026096344,0.4552136659622192,0.0151174366474151,0.001,0,1,1,22,"[165, 200, 267, 208]","[165, 200, 267, 208]",267,267,0.0,,1,1
gsm8k,1,measured_0,127,3,64,0,early,22,1,0.4703311026096344,0.4552136659622192,0.0151174366474151,0.002,0,1,1,22,"[165, 200, 267, 208]","[165, 200, 267, 208]",267,267,0.0,,1,1
gsm8k,1,measured_0,127,3,64,0,early,22,1,0.4703311026096344,0.4552136659622192,0.0151174366474151,0.005,0,1,1,22,"[165, 200, 267, 208]","[165, 200, 267, 208]",267,267,0.0,,1,1
gsm8k,1,measured_0,127,3,64,0,early,22,1,0.4703311026096344,0.4552136659622192,0.0151174366474151,0.01,0,1,1,22,"[165, 200, 267, 208]","[165, 200, 267, 208]",267,267,0.0,,1,1
gsm8k,1,measured_0,127,3,64,0,early,22,1,0.4703311026096344,0.4552136659622192,0.0151174366474151,0.02,1,1,1,22,"[165, 200, 267, 208]","[165, 200, 267, 208]",267,267,0.0,,1,1
gsm8k,1,measured_0,127,3,64,0,early,22,1,0.4703311026096344,0.4552136659622192,0.0151174366474151,0.05,3,1,1,22,"[165, 200, 267, 208]","[166, 204, 265, 205]",267,265,0.7490636704119851,"[12, 13]",1,1
gsm8k,1,measured_0,127,3,64,0,early,22,1,0.4703311026096344,0.4552136659622192,0.0151174366474151,0.1,3,1,1,22,"[165, 200, 267, 208]","[166, 204, 265, 205]",267,265,0.7490636704119851,"[12, 13]",1,1
gsm8k,1,measured_0,127,4,64,0,middle,21,3,0.9902585744857788,0.7275636792182922,0.2626948952674866,0.001,0,1,1,21,"[132, 184, 258, 146]","[132, 184, 258, 146]",258,258,0.0,,1,1
gsm8k,1,measured_0,127,4,64,0,middle,21,3,0.9902585744857788,0.7275636792182922,0.2626948952674866,0.002,0,1,1,21,"[132, 184, 258, 146]","[132, 184, 258, 146]",258,258,0.0,,1,1
gsm8k,1,measured_0,127,4,64,0,middle,21,3,0.9902585744857788,0.7275636792182922,0.2626948952674866,0.005,0,2,1,21,"[132, 184, 258, 146]","[132, 184, 258, 146]",258,258,0.0,,1,1
gsm8k,1,measured_0,127,4,64,0,middle,21,3,0.9902585744857788,0.7275636792182922,0.2626948952674866,0.01,0,3,1,21,"[132, 184, 258, 146]","[132, 184, 258, 146]",258,258,0.0,,1,1
