label,wave,iteration,scheduler_iteration,worker_dp_rank,ep_rank,layer,total_assignments,dispatched_rows,runtime_m,delay_ms,measured,pre_moe_cuda_ms,prepare_host_ms,dispatch_cuda_ms,expert_cuda_ms,combine_cuda_ms,event_wait_cuda_ms,ep_entry_to_done_ms
A_bal_4k,1,0,35,0,0,0,24,6,6,0.0,True,1.416767954826355,0.328799,0.274399995803833,0.39535999298095703,0.21430400013923645,0.11247999966144562,0.6836159825325012
A_bal_4k,1,0,35,0,0,1,4124,2052,2052,0.0,True,1.3344000577926636,0.336378,0.28409600257873535,0.4922240078449249,0.10444799810647964,0.03033600002527237,0.6395840048789978
A_bal_4k,1,0,35,0,0,2,2066,2048,2048,0.0,True,1.2841919660568237,0.328884,0.2808319926261902,0.4694080054759979,0.13680000603199005,0.07158400118350983,0.641152024269104
A_bal_4k,1,0,35,0,0,3,194,146,146,0.0,True,1.2519999742507935,0.307825,0.26102399826049805,0.42028799653053284,0.16524800658226013,0.07769600301980972,0.661408007144928
A_bal_4k,1,0,35,0,0,4,5256,2052,2052,0.0,True,1.2730560302734375,0.332225,0.2845759987831116,0.5188800096511841,0.16371199488639832,0.14697599411010742,0.7179520130157471
A_bal_4k,1,0,35,0,0,5,4136,2052,2052,0.0,True,1.3880000114440918,0.439331,0.39238399267196655,0.47993600368499756,0.1212799996137619,0.11023999750614166,0.6349440217018127
A_bal_4k,1,0,35,0,0,6,4114,2050,2050,0.0,True,1.259168028831482,0.316964,0.2696959972381592,0.49721598625183105,0.08736000210046768,0.06867200136184692,0.6261759996414185
A_bal_4k,1,0,35,0,0,7,2070,2044,2044,0.0,True,1.259071946144104,0.315172,0.2688319981098175,0.45929598808288574,0.12572799623012543,0.06278400123119354,0.6260160207748413
A_bal_4k,1,0,35,0,0,8,2110,2052,2052,0.0,True,1.2671359777450562,0.341872,0.29123198986053467,0.48054400086402893,0.09401600062847137,0.039903998374938965,0.610975980758667
A_bal_4k,1,0,35,0,0,9,2050,2012,2012,0.0,True,1.2503679990768433,0.336749,0.2887679934501648,0.4679040014743805,0.12572799623012543,0.020416000857949257,0.6380800008773804
A_bal_4k,1,0,35,0,0,10,4154,2052,2052,0.0,True,1.283776044845581,0.330785,0.26662400364875793,0.511135995388031,0.12377600371837616,0.10304000228643417,0.6704319715499878
A_bal_4k,1,0,35,0,0,11,6178,2052,2052,0.0,True,1.2613760232925415,0.319159,0.27193599939346313,0.5438399910926819,0.07577600330114365,0.06678400188684464,0.6540160179138184
A_bal_4k,1,0,35,0,0,12,4142,2052,2052,0.0,True,1.3223680257797241,0.333843,0.28649601340293884,0.4926080107688904,0.08975999802350998,0.08038400113582611,0.6166080236434937
A_bal_4k,1,0,35,0,0,13,2332,2052,2052,0.0,True,1.2836480140686035,0.32987,0.28224000334739685,0.4679040014743805,0.12374400347471237,0.07052800059318542,0.6265599727630615
A_bal_4k,1,0,35,0,0,14,8064,2052,2052,0.0,True,1.3015999794006348,0.337302,0.2717440128326416,0.5383359789848328,0.07452800124883652,0.06515199691057205,0.6495360136032104
A_bal_4k,1,0,35,0,0,15,192,116,116,0.0,True,1.2598719596862793,0.322965,0.2750079929828644,0.38230401277542114,0.26761600375175476,0.1844480037689209,0.7228800058364868
A_bal_4k,1,0,35,0,0,16,2102,2048,2048,0.0,True,1.4103679656982422,0.385364,0.3310079872608185,0.476608008146286,0.17868800461292267,0.025248000398278236,0.6976000070571899
A_bal_4k,1,0,35,0,0,17,4172,2052,2052,0.0,True,1.2479039430618286,0.306889,0.26159998774528503,0.5076799988746643,0.09699200093746185,0.07052800059318542,0.6384959816932678
A_bal_4k,1,0,35,0,0,18,302,278,278,0.0,True,1.271008014678955,0.31354,0.26681599020957947,0.38387200236320496,0.19276799261569977,0.10847999900579453,0.6509119868278503
A_bal_4k,1,0,35,0,0,19,4194,2052,2052,0.0,True,1.2658560276031494,0.338278,0.28992000222206116,0.49513599276542664,0.10412800312042236,0.05728000029921532,0.634880006313324
A_bal_4k,1,0,35,0,0,20,2060,2036,2036,0.0,True,1.2572799921035767,0.320791,0.2743679881095886,0.45628800988197327,0.14044800400733948,0.08662399649620056,0.6320639848709106
