case_id,M,active_experts_per_rank,ranks,rank_wall_median,critical_wall_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,correctness,expert_ms_per_assignment,fragmentation_ratio
balanced_rank_A16_M1024,1024,16,4,1.833952009677887,1.8517119884490967,0.0272000003606081,0.26867198571562767,0.8633920550346375,0.8906880021095276,True,0.00021078907593619078,0.015625
balanced_rank_A16_M128,128,16,4,2.0402079820632935,2.059135913848877,0.02739199995994568,0.1912960046902299,0.9313920736312866,0.2503359317779541,True,0.00022739064297638834,0.015625
balanced_rank_A16_M2048,2048,16,4,1.937824010848999,1.9392640590667725,0.033376000821590424,0.3794560097157955,0.9565119743347168,0.6856961250305176,True,0.00023352343123406172,0.015625
balanced_rank_A16_M4096,4096,16,4,3.1694880723953247,3.188512086868286,0.04553600028157234,0.5994559917598963,1.5937280654907227,0.7958400249481201,True,0.00038909376598894596,0.015625
balanced_rank_A16_M512,512,16,4,1.8015519976615906,1.8089280128479004,0.0272000003606081,0.21494400314986706,0.8013439774513245,0.9795199632644653,True,0.00019564061949495226,0.015625
balanced_rank_A16_M8192,8192,16,4,5.542495965957642,5.569183826446533,0.07718399912118912,1.0500799529254436,2.9905598163604736,0.8510079383850098,True,0.0007301171426661313,0.015625
balanced_rank_A2_M1024,1024,2,4,1.8499199748039246,1.8564159870147705,0.027712000533938408,0.27731199841946363,0.8436480164527893,0.8850559592247009,True,0.00020596875401679426,0.001953125
balanced_rank_A2_M128,128,2,4,2.0902719497680664,2.0963199138641357,0.03017600066959858,0.20451199635863304,1.0166399478912354,0.16732800006866455,True,0.00024820311227813363,0.001953125
balanced_rank_A2_M2048,2048,2,4,2.418176054954529,2.4515841007232666,0.03286400064826012,0.7090879939496517,1.0553919672966003,0.8709439039230347,True,0.00025766405451577157,0.001953125
balanced_rank_A2_M4096,4096,2,4,3.173743963241577,3.180511951446533,0.0451200008392334,0.5948480097576976,1.6172161102294922,0.7813119888305664,True,0.0003948281519114971,0.001953125
balanced_rank_A2_M512,512,2,4,1.7576640248298645,1.7592639923095703,0.02751999907195568,0.2103359941393137,0.8479360342025757,0.9952320456504822,True,0.0002070156333502382,0.001953125
balanced_rank_A2_M8192,8192,2,4,4.971312046051025,5.011936187744141,0.07360000163316727,1.0594880292192101,3.018239736557007,0.7297921180725098,True,0.000736874935682863,0.001953125
balanced_rank_A32_M1024,1024,32,4,1.0808640122413635,1.1045119762420654,0.027327999472618103,0.2799039911478758,0.6521599888801575,0.13257604837417603,True,0.0001592187472851947,0.03125
balanced_rank_A32_M128,128,32,4,0.8839360177516937,0.8891199827194214,0.028351999819278717,0.19296000432223082,0.46108803153038025,0.11423993110656738,True,0.00011257032019784674,0.03125
balanced_rank_A32_M2048,2048,32,4,1.4840480089187622,1.504032015800476,0.03286400064826012,0.3984319996088743,0.8801279962062836,0.20745599269866943,True,0.0002148749990737997,0.03125
balanced_rank_A32_M4096,4096,32,4,2.7760159969329834,2.7958080768585205,0.046560000628232956,0.6092799762263894,1.5992960929870605,0.7151999473571777,True,0.0003904531477019191,0.03125
balanced_rank_A32_M512,512,32,4,0.9203839898109436,0.9279999732971191,0.028351999819278717,0.21315199974924326,0.545087993144989,0.08684796094894409,True,0.00013307812332641333,0.03125
balanced_rank_A32_M8192,8192,32,4,4.567776203155518,4.578847885131836,0.07318399846553802,1.0312000084668398,2.8317121267318726,0.6807041168212891,True,0.0006913359684403986,0.03125
balanced_rank_A4_M1024,1024,4,4,1.875648021697998,1.880735993385315,0.029759999364614487,0.27180800680071115,0.8465279936790466,0.9429439902305603,True,0.0002066718734567985,0.00390625
balanced_rank_A4_M128,128,4,4,2.0562241077423096,2.063744068145752,0.028736000880599022,0.19673600606620312,0.9736640453338623,0.3042241334915161,True,0.00023771094856783748,0.00390625
balanced_rank_A4_M2048,2048,4,4,2.4375360012054443,2.448960065841675,0.04278400167822838,0.710431975312531,1.0669440031051636,0.8384639024734497,True,0.0002604843757580966,0.00390625
balanced_rank_A4_M4096,4096,4,4,3.167407989501953,3.180704116821289,0.04598399996757507,0.6035199835896492,1.6054719686508179,0.7993278503417969,True,0.0003919609298463911,0.00390625
balanced_rank_A4_M512,512,4,4,1.7611200213432312,1.761504054069519,0.0261439997702837,0.21363199967890978,0.8405760526657104,1.000864028930664,True,0.00020521876285783947,0.00390625
