case_id,rank,layer,M,active_experts,expert_entropy,expert_hhi,rank_cv,fanout,max_expert_mean_ratio,condition,source_dir,phase,latency_ms,predicted_ms,residual_pct
balanced_rank_A1_M128,0,4,128,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.14982390403747559,0.21260686378136784,-29.530071902313786
balanced_rank_A2_M128,0,4,128,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.18307209014892578,0.21281967004989433,-13.977833859997247
balanced_rank_A4_M128,0,4,128,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.12028801441192627,0.2160661648150608,-44.32815775904324
balanced_rank_A8_M128,0,4,128,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.39935994148254395,0.2239695954594514,78.30989097573566
balanced_rank_A16_M128,0,4,128,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.32294392585754395,0.2404816773052616,34.29044968262042
balanced_rank_A1_M512,0,4,512,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.9514879584312439,0.2868965941899546,231.64839795946216
balanced_rank_A2_M512,0,4,512,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.9865279793739319,0.2871094004584811,243.60699364024958
balanced_rank_A4_M512,0,4,512,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.9780799746513367,0.2903558952236476,236.85555924324092
balanced_rank_A8_M512,0,4,512,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.9853120446205139,0.29825932586803816,230.35414458639772
balanced_rank_A16_M512,0,4,512,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.9826239347457886,0.3147714077138484,212.1706453208323
balanced_rank_A1_M1024,0,4,1024,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.8616959452629089,0.3859495680680707,123.2664618790116
balanced_rank_A2_M1024,0,4,1024,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.8610879778862,0.3861623743365965,122.98598597688259
balanced_rank_A4_M1024,0,4,1024,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.89084792137146,0.3894088691017632,128.76929419361966
balanced_rank_A8_M1024,0,4,1024,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.8927680253982544,0.397312299746154,124.70183429223083
balanced_rank_A16_M1024,0,4,1024,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.8659839630126953,0.413824381591964,109.26363973077022
balanced_rank_A1_M128,1,4,128,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.1793278455734253,0.21260686378136784,-15.652842817983851
balanced_rank_A2_M128,1,4,128,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.09427213668823242,0.21281967004989433,-55.70327842998212
balanced_rank_A4_M128,1,4,128,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.11094403266906738,0.2160661648150608,-48.65275052943686
balanced_rank_A8_M128,1,4,128,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.12256002426147461,0.2239695954594514,-45.278275825763366
balanced_rank_A16_M128,1,4,128,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.39046406745910645,0.2404816773052616,62.367491708510016
balanced_rank_A1_M512,1,4,512,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.13753604888916016,0.2868965941899546,-52.06075928594072
balanced_rank_A2_M512,1,4,512,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.11564803123474121,0.2871094004584811,-59.71987296477773
balanced_rank_A4_M512,1,4,512,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.11267197132110596,0.2903558952236476,-61.19521829087713
balanced_rank_A8_M512,1,4,512,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.15833592414855957,0.29825932586803816,-46.91333667849376
balanced_rank_A16_M512,1,4,512,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.11388802528381348,0.3147714077138484,-63.818815021678674
balanced_rank_A1_M1024,1,4,1024,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.20806396007537842,0.3859495680680707,-46.09037623312438
balanced_rank_A2_M1024,1,4,1024,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.20217597484588623,0.3861623743365965,-47.64482811324841
balanced_rank_A4_M1024,1,4,1024,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.15328001976013184,0.3894088691017632,-60.63776869959385
balanced_rank_A8_M1024,1,4,1024,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.20182406902313232,0.397312299746154,-49.202662703349645
balanced_rank_A16_M1024,1,4,1024,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.2014080286026001,0.413824381591964,-51.3300719914587
balanced_rank_A1_M128,2,4,128,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.14924800395965576,0.21260686378136784,-29.80094748345779
balanced_rank_A2_M128,2,4,128,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.1271679401397705,0.21281967004989433,-40.246152947254956
balanced_rank_A4_M128,2,4,128,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.17808008193969727,0.2160661648150608,-17.58076416447585
balanced_rank_A8_M128,2,4,128,32,32.0,0.03125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.08611190319061279,0.2239695954594514,-61.551967348977534
balanced_rank_A16_M128,2,4,128,64,63.99999999999998,0.015625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.21084809303283691,0.2404816773052616,-12.322595469428856
balanced_rank_A1_M512,2,4,512,4,4.0,0.25,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.1371840238571167,0.2868965941899546,-52.18346030058238
balanced_rank_A2_M512,2,4,512,8,7.999999999999998,0.125,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.1722240447998047,0.2871094004584811,-40.01448767446052
balanced_rank_A4_M512,2,4,512,16,15.999999999999998,0.0625,0.0,4.0,1.0,synthetic_route_diagnostic,poc_flashvep/deepep_revalidation/results/autonomous_moe_discovery_20260905/H1b_layer4,combine,0.1743999719619751,0.2903558952236476,-39.93579092732284
