hypothesis,experiment,variant,waves,wave_e2e_p50_ms,wave_e2e_mean_ms,wave_e2e_p90_ms,wave_e2e_cv,request_e2e_p50_ms,request_e2e_p99_ms,ttft_p50_ms,ttft_p99_ms
H33,metadata_host_path_control,A,108,1702.5204115000001,1898.6918999629631,2585.0393634,0.19431094619400435,1700.8404735,1702.4939139550002,193.48215275,194.51361516
H33,metadata_host_path_control,B,108,3265.0168384999997,3652.8364103611116,4964.0179752,0.19655976743154444,1730.31337975,3264.174467785,193.69624149999999,194.74398321
H38,metadata_step_recurrence,A,312,196.0332075,197.97004017948717,207.38116870000002,0.03832621629191364,193.87901275000002,195.222302875,193.82551899999999,195.14118887
H38,metadata_step_recurrence,B,313,1705.493171,1713.3015254984027,1736.101685,0.019836165536033058,1703.43376,1704.57250008,191.129645,192.86386327
H43,pinned_vs_unpinned_dp,A,330,895.909081,904.2008029909092,921.8226393,0.03460572413247674,893.681063,894.8828121250001,191.4383335,192.988597835
H43,pinned_vs_unpinned_dp,B,333,894.514017,899.1221621381383,912.4728706,0.023618480644743593,892.361562,893.64666202,191.3945395,193.0107788
H45,common_regime_transition_repeat,A,562,500.21684700000003,532.7601028701068,750.1418435,0.22006943083166805,497.6308735,499.58929607000005,195.18467825000002,197.31113159
H45,common_regime_transition_repeat,B,561,499.38291,528.3156322852051,749.572162,0.15105505479676137,497.0186095,498.81572198,195.685203,197.62174873
H46,turnover_repeat,A,49,3456.492108,4130.862977816327,5058.1197304,0.20394341638002042,3454.2317805000002,3455.77612356,209.1973875,212.25513124
H46,turnover_repeat,B,50,6554.100691,7860.395070979999,9798.1446025,0.1949219218902554,3374.90227125,6552.944999145,208.148156,210.99535845000003
H48,mixed_phase_repeat,A,27,12013.670421,12046.685474296297,12183.8312078,0.009063713818115108,5104.0289545000005,10007.91771304,302.5678195,315.86275743
H48,mixed_phase_repeat,B,26,9955.6476945,9998.38014973077,10021.537585,0.017652081563847725,5089.1648545,9955.425954585,264.30749875000004,309.325338415
