hypothesis,experiment,variant,pair_index,requests,prompt_words,output_tokens_requested,image_count,wave_e2e_ms,sum_request_e2e_ms,request_e2e_p50_ms,request_e2e_p90_ms,request_e2e_p99_ms,ttft_p50_ms,ttft_p99_ms
H33,metadata_host_path_control,A,0,4,1024,64,0,1703.599026,6809.812138,1702.393572,1702.9188882,1703.0807710200002,208.436868,209.20370734
H33,metadata_host_path_control,A,4,4,1024,64,0,1685.124957,6736.120635,1683.9535314999998,1684.6821805,1684.79312215,192.68123450000002,193.64646988
H33,metadata_host_path_control,A,6,4,1024,64,0,1683.095524,6727.925824000001,1681.855418,1682.8452517,1683.07049677,193.426804,194.53280717
H33,metadata_host_path_control,A,8,4,1024,64,0,1694.975295,6775.484407999999,1693.753169,1694.7317088,1694.95093638,195.6113205,196.69155412
H33,metadata_host_path_control,A,9,4,1024,64,0,1697.502343,6785.774041,1696.3741045000002,1697.2044462000001,1697.36497902,191.4705305,192.4378523
H33,metadata_host_path_control,A,11,4,1024,64,0,1704.259455,6812.662912,1703.0704799999999,1703.8259077,1703.94459187,191.98730949999998,192.91802364999998
H33,metadata_host_path_control,A,12,4,1024,64,0,1701.324905,6800.731736,1700.0933544999998,1700.8638260999999,1700.97839061,191.0692495,191.99281018
H33,metadata_host_path_control,A,16,4,1024,64,0,1700.316617,6796.821643,1699.1061125,1700.0482605,1700.22498765,202.7826355,203.79770388
H33,metadata_host_path_control,A,18,4,1024,64,0,1754.727313,7014.466521,1753.5062834999999,1754.4844753,1754.70302923,199.75654200000002,200.8366507
H33,metadata_host_path_control,A,20,4,1024,64,0,1681.53828,6721.513276,1680.2728550000002,1681.0421168,1681.17299228,192.127989,193.14499845
H33,metadata_host_path_control,A,21,4,1024,64,0,1702.81951,6807.211139,1701.68609,1702.4855785,1702.65916285,191.78432850000002,192.69989945
H33,metadata_host_path_control,A,23,4,1024,64,0,1701.070488,6799.762922,1699.8587255,1700.6273643,1700.74494633,193.665778,194.60219512
H33,metadata_host_path_control,A,24,4,1024,64,0,1707.472139,6825.349612,1706.2369155000001,1707.011869,1707.1286332,201.5107445,202.4512885
H33,metadata_host_path_control,A,28,4,1024,64,0,1690.280163,6756.613655,1689.0673940000001,1690.0065256999999,1690.1847529699999,192.630326,193.67628065
H33,metadata_host_path_control,A,30,4,1024,64,0,1676.828814,6702.484875,1675.499521,1676.5731828,1676.80325088,191.24818349999998,192.39185895
H33,metadata_host_path_control,A,32,4,1024,64,0,1704.083999,6811.9602350000005,1702.866399,1703.8447247,1704.06007157,202.8057785,203.9296114
H33,metadata_host_path_control,A,33,4,1024,64,0,1676.624421,6702.176806,1675.4177865000001,1676.3862558,1676.60060448,192.537419,193.59484946
H33,metadata_host_path_control,A,35,4,1024,64,0,1731.903553,6922.935965,1730.6685674999999,1731.4463404,1731.5487033400002,195.9957905,197.81670763000002
H33,metadata_host_path_control,A,36,4,1024,64,0,1687.113064,6744.065081,1685.941367,1686.7121928,1686.83772768,202.599526,203.50880454999998
H33,metadata_host_path_control,A,40,4,1024,64,0,1679.255616,6712.376214999999,1678.044296,1678.8699487,1679.0216268699999,195.73141800000002,196.79467731
H33,metadata_host_path_control,A,42,4,1024,64,0,1693.001395,6767.640408,1691.7886825,1692.7589398,1692.97714948,191.7064255,192.76810655
H33,metadata_host_path_control,A,44,4,1024,64,0,1674.591865,6693.723497999999,1673.3202325,1674.3488386000001,1674.56756236,191.2442015,192.36421307999998
H33,metadata_host_path_control,A,45,4,1024,64,0,1676.972747,6703.4367330000005,1675.815247,1676.6887738,1676.8567499800001,191.1172125,192.10212829
H33,metadata_host_path_control,A,47,4,1024,64,0,1686.56866,6741.726202,1685.347222,1686.115923,1686.2206425,192.2654175,193.26497698
H33,metadata_host_path_control,A,48,4,1024,64,0,1720.091463,6875.863893,1718.8973385,1719.6655695,1719.7810174499998,227.20632899999998,228.1338472
H33,metadata_host_path_control,A,52,4,1024,64,0,1681.247072,6720.577716000001,1680.0517869999999,1680.9731035,1681.15390495,191.5781675,192.63422535
H33,metadata_host_path_control,A,54,4,1024,64,0,1700.294039,6796.7058910000005,1699.067551,1700.053607,1700.2699958,192.093543,193.17116408
H33,metadata_host_path_control,A,56,4,1024,64,0,1686.818865,6742.770469,1685.5701095,1686.5742006,1686.79439856,191.7148785,192.80825104
H33,metadata_host_path_control,A,57,4,1024,64,0,1686.978836,6743.559517,1685.841304,1686.6393315999999,1686.7872316599999,189.8665435,190.81597489
H33,metadata_host_path_control,A,59,4,1024,64,0,1688.141046,6748.007049,1686.9259175,1687.7022388,1687.8183560799998,193.53750150000002,194.49442315
H33,metadata_host_path_control,A,60,4,1024,64,0,1725.487359,6897.488726,1724.3071035,1725.0779662,1725.20342602,192.41665,193.36922185
H33,metadata_host_path_control,A,64,4,1024,64,0,1758.145848,7028.273884,1757.0147499999998,1757.8118752999999,1757.96329913,209.748324,210.757489
H33,metadata_host_path_control,A,66,4,1024,64,0,1761.291538,7040.707384,1760.018208,1761.0176941,1761.26415361,203.914252,206.7048801
H33,metadata_host_path_control,A,68,4,1024,64,0,1701.544472,6794.961521,1698.608844,1701.3047537,1701.52050017,201.9862655,203.05100253
H33,metadata_host_path_control,A,69,4,1024,64,0,1699.223461,6792.444136,1698.0521549999999,1698.8789378,1699.0200462799999,192.3916595,193.35416689
H33,metadata_host_path_control,A,71,4,1024,64,0,1677.205731,6704.162962,1675.960072,1676.7350796,1676.8490946600002,191.527946,192.50672781
H33,metadata_host_path_control,A,72,4,1024,64,0,1673.975592,6691.602467999999,1672.8176325,1673.5382612,1673.64497762,191.0818355,191.96889991
H33,metadata_host_path_control,A,76,4,1024,64,0,1700.816971,6798.574623,1699.549312,1700.5314119,1700.72339459,192.421817,194.17325451
H33,metadata_host_path_control,A,78,4,1024,64,0,1672.537808,6685.489218999999,1671.2417555000002,1672.2786905,1672.51189625,191.5344235,192.63253946999998
H33,metadata_host_path_control,A,80,4,1024,64,0,1744.031293,6971.484118,1742.7357025000001,1743.7742362,1744.00558732,204.12692099999998,205.28590674
H33,metadata_host_path_control,A,81,4,1024,64,0,1697.074751,6783.738592000001,1695.798454,1696.804505,1697.0477264,202.31036849999998,203.39222954000002
H33,metadata_host_path_control,A,83,4,1024,64,0,1688.179067,6747.209672000001,1686.755784,1687.7675207,1687.92191777,191.562049,192.80531019
H33,metadata_host_path_control,A,84,4,1024,64,0,1703.219403,6807.263698000001,1701.7769935000001,1702.8001559000002,1702.9456931900002,190.824108,192.02997583
H33,metadata_host_path_control,A,88,4,1024,64,0,1702.845746,6801.639506,1700.3630925,1702.4908627,1702.67372317,191.9652175,193.20827289000002
H33,metadata_host_path_control,A,90,4,1024,64,0,1702.148265,6804.089902000001,1700.878589,1701.8751309000002,1702.12095159,192.177598,193.2519732
