request_id,category,pair_id,token_bucket,prompt_tokens,vision_tokens,prefix_tokens,tail_tokens,vision_ratio,vision_total_ms,tail_total_ms,baseline_ms,ideal_ms,ideal_speedup,hidden_ms,hidden_fraction,layers_with_overlap
bit_allocate,chart_document,15,medium,671,648,653,18,0.9731743666169895,61.78335988521576,47.26841622591019,109.05177611112595,63.626879930496216,1.713926193304627,45.42489618062973,0.4165443040041902,47
brick,fine_grained,10,medium,277,256,261,16,0.9422382671480144,44.27167987823486,43.409984052181244,87.68166393041611,46.39539194107056,1.8898787198906652,41.28627198934555,0.4708655166730208,47
camera,natural,7,small,276,256,261,15,0.9456521739130435,49.34563189744949,47.952736020088196,97.29836791753769,51.4511998295784,1.8910806402925233,45.84716808795929,0.4712018204335727,47
cat,natural,2,small,146,126,131,15,0.8972602739726028,58.05744004249573,50.90137594938278,108.95881599187851,59.481503903865814,1.8318100391001895,49.477312088012695,0.4540918661570313,47
cell,fine_grained,12,medium,378,357,362,16,0.9576719576719577,62.644384026527405,44.99436807632446,107.63875210285187,63.610879957675934,1.692143736644899,44.027872145175934,0.4090336545624949,47
clock_motion,fine_grained,1,small,129,108,113,16,0.875968992248062,44.89123195409775,43.10080015659332,87.99203211069107,46.861888110637665,1.8776885793194673,41.130144000053406,0.46743032310372196,47
coffee,natural,5,small,248,228,233,15,0.9395161290322581,58.31459218263626,46.7510079741478,105.06560015678406,59.46585613489151,1.7668222907352873,45.59974402189255,0.43401212151119267,47
coffee_rocket,multi_image,14,medium,511,488,495,16,0.9686888454011742,65.80400002002716,57.82671993970871,123.63071995973587,67.75110393762589,1.8247779412355374,55.879616022109985,0.451988114607024,47
coins,natural,0,small,128,108,113,15,0.8828125,59.99436819553375,48.58732807636261,108.58169627189636,61.92742419242859,1.7533701375096407,46.65427207946777,0.4296697664645257,47
color_wheel,fine_grained,4,small,165,144,149,16,0.9030303030303031,43.61078381538391,42.342879951000214,85.95366376638412,45.031679928302765,1.9087376687530941,40.92198383808136,0.476093537435523,47
deep_field,natural,17,large,857,837,842,15,0.9824970828471412,57.5827522277832,44.23456019163132,101.81731241941452,58.4341122508049,1.7424293532928967,43.38320016860962,0.4260886399152028,47
fast_gptq,chart_document,21,large,1589,1566,1571,18,0.9886721208307111,79.52844762802124,52.80211192369461,132.33055955171585,80.71487957239151,1.6394815956211803,51.61567997932434,0.39005109745003774,47
grass,fine_grained,9,medium,277,256,261,16,0.9422382671480144,43.0825919508934,43.43481594324112,86.51740789413452,45.359935998916626,1.907352953412476,41.157471895217896,0.4757131876347879,47
histology,fine_grained,8,medium,277,256,261,16,0.9422382671480144,51.33027225732803,46.327520310878754,97.65779256820679,53.2644162774086,1.833452788811037,44.39337629079819,0.45458099270258107,47
logo,chart_document,11,medium,279,256,261,18,0.9354838709677419,47.71635180711746,45.681727945804596,93.39807975292206,49.87871980667114,1.872503546901986,43.519359946250916,0.465955617731952,47
method,chart_document,23,large,2363,2340,2345,18,0.992382564536606,98.82214438915253,48.05820816755295,146.88035255670547,99.66425639390945,1.4737515521731361,47.21609616279602,0.32145957809140946,47
model_card,chart_document,16,large,807,784,789,18,0.9776951672862454,68.7122563123703,54.871167719364166,123.58342403173447,71.99315214157104,1.7165997092155882,51.59027189016342,0.4174530062940785,47
moon,natural,6,small,276,256,261,15,0.9456521739130435,57.91427206993103,48.20329588651657,106.1175679564476,60.40652793645859,1.7567235128639125,45.711040019989014,0.430758458757268,47
motorcycle,natural,13,medium,388,368,373,15,0.961340206185567,57.195072054862976,46.43542408943176,103.63049614429474,58.84595203399658,1.761047150438235,44.78454411029816,0.4321560329880146,47
phantom,fine_grained,3,small,165,144,149,16,0.9030303030303031,63.90086394548416,49.68019187450409,113.58105581998825,65.07004797458649,1.7455197799200646,48.511007845401764,0.4271047446704989,47
retina,fine_grained,22,large,1957,1936,1941,16,0.9918242207460398,78.03715217113495,46.27382391691208,124.31097608804703,78.91523218154907,1.575246915602585,45.395743906497955,0.36517888713499475,47
tui_log,chart_document,19,large,1255,1232,1237,18,0.9856573705179282,62.34505593776703,43.54844790697098,105.893503844738,63.22201591730118,1.674946651230706,42.67148792743683,0.4029660590889706,47
tui_main,chart_document,18,large,1255,1232,1237,18,0.9856573705179282,75.19491231441498,51.29462403059006,126.48953634500504,76.48246443271637,1.653837089105323,50.007071912288666,0.3953455230944358,47
tui_model_selection,chart_document,20,large,1255,1232,1237,18,0.9856573705179282,61.39948773384094,42.64438384771347,104.04387158155441,62.280383706092834,1.670572102968208,41.76348787546158,0.4014026702449785,47
