B_s,B_e,seed,cost,max_rank_load,mean_rank_load,cv_mean,critical_rank_mode,critical_set_3pct_mean,critical_set_5pct_mean,critical_set_10pct_mean,window_id,layer,group_count,method
8,4,-1,3254,3254,3066.0,0.06406106573093266,2,2.0,2.0,3.0,0,0,2,fifo
8,4,-1,3461,3461,3066.0,0.09441903997139467,3,1.0,1.0,1.5,0,1,2,fifo
8,4,-1,3364,3364,3066.0,0.09034819222099764,1,1.5,2.0,3.0,0,2,2,fifo
8,4,-1,3618,3618,3066.0,0.11889437539680434,3,1.0,1.0,1.0,0,3,2,fifo
8,4,-1,3498,3498,3066.0,0.10173453550421677,0,1.5,1.5,1.5,0,4,2,fifo
8,4,-1,3448,3448,3066.0,0.09036314831371378,0,1.0,1.0,2.0,0,5,2,fifo
8,4,-1,4273,4273,3066.0,0.23549278445442456,0,1.0,1.0,1.0,0,6,2,fifo
8,4,-1,3638,3638,3066.0,0.17870223067904623,2,1.5,1.5,2.0,0,7,2,fifo
8,4,-1,3534,3534,3066.0,0.12049191258394484,1,1.0,1.5,1.5,0,8,2,fifo
8,4,-1,3813,3813,3066.0,0.1603561996965203,0,1.0,1.0,1.5,0,9,2,fifo
8,4,-1,3291,3291,3066.0,0.05110073303335774,1,2.0,2.5,3.0,0,10,2,fifo
8,4,-1,3530,3530,3066.0,0.10382550616048092,1,1.0,1.0,1.0,0,11,2,fifo
8,4,-1,3592,3592,3066.0,0.11987146468330244,1,1.0,1.0,1.0,0,12,2,fifo
8,4,-1,3399,3399,3066.0,0.12719031494644265,0,1.0,2.5,3.0,0,13,2,fifo
8,4,-1,3758,3758,3066.0,0.14167554165674165,1,1.0,1.0,1.0,0,14,2,fifo
8,4,-1,3710,3710,3066.0,0.16616940924605125,1,1.0,1.5,1.5,0,15,2,fifo
8,4,-1,3229,3229,3066.0,0.04227349823330687,1,1.5,2.0,3.5,0,16,2,fifo
8,4,-1,3511,3511,3066.0,0.11523635902558818,1,1.0,1.5,1.5,0,17,2,fifo
8,4,-1,3560,3560,3066.0,0.1086649691530693,0,1.0,1.0,1.0,0,18,2,fifo
