intervention,horizon,samples,accuracy,answer_consistency,exact_generation,median_logit_cosine,median_logit_kl,max_logit_error
full,0,18,1.0,1.0,1.0,1.0,0.0,0.0
full,4,18,1.0,1.0,1.0,0.9975101887444853,0.00016681812451464973,2.0
full,8,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9969841515287041,0.003965251559777451,2.5
full,12,18,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9956351035690403,0.013248388235491685,2.7421875
full,16,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9947092741178565,0.009791197951400446,2.9140625
full,24,18,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.9833155681106833,0.09765335624608577,9.25
full,32,18,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.9789459222524522,0.072186349445273,10.0
stock,0,18,1.0,1.0,1.0,1.0,0.0,0.0
visual,0,18,1.0,1.0,1.0,1.0,0.0,0.0
visual,4,18,1.0,1.0,1.0,0.9986735226042098,1.6274165040404327e-05,1.46875
visual,8,18,1.0,1.0,1.0,0.9983751101946354,0.0001541765910864347,1.75
visual,12,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9967767363072373,0.0004359220159380811,2.6796875
visual,16,18,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9970872505760887,0.0009190228251597667,2.875
visual,24,18,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.9841652661170885,0.00852810622125565,6.75
visual,32,18,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.9832402392225177,0.012719401375007709,8.25
