task,intervention,horizon,samples,accuracy,answer_consistency,median_logit_kl
brightness,full,0,7,1.0,1.0,0.0
brightness,full,4,7,1.0,1.0,0.0007151504715418771
brightness,full,8,7,1.0,1.0,0.0060974119591407985
brightness,full,12,7,1.0,1.0,0.015236516402038288
brightness,full,16,7,1.0,1.0,0.036528388682704714
brightness,full,24,7,0.5714285714285714,0.5714285714285714,0.15374661040653023
brightness,full,32,7,0.5714285714285714,0.5714285714285714,0.07397237785639826
brightness,stock,0,7,1.0,1.0,0.0
brightness,visual,0,7,1.0,1.0,0.0
brightness,visual,4,7,1.0,1.0,8.794768558978785e-05
brightness,visual,8,7,1.0,1.0,0.00027493645776898324
brightness,visual,12,7,1.0,1.0,0.0006010872991653448
brightness,visual,16,7,1.0,1.0,0.0012924302502254573
brightness,visual,24,7,1.0,1.0,0.014361717545642836
brightness,visual,32,7,1.0,1.0,0.02036199009794757
identity,full,0,11,1.0,1.0,0.0
identity,full,4,11,1.0,1.0,1.782129102383809e-06
identity,full,8,11,0.9090909090909091,0.9090909090909091,3.6468743755349666e-06
identity,full,12,11,0.7272727272727273,0.7272727272727273,6.629964848507347e-07
identity,full,16,11,0.8181818181818182,0.8181818181818182,1.0211520459871312e-06
identity,full,24,11,0.5454545454545454,0.5454545454545454,0.00016445979268689488
identity,full,32,11,0.5454545454545454,0.5454545454545454,0.0001693965161077009
identity,stock,0,11,1.0,1.0,0.0
identity,visual,0,11,1.0,1.0,0.0
identity,visual,4,11,1.0,1.0,6.302235692381154e-07
identity,visual,8,11,1.0,1.0,5.104792970166031e-07
identity,visual,12,11,0.8181818181818182,0.8181818181818182,1.7254733402390069e-07
identity,visual,16,11,0.8181818181818182,0.8181818181818182,6.478847338997038e-07
identity,visual,24,11,0.5454545454545454,0.5454545454545454,2.0154957049470043e-05
identity,visual,32,11,0.5454545454545454,0.5454545454545454,6.929362173540608e-05
