Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.6,3637435126,5294,687086.3,497504.0,12416,483468895,9627382.9,"void deep_ep::intranode::notify_dispatch<(int)4>(const int *, int *, const int *, int *, int, int, int, const bool *, int *, int *, int, int, void **, int **, int)"
21.8,2061457652,5293,389468.7,288288.0,6112,83597772,2071843.9,"void deep_ep::intranode::cached_notify_combine<(int)4>(void **, int *, int, int, int, int **, int)"
11.4,1073324800,5141,208777.4,14112.0,3968,46445902,804046.7,"void vllm::cross_device_reduce_1stage<__nv_bfloat16, (int)2>(vllm::RankData *, vllm::RankSignals, vllm::Signal *, T1 *, int, int)"
5.2,493317021,5294,93184.2,18944.0,6240,8903571,529311.0,"void deep_ep::intranode::dispatch<(int)4, (int)768, (int)8192>(int4 *, float *, int *, long *, float *, int *, int *, const int4 *, const float *, const long *, const float *, const bool *, const int *, int, int, int, int, int, int, int, int, void **, int, int, int)"
5.2,490911522,9330,52616.5,10240.0,5856,3497083,244685.9,fused_moe_kernel
4.4,416923581,5223,79824.5,11104.0,4864,1045086,119486.5,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.9,371455881,5293,70178.7,13184.0,8448,4561694,367743.4,"void deep_ep::intranode::combine<__nv_bfloat16, (int)4, (int)768, (int)4096>(T1 *, float *, const T1 *, const float *, const T1 *, const T1 *, const int *, const int *, const int *, int *, int, int, int, int, void **, int, int, int)"
1.1,107856844,76,1419169.0,85888.0,7072,81248024,9305804.6,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
1.1,99563753,4681,21269.8,5536.0,3776,718591,94220.2,"void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::BFloat16, (int)4, (int)8>>(T3)"
0.9,81072295,4665,17378.8,2912.0,2624,1166047,96483.0,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float)"
0.7,64778225,9856,6572.5,6624.0,6048,8960,289.1,nvjet_tst_64x8_64x16_4x1_v_bz_TNT
0.5,44146508,10428,4233.5,2592.0,2208,48736,8064.9,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8>(T1 *, long, T1 *, const T1 *, float, int, int)"
0.5,43995517,192,229143.3,115520.0,111552,13816078,1084997.3,"void <unnamed>::two_shot_all_reduce_kernel_inplace<c10::BFloat16, (int)16, (int)2>(T1 **, unsigned long, unsigned long, unsigned int **, unsigned long, unsigned long)"
0.5,43962161,10432,4214.2,2496.0,2080,82368,10755.1,"void vllm::rms_norm_kernel<c10::BFloat16, (int)8, (int)3>(T1 *, const T1 *, long, long, long, long, long, const T1 *, float, int, int)"
0.4,33720041,5295,6368.3,3808.0,3520,177887,14006.4,"void deep_ep::layout::get_dispatch_layout<(int)256, (int)4, (int)8>(const long *, int *, int *, int *, bool *, int, int, int, int)"
0.3,31239146,4665,6696.5,1888.0,1536,543264,37101.7,"void vllm::moe::count_and_sort_expert_tokens_kernel<long>(const T1 *, int *, int *, int *, unsigned long, int, int, int, bool)"
0.3,29764907,4665,6380.5,3392.0,3168,269760,21456.5,"void vllm::moe::moe_align_block_size_kernel<long>(const T1 *, int *, int *, int *, int *, int, int, int, int, unsigned long, int *, int, int, bool)"
0.3,26578258,4927,5394.4,5376.0,5056,6528,143.7,nvjet_tst_64x8_64x16_2x1_v_bz_TNT
0.3,25628175,10508,2438.9,2176.0,1760,340960,6581.0,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.3,24118830,5319,4534.5,4160.0,3136,17248,2275.9,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.2,23325512,5215,4472.8,4320.0,4128,9216,783.9,"void vllm::moe::topkGating<(int)8, (int)128, (int)4, (int)16, (int)32, long, __nv_bfloat16, (vllm::moe::ScoringFunc)0>(const T7 *, const bool *, float *, int, T6 *, int *, int, int, int, bool, const float *)"
0.2,20317506,192,105820.3,105904.0,103968,108480,806.5,nvjet_tst_320x128_64x3_1x2_h_bz_coopB_TNT
0.2,16112359,192,83918.5,84032.0,82432,86176,671.8,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT
0.2,16089033,11211,1435.1,1280.0,1056,12768,1427.2,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,14844227,5216,2845.9,1728.0,1504,32864,5686.7,_triton_mrope_forward
0.1,13994589,4859,2880.1,2816.0,2112,8352,518.2,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.1,12638627,8,1579828.4,1583725.5,1530274,1616447,32413.5,_topk_topp_kernel
0.1,9571619,4665,2051.8,2016.0,1568,4992,325.4,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(bool, long, long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,8542818,4737,1803.4,1728.0,1504,6688,497.6,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,7924932,58,136636.8,163968.5,3424,165568,60572.9,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,7656672,5024,1524.0,1440.0,1184,5024,459.9,"void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)"
0.1,7606341,4681,1624.9,1600.0,1408,7200,424.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<long, long, bool, at::native::<unnamed>::CompareEqFunctor<long>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,7268574,5458,1331.7,1344.0,1152,4800,315.0,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.1,7176703,4681,1533.2,1568.0,1344,4096,221.9,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
