modality,metric,n,mean,median,p25,p75
vision_tokens,S,1152,0.9097140109258386,0.9111328125,0.9002952091767882,0.9212962962962963
vision_tokens,I,1152,1.2294658923804844,1.2037037037037037,1.138671875,1.2996980270687166
vision_tokens,rank_cv,1152,0.1706624138169587,0.15911362229630593,0.11367472844802275,0.21996778100273945
vision_tokens,p_u4,1152,0.6558258098295515,0.66015625,0.6203703703703703,0.6966899064129137
vision_tokens,p_u_ge3,1152,0.9830471257475515,0.985663082437276,0.9774590163934426,0.9916066785136994
text_tokens,S,1152,0.9187145049746953,0.9166666666666666,0.8928571428571429,0.9467391304347825
text_tokens,I,1152,1.3112857556216932,1.2826086956521738,1.2,1.4
text_tokens,rank_cv,1152,0.23455277585975093,0.22955121828198777,0.1657506808452366,0.29207014233702894
text_tokens,p_u4,1152,0.6882606718714056,0.6956521739130435,0.6,0.8
text_tokens,p_u_ge3,1152,0.9866800199850473,1.0,1.0,1.0
