regime,metric,n,median_ms
low_S_low_I,dispatch_ms,2,0.13517599925398827
low_S_low_I,combine_ms,2,0.061839998699724674
low_S_low_I,total_ms,2,0.21089599654078484
high_S_low_I,dispatch_ms,2,0.14925599843263626
high_S_low_I,combine_ms,2,0.07492000050842762
high_S_low_I,total_ms,2,0.2351519986987114
low_S_high_I,dispatch_ms,2,0.15323199704289436
low_S_high_I,combine_ms,2,0.0774879977107048
low_S_high_I,total_ms,2,0.24038400128483772
high_S_high_I,dispatch_ms,2,0.14768799766898155
high_S_high_I,combine_ms,2,0.07597600109875202
high_S_high_I,total_ms,2,0.23390400409698486
