request_id,pair_id,category,token_bucket,route_file,layer,token_count,total_assignments,S,I,rank_cv,p_u4,p_u_ge3,mean_unique_ranks,rank_load,vision_rank_load,text_rank_load,vision_assignments,text_assignments,vision_fraction,vision_S,vision_I,vision_rank_cv,vision_p_u4,vision_p_u_ge3,text_S,text_I,text_rank_cv,text_p_u4,text_p_u_ge3,expert_hist,vision_expert_hist,text_expert_hist
coins,0,natural,small,routes/vision.coins.npz,0,128,1024,0.873046875,1.2578125,0.1649205611920668,0.5390625,0.953125,3.4921875,"[254, 243, 205, 322]","[216, 216, 157, 275]","[38, 27, 48, 47]",864,160,0.84375,0.8703703703703703,1.2731481481481481,0.19314490782410326,0.5370370370370371,0.9444444444444444,0.8875,1.2,0.21139418156609704,0.55,1.0,"[40, 5, 5, 5, 3, 0, 0, 16, 11, 0, 1, 0, 7, 27, 24, 0, 9, 1, 0, 12, 1, 17, 0, 2, 1, 28, 1, 3, 4, 23, 7, 1, 7, 23, 24, 10, 1, 11, 2, 2, 0, 2, 10, 1, 2, 4, 9, 12, 0, 7, 6, 2, 3, 6, 7, 2, 15, 15, 54, 0, 2, 1, 1, 2, 11, 3, 4, 5, 3, 0, 17, 3, 21, 1, 0, 10, 1, 8, 29, 1, 1, 2, 10, 3, 6, 11, 6, 1, 19, 1, 1, 7, 4, 0, 6, 10, 1, 4, 8, 5, 6, 31, 7, 1, 53, 3, 2, 2, 3, 60, 3, 11, 8, 2, 6, 15, 3, 1, 1, 0, 9, 12, 7, 13, 1, 5, 20, 19]","[39, 2, 4, 2, 3, 0, 0, 16, 11, 0, 0, 0, 1, 26, 22, 0, 6, 0, 0, 12, 0, 14, 0, 0, 0, 28, 0, 3, 0, 22, 5, 0, 6, 22, 21, 9, 0, 11, 2, 1, 0, 0, 10, 0, 1, 2, 9, 12, 0, 7, 5, 2, 3, 4, 7, 0, 14, 14, 54, 0, 0, 0, 0, 0, 7, 2, 3, 0, 2, 0, 17, 1, 20, 0, 0, 8, 1, 1, 28, 1, 0, 0, 8, 0, 3, 10, 4, 0, 19, 1, 0, 3, 3, 0, 6, 9, 1, 4, 3, 5, 3, 31, 7, 0, 53, 0, 0, 1, 3, 60, 2, 11, 5, 2, 0, 12, 0, 1, 0, 0, 7, 12, 3, 13, 0, 2, 16, 18]","[1, 3, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 6, 1, 2, 0, 3, 1, 0, 0, 1, 3, 0, 2, 1, 0, 1, 0, 4, 1, 2, 1, 1, 1, 3, 1, 1, 0, 0, 1, 0, 2, 0, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 1, 1, 0, 0, 2, 1, 1, 2, 4, 1, 1, 5, 1, 0, 0, 2, 1, 1, 0, 2, 0, 7, 1, 0, 1, 2, 2, 3, 3, 1, 2, 1, 0, 0, 1, 4, 1, 0, 0, 1, 0, 0, 5, 0, 3, 0, 0, 1, 0, 3, 2, 1, 0, 0, 1, 0, 3, 0, 6, 3, 3, 0, 1, 0, 2, 0, 4, 0, 1, 3, 4, 1]"
coins,0,natural,small,routes/vision.coins.npz,1,128,1024,0.9140625,1.203125,0.14291217289005248,0.671875,0.984375,3.65625,"[271, 232, 213, 308]","[224, 212, 165, 263]","[47, 20, 48, 45]",864,160,0.84375,0.9189814814814815,1.2175925925925926,0.16187160867636194,0.6944444444444444,0.9814814814814815,0.8875,1.2,0.28993533761858004,0.55,1.0,"[7, 21, 8, 31, 4, 32, 9, 4, 25, 27, 6, 1, 8, 2, 5, 3, 16, 0, 3, 1, 6, 6, 0, 0, 1, 2, 3, 1, 1, 2, 2, 34, 22, 6, 2, 24, 10, 2, 1, 5, 8, 1, 0, 4, 4, 10, 1, 1, 5, 0, 0, 9, 0, 2, 12, 4, 7, 3, 0, 56, 3, 28, 1, 1, 6, 0, 1, 7, 16, 0, 4, 1, 2, 1, 2, 5, 4, 9, 1, 9, 3, 19, 11, 2, 1, 24, 4, 21, 9, 0, 36, 4, 2, 3, 5, 1, 15, 12, 3, 2, 30, 7, 17, 1, 37, 0, 1, 11, 14, 1, 38, 6, 15, 5, 8, 1, 4, 9, 15, 13, 7, 10, 1, 2, 3, 10, 3, 7]","[4, 20, 2, 29, 3, 32, 7, 4, 22, 24, 4, 0, 8, 0, 2, 0, 14, 0, 1, 0, 6, 2, 0, 0, 0, 2, 0, 1, 1, 0, 2, 34, 22, 6, 0, 24, 10, 2, 0, 5, 8, 0, 0, 4, 2, 4, 1, 1, 3, 0, 0, 9, 0, 1, 12, 0, 7, 3, 0, 56, 3, 27, 1, 1, 6, 0, 0, 3, 13, 0, 0, 1, 1, 0, 0, 3, 4, 5, 0, 8, 1, 19, 8, 2, 0, 24, 3, 19, 4, 0, 33, 2, 1, 2, 3, 0, 14, 12, 3, 0, 30, 6, 17, 0, 36, 0, 0, 10, 14, 1, 38, 6, 14, 4, 1, 1, 3, 9, 14, 5, 5, 7, 1, 2, 1, 6, 3, 0]","[3, 1, 6, 2, 1, 0, 2, 0, 3, 3, 2, 1, 0, 2, 3, 3, 2, 0, 2, 1, 0, 4, 0, 0, 1, 0, 3, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 6, 0, 0, 2, 0, 0, 0, 0, 1, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 4, 3, 0, 4, 0, 1, 1, 2, 2, 0, 4, 1, 1, 2, 0, 3, 0, 1, 0, 1, 2, 5, 0, 3, 2, 1, 1, 2, 1, 1, 0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 7, 0, 1, 0, 1, 8, 2, 3, 0, 0, 2, 4, 0, 7]"
coins,0,natural,small,routes/vision.coins.npz,2,128,1024,0.935546875,1.29296875,0.17357557144917096,0.75,0.9921875,3.7421875,"[331, 244, 233, 216]","[301, 197, 188, 178]","[30, 47, 45, 38]",864,160,0.84375,0.9328703703703703,1.3935185185185186,0.22931859909362048,0.7407407407407407,0.9907407407407407,0.95,1.175,0.1667708008015792,0.8,1.0,"[0, 19, 15, 26, 7, 0, 29, 0, 2, 1, 23, 4, 10, 1, 0, 5, 6, 36, 0, 0, 8, 25, 0, 0, 0, 14, 31, 19, 0, 13, 3, 34, 5, 0, 8, 16, 10, 80, 3, 2, 12, 6, 4, 0, 13, 0, 2, 13, 4, 2, 16, 1, 0, 4, 1, 8, 8, 3, 2, 2, 8, 3, 4, 4, 3, 3, 14, 3, 0, 0, 3, 4, 0, 3, 6, 14, 4, 3, 9, 30, 11, 31, 6, 0, 1, 13, 1, 0, 2, 3, 3, 20, 3, 3, 20, 17, 39, 5, 2, 6, 1, 1, 16, 5, 1, 0, 0, 9, 4, 0, 27, 2, 11, 2, 4, 28, 2, 0, 3, 1, 6, 3, 2, 9, 7, 5, 4, 11]","[0, 18, 14, 26, 4, 0, 28, 0, 0, 0, 18, 4, 10, 0, 0, 0, 3, 36, 0, 0, 6, 25, 0, 0, 0, 12, 31, 19, 0, 13, 0, 34, 5, 0, 8, 16, 10, 80, 0, 1, 3, 2, 4, 0, 12, 0, 0, 2, 2, 1, 13, 0, 0, 2, 0, 8, 8, 3, 2, 0, 7, 3, 2, 3, 1, 2, 14, 0, 0, 0, 0, 4, 0, 0, 4, 13, 2, 0, 9, 30, 8, 31, 2, 0, 0, 13, 1, 0, 0, 2, 0, 19, 2, 3, 20, 8, 39, 2, 2, 4, 0, 0, 16, 4, 1, 0, 0, 8, 4, 0, 26, 2, 11, 0, 3, 27, 1, 0, 2, 0, 5, 0, 0, 3, 7, 0, 2, 9]","[0, 1, 1, 0, 3, 0, 1, 0, 2, 1, 5, 0, 0, 1, 0, 5, 3, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3, 1, 9, 4, 0, 0, 1, 0, 2, 11, 2, 1, 3, 1, 0, 2, 1, 0, 0, 0, 0, 2, 1, 0, 2, 1, 2, 1, 0, 3, 0, 0, 3, 0, 0, 3, 2, 1, 2, 3, 0, 0, 3, 0, 4, 0, 1, 0, 0, 0, 2, 1, 3, 1, 1, 0, 0, 9, 0, 3, 0, 2, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 1, 1, 1, 3, 2, 6, 0, 5, 2, 2]"
coins,0,natural,small,routes/vision.coins.npz,3,128,1024,0.90234375,1.3359375,0.20340650565547,0.6171875,0.9921875,3.609375,"[207, 224, 342, 251]","[167, 195, 297, 205]","[40, 29, 45, 46]",864,160,0.84375,0.9074074074074074,1.375,0.2259050536806639,0.6388888888888888,0.9907407407407407,0.875,1.15,0.16863421954040053,0.5,1.0,"[1, 3, 43, 2, 9, 2, 4, 2, 35, 24, 0, 3, 1, 3, 1, 0, 13, 6, 3, 7, 0, 0, 0, 1, 13, 1, 0, 1, 16, 10, 0, 3, 4, 8, 2, 3, 14, 3, 0, 3, 3, 0, 0, 2, 4, 5, 1, 4, 45, 2, 11, 3, 0, 1, 6, 60, 2, 7, 19, 1, 1, 3, 4, 3, 1, 1, 1, 4, 2, 8, 8, 12, 7, 4, 4, 1, 2, 5, 14, 1, 1, 24, 6, 0, 59, 15, 3, 31, 33, 3, 6, 1, 15, 0, 0, 70, 0, 2, 0, 2, 1, 1, 10, 10, 41, 0, 7, 9, 5, 36, 11, 12, 4, 0, 3, 28, 4, 2, 10, 9, 8, 4, 1, 14, 6, 0, 5, 6]","[1, 2, 42, 2, 5, 2, 0, 0, 34, 23, 0, 1, 0, 2, 0, 0, 0, 6, 3, 7, 0, 0, 0, 0, 12, 0, 0, 0, 16, 9, 0, 0, 3, 7, 1, 2, 12, 2, 0, 3, 0, 0, 0, 1, 3, 5, 0, 1, 45, 2, 8, 3, 0, 1, 5, 59, 1, 7, 19, 0, 1, 0, 1, 3, 0, 1, 0, 4, 1, 8, 7, 12, 6, 2, 4, 1, 1, 0, 12, 0, 0, 24, 0, 0, 49, 15, 3, 30, 31, 0, 1, 1, 14, 0, 0, 70, 0, 2, 0, 2, 1, 0, 10, 10, 40, 0, 6, 1, 4, 36, 11, 12, 0, 0, 3, 17, 4, 1, 9, 8, 3, 1, 0, 13, 2, 0, 5, 4]","[0, 1, 1, 0, 4, 0, 4, 2, 1, 1, 0, 2, 1, 1, 1, 0, 13, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 3, 1, 1, 1, 1, 2, 1, 0, 0, 3, 0, 0, 1, 1, 0, 1, 3, 0, 0, 3, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 3, 3, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 2, 0, 0, 1, 5, 2, 1, 1, 0, 6, 0, 10, 0, 0, 1, 2, 3, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 8, 1, 0, 0, 0, 4, 0, 0, 11, 0, 1, 1, 1, 5, 3, 1, 1, 4, 0, 0, 2]"
coins,0,natural,small,routes/vision.coins.npz,4,128,1024,0.931640625,1.21484375,0.161744223537214,0.734375,0.9921875,3.7265625,"[311, 281, 218, 214]","[285, 241, 172, 166]","[26, 40, 46, 48]",864,160,0.84375,0.9398148148148148,1.3194444444444444,0.22941204595939535,0.7592592592592593,1.0,0.8875,1.2,0.21505813167606566,0.6,0.95,"[0, 2, 9, 49, 6, 19, 7, 0, 15, 0, 5, 3, 1, 40, 11, 0, 6, 4, 0, 2, 3, 12, 2, 8, 40, 0, 9, 5, 35, 2, 0, 16, 4, 2, 13, 6, 43, 0, 5, 2, 2, 0, 0, 8, 0, 0, 7, 3, 0, 65, 14, 6, 10, 3, 3, 0, 1, 12, 3, 5, 5, 7, 43, 9, 4, 2, 24, 0, 0, 1, 30, 42, 12, 8, 1, 2, 2, 5, 1, 2, 17, 9, 0, 1, 18, 4, 0, 3, 5, 1, 6, 0, 3, 4, 6, 5, 1, 0, 3, 5, 2, 2, 0, 3, 11, 4, 3, 16, 13, 18, 4, 1, 2, 4, 1, 5, 5, 16, 1, 3, 0, 4, 10, 13, 2, 53, 8, 1]","[0, 0, 9, 49, 4, 17, 7, 0, 15, 0, 2, 0, 1, 40, 10, 0, 5, 0, 0, 1, 3, 10, 0, 7, 40, 0, 9, 3, 35, 2, 0, 16, 1, 2, 7, 6, 43, 0, 1, 0, 1, 0, 0, 8, 0, 0, 7, 0, 0, 65, 14, 4, 1, 2, 3, 0, 0, 12, 0, 5, 5, 7, 42, 5, 4, 1, 24, 0, 0, 1, 28, 40, 12, 0, 0, 0, 0, 0, 1, 0, 16, 1, 0, 1, 18, 0, 0, 0, 5, 0, 6, 0, 3, 0, 6, 5, 0, 0, 2, 4, 0, 2, 0, 3, 0, 0, 0, 15, 13, 15, 4, 0, 2, 3, 0, 1, 2, 15, 0, 3, 0, 3, 9, 12, 2, 52, 3, 1]","[0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 3, 3, 0, 0, 1, 0, 1, 4, 0, 1, 0, 2, 2, 1, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 6, 0, 0, 0, 4, 2, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 9, 1, 0, 0, 1, 0, 3, 0, 0, 0, 1, 4, 0, 1, 0, 0, 0, 0, 2, 2, 0, 8, 1, 2, 2, 5, 0, 2, 1, 8, 0, 0, 0, 4, 0, 3, 0, 1, 0, 0, 0, 4, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 11, 4, 3, 1, 0, 3, 0, 1, 0, 1, 1, 4, 3, 1, 1, 0, 0, 1, 1, 1, 0, 1, 5, 0]"
coins,0,natural,small,routes/vision.coins.npz,5,128,1024,0.947265625,1.2578125,0.16112985319252218,0.7890625,1.0,3.7890625,"[216, 322, 227, 259]","[170, 285, 190, 219]","[46, 37, 37, 40]",864,160,0.84375,0.9444444444444444,1.3194444444444444,0.20129574261397837,0.7777777777777778,1.0,0.9625,1.15,0.09185586535436918,0.85,1.0,"[9, 4, 0, 0, 0, 2, 3, 25, 2, 6, 7, 0, 5, 8, 41, 5, 2, 7, 3, 0, 1, 1, 0, 2, 3, 18, 1, 11, 26, 23, 1, 0, 32, 2, 0, 16, 0, 5, 2, 2, 13, 38, 1, 28, 73, 2, 5, 1, 10, 1, 11, 4, 21, 3, 19, 1, 5, 21, 1, 0, 1, 2, 1, 1, 9, 5, 3, 2, 7, 8, 7, 9, 3, 3, 3, 3, 19, 56, 3, 1, 1, 2, 0, 6, 1, 10, 4, 6, 10, 0, 3, 0, 41, 2, 0, 0, 10, 4, 43, 4, 8, 4, 3, 1, 4, 4, 9, 3, 1, 9, 1, 1, 16, 21, 2, 13, 0, 7, 3, 6, 3, 33, 5, 17, 15, 2, 0, 7]","[9, 0, 0, 0, 0, 0, 2, 23, 0, 3, 6, 0, 4, 0, 41, 5, 2, 2, 1, 0, 0, 1, 0, 2, 1, 8, 0, 11, 26, 23, 0, 0, 32, 0, 0, 15, 0, 0, 1, 0, 12, 37, 0, 28, 73, 1, 5, 0, 7, 0, 10, 0, 21, 3, 16, 0, 0, 21, 1, 0, 1, 0, 1, 0, 7, 5, 0, 0, 3, 8, 2, 9, 3, 0, 2, 1, 17, 56, 0, 0, 1, 2, 0, 6, 0, 9, 3, 5, 8, 0, 1, 0, 41, 1, 0, 0, 7, 1, 42, 4, 6, 4, 0, 1, 2, 1, 7, 2, 1, 7, 1, 1, 16, 21, 2, 12, 0, 0, 2, 5, 2, 33, 5, 12, 15, 0, 0, 7]","[0, 4, 0, 0, 0, 2, 1, 2, 2, 3, 1, 0, 1, 8, 0, 0, 0, 5, 2, 0, 1, 0, 0, 0, 2, 10, 1, 0, 0, 0, 1, 0, 0, 2, 0, 1, 0, 5, 1, 2, 1, 1, 1, 0, 0, 1, 0, 1, 3, 1, 1, 4, 0, 0, 3, 1, 5, 0, 0, 0, 0, 2, 0, 1, 2, 0, 3, 2, 4, 0, 5, 0, 0, 3, 1, 2, 2, 0, 3, 1, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 2, 0, 0, 1, 0, 0, 3, 3, 1, 0, 2, 0, 3, 0, 2, 3, 2, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 7, 1, 1, 1, 0, 0, 5, 0, 2, 0, 0]"
coins,0,natural,small,routes/vision.coins.npz,6,128,1024,0.939453125,1.17578125,0.13209248764774154,0.765625,0.9921875,3.7578125,"[301, 209, 244, 270]","[266, 166, 194, 238]","[35, 43, 50, 32]",864,160,0.84375,0.9398148148148148,1.2314814814814814,0.17882599922062933,0.7685185185185185,0.9907407407407407,0.9375,1.25,0.17589059099337861,0.75,1.0,"[0, 10, 8, 3, 4, 46, 46, 4, 11, 0, 0, 4, 1, 1, 2, 3, 18, 6, 18, 1, 7, 10, 5, 0, 6, 1, 5, 5, 4, 51, 0, 21, 8, 3, 13, 16, 0, 2, 0, 0, 2, 0, 0, 10, 4, 16, 2, 0, 2, 1, 3, 7, 0, 6, 48, 3, 9, 2, 14, 3, 33, 0, 0, 2, 5, 9, 17, 1, 3, 23, 2, 12, 0, 8, 3, 2, 32, 1, 7, 2, 2, 9, 1, 2, 0, 6, 8, 1, 4, 62, 0, 22, 0, 0, 0, 0, 0, 0, 4, 80, 1, 0, 72, 12, 1, 3, 1, 4, 21, 3, 0, 1, 0, 12, 1, 0, 20, 1, 1, 0, 2, 2, 15, 2, 0, 0, 0, 11]","[0, 8, 8, 3, 4, 46, 45, 1, 0, 0, 0, 4, 1, 0, 0, 2, 17, 6, 16, 1, 7, 9, 5, 0, 0, 0, 4, 5, 4, 50, 0, 20, 7, 2, 0, 14, 0, 2, 0, 0, 2, 0, 0, 10, 0, 16, 2, 0, 1, 1, 3, 6, 0, 2, 45, 0, 2, 2, 13, 3, 33, 0, 0, 0, 1, 8, 16, 1, 2, 22, 2, 1, 0, 8, 2, 0, 32, 0, 2, 0, 0, 9, 1, 0, 0, 6, 2, 0, 3, 55, 0, 21, 0, 0, 0, 0, 0, 0, 3, 79, 1, 0, 71, 10, 1, 0, 1, 1, 20, 0, 0, 1, 0, 12, 0, 0, 10, 0, 0, 0, 2, 1, 15, 2, 0, 0, 0, 8]","[0, 2, 0, 0, 0, 0, 1, 3, 11, 0, 0, 0, 0, 1, 2, 1, 1, 0, 2, 0, 0, 1, 0, 0, 6, 1, 1, 0, 0, 1, 0, 1, 1, 1, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 1, 0, 4, 3, 3, 7, 0, 1, 0, 0, 0, 0, 2, 4, 1, 1, 0, 1, 1, 0, 11, 0, 0, 1, 2, 0, 1, 5, 2, 2, 0, 0, 2, 0, 0, 6, 1, 1, 7, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 0, 3, 0, 3, 1, 3, 0, 0, 0, 0, 1, 0, 10, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3]"
coins,0,natural,small,routes/vision.coins.npz,7,128,1024,0.873046875,1.63671875,0.39976609066564633,0.5390625,0.953125,3.4921875,"[136, 234, 235, 419]","[94, 193, 213, 364]","[42, 41, 22, 55]",864,160,0.84375,0.8611111111111112,1.6851851851851851,0.4472207844467342,0.49074074074074076,0.9537037037037037,0.9375,1.375,0.2942150573984955,0.8,0.95,"[1, 22, 3, 16, 0, 0, 0, 14, 1, 0, 0, 0, 0, 1, 0, 1, 0, 5, 28, 1, 0, 0, 11, 5, 7, 0, 0, 0, 1, 1, 17, 1, 16, 0, 0, 1, 0, 9, 2, 6, 0, 4, 0, 1, 1, 2, 0, 84, 1, 3, 0, 1, 2, 0, 1, 30, 9, 23, 21, 11, 0, 1, 3, 2, 1, 4, 5, 4, 11, 0, 1, 1, 0, 9, 12, 5, 33, 65, 3, 0, 12, 1, 0, 1, 0, 0, 2, 2, 0, 9, 11, 0, 40, 0, 3, 0, 0, 4, 2, 1, 72, 7, 0, 6, 52, 1, 38, 72, 23, 18, 3, 3, 5, 12, 1, 2, 0, 3, 38, 3, 3, 0, 3, 2, 30, 0, 0, 15]","[1, 21, 0, 7, 0, 0, 0, 9, 1, 0, 0, 0, 0, 1, 0, 1, 0, 5, 18, 0, 0, 0, 11, 4, 0, 0, 0, 0, 0, 1, 14, 0, 15, 0, 0, 0, 0, 9, 0, 4, 0, 2, 0, 1, 1, 0, 0, 78, 1, 0, 0, 0, 1, 0, 0, 30, 7, 22, 20, 0, 0, 0, 0, 2, 1, 4, 4, 2, 10, 0, 1, 1, 0, 0, 12, 0, 33, 65, 3, 0, 12, 1, 0, 0, 0, 0, 2, 0, 0, 9, 11, 0, 39, 0, 3, 0, 0, 4, 1, 1, 68, 3, 0, 4, 52, 0, 25, 72, 23, 4, 0, 1, 2, 10, 1, 0, 0, 3, 38, 0, 3, 0, 3, 2, 29, 0, 0, 15]","[0, 1, 3, 9, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 0, 0, 0, 1, 7, 0, 0, 0, 1, 0, 3, 1, 1, 0, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 0, 2, 0, 6, 0, 3, 0, 1, 1, 0, 1, 0, 2, 1, 1, 11, 0, 1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 9, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 4, 4, 0, 2, 0, 1, 13, 0, 0, 14, 3, 2, 3, 2, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0]"
coins,0,natural,small,routes/vision.coins.npz,8,128,1024,0.9375,1.234375,0.14243089573050416,0.75,1.0,3.75,"[253, 316, 234, 221]","[213, 259, 196, 196]","[40, 57, 38, 25]",864,160,0.84375,0.9467592592592593,1.1990740740740742,0.11934211809861335,0.7870370370370371,1.0,0.8875,1.425,0.28449516691852605,0.55,1.0,"[0, 20, 0, 2, 6, 1, 1, 6, 3, 3, 25, 4, 0, 1, 5, 0, 7, 9, 4, 8, 12, 54, 1, 10, 1, 3, 3, 4, 2, 8, 2, 48, 0, 0, 2, 71, 0, 9, 30, 0, 43, 12, 1, 0, 8, 5, 15, 0, 8, 8, 1, 3, 2, 2, 1, 13, 2, 8, 57, 0, 0, 5, 5, 5, 2, 6, 32, 3, 1, 3, 3, 35, 11, 28, 0, 0, 2, 1, 22, 0, 1, 24, 2, 2, 3, 0, 0, 5, 8, 6, 0, 0, 2, 4, 28, 0, 8, 9, 9, 7, 1, 23, 10, 2, 0, 0, 1, 4, 1, 1, 1, 3, 1, 0, 7, 4, 11, 0, 0, 16, 4, 2, 1, 28, 1, 44, 0, 22]","[0, 20, 0, 1, 2, 0, 0, 6, 0, 1, 25, 4, 0, 0, 1, 0, 2, 9, 4, 8, 10, 47, 0, 10, 0, 3, 0, 2, 1, 8, 2, 47, 0, 0, 1, 67, 0, 7, 16, 0, 42, 12, 0, 0, 8, 0, 2, 0, 8, 8, 0, 1, 2, 0, 0, 13, 1, 2, 57, 0, 0, 2, 5, 5, 0, 1, 31, 2, 1, 0, 3, 35, 2, 28, 0, 0, 1, 1, 22, 0, 0, 24, 1, 1, 0, 0, 0, 5, 2, 5, 0, 0, 0, 3, 28, 0, 7, 9, 9, 7, 1, 23, 9, 0, 0, 0, 1, 3, 1, 1, 0, 0, 1, 0, 7, 3, 0, 0, 0, 16, 4, 0, 1, 28, 0, 44, 0, 21]","[0, 0, 0, 1, 4, 1, 1, 0, 3, 2, 0, 0, 0, 1, 4, 0, 5, 0, 0, 0, 2, 7, 1, 0, 1, 0, 3, 2, 1, 0, 0, 1, 0, 0, 1, 4, 0, 2, 14, 0, 1, 0, 1, 0, 0, 5, 13, 0, 0, 0, 1, 2, 0, 2, 1, 0, 1, 6, 0, 0, 0, 3, 0, 0, 2, 5, 1, 1, 0, 3, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 3, 0, 0, 0, 6, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 1, 3, 0, 0, 0, 1, 11, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1]"
coins,0,natural,small,routes/vision.coins.npz,9,128,1024,0.927734375,1.31640625,0.2561797255010874,0.7265625,0.984375,3.7109375,"[303, 203, 337, 181]","[268, 166, 285, 145]","[35, 37, 52, 36]",864,160,0.84375,0.9236111111111112,1.3194444444444444,0.28356245274904346,0.7129629629629629,0.9814814814814815,0.95,1.3,0.17410485346480148,0.8,1.0,"[1, 0, 3, 39, 6, 23, 0, 2, 10, 3, 18, 1, 23, 13, 1, 0, 5, 2, 30, 10, 0, 2, 1, 2, 2, 6, 14, 37, 4, 13, 3, 29, 8, 2, 1, 9, 12, 1, 0, 2, 25, 22, 2, 1, 3, 0, 10, 24, 3, 16, 2, 6, 0, 0, 7, 6, 1, 0, 22, 0, 1, 15, 0, 2, 1, 0, 1, 2, 7, 21, 5, 0, 1, 0, 12, 12, 23, 5, 3, 22, 0, 21, 1, 29, 4, 5, 37, 5, 0, 0, 56, 2, 4, 54, 0, 4, 7, 1, 14, 0, 4, 3, 0, 0, 3, 1, 5, 4, 30, 0, 4, 3, 1, 2, 25, 0, 3, 2, 0, 1, 6, 51, 5, 0, 1, 2, 3, 0]","[0, 0, 0, 39, 6, 21, 0, 2, 10, 1, 6, 0, 22, 13, 1, 0, 4, 2, 30, 5, 0, 1, 0, 0, 2, 5, 14, 37, 3, 13, 2, 29, 3, 0, 1, 8, 12, 0, 0, 1, 25, 22, 2, 0, 3, 0, 10, 24, 1, 0, 1, 6, 0, 0, 7, 1, 1, 0, 22, 0, 0, 14, 0, 2, 0, 0, 0, 1, 7, 5, 2, 0, 1, 0, 10, 12, 22, 1, 3, 20, 0, 20, 0, 28, 0, 1, 34, 0, 0, 0, 56, 1, 3, 54, 0, 4, 1, 1, 12, 0, 4, 3, 0, 0, 0, 1, 5, 4, 30, 0, 1, 1, 1, 0, 15, 0, 3, 2, 0, 1, 6, 51, 1, 0, 0, 0, 2, 0]","[1, 0, 3, 0, 0, 2, 0, 0, 0, 2, 12, 1, 1, 0, 0, 0, 1, 0, 0, 5, 0, 1, 1, 2, 0, 1, 0, 0, 1, 0, 1, 0, 5, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2, 16, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 16, 3, 0, 0, 0, 2, 0, 1, 4, 0, 2, 0, 1, 1, 1, 4, 4, 3, 5, 0, 0, 0, 1, 1, 0, 0, 0, 6, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 2, 0, 2, 10, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 2, 1, 0]"
