case_id,family,N,perm_index,perm,S,I,total_assignments,total_incidence,traffic_entropy,max_peer_fraction
balanced_spread_N256_p00,balanced_spread,256,0,"[0,1,2,3]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p01,balanced_spread,256,1,"[0,1,3,2]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p02,balanced_spread,256,2,"[0,2,1,3]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p03,balanced_spread,256,3,"[0,2,3,1]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p04,balanced_spread,256,4,"[0,3,1,2]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p05,balanced_spread,256,5,"[0,3,2,1]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p06,balanced_spread,256,6,"[1,0,2,3]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p07,balanced_spread,256,7,"[1,0,3,2]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p08,balanced_spread,256,8,"[1,2,0,3]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p09,balanced_spread,256,9,"[1,2,3,0]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p10,balanced_spread,256,10,"[1,3,0,2]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p11,balanced_spread,256,11,"[1,3,2,0]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p12,balanced_spread,256,12,"[2,0,1,3]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p13,balanced_spread,256,13,"[2,0,3,1]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p14,balanced_spread,256,14,"[2,1,0,3]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p15,balanced_spread,256,15,"[2,1,3,0]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p16,balanced_spread,256,16,"[2,3,0,1]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p17,balanced_spread,256,17,"[2,3,1,0]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p18,balanced_spread,256,18,"[3,0,1,2]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p19,balanced_spread,256,19,"[3,0,2,1]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p20,balanced_spread,256,20,"[3,1,0,2]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p21,balanced_spread,256,21,"[3,1,2,0]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p22,balanced_spread,256,22,"[3,2,0,1]",0.5,1.0,8192,2048,3.5849569936828383,0.25
balanced_spread_N256_p23,balanced_spread,256,23,"[3,2,1,0]",0.5,1.0,8192,2048,3.5849569936828383,0.25
pair_concentrated_N256_p00,pair_concentrated,256,0,"[0,1,2,3]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p01,pair_concentrated,256,1,"[0,1,3,2]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p02,pair_concentrated,256,2,"[0,2,1,3]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p03,pair_concentrated,256,3,"[0,2,3,1]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p04,pair_concentrated,256,4,"[0,3,1,2]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p05,pair_concentrated,256,5,"[0,3,2,1]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p06,pair_concentrated,256,6,"[1,0,2,3]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p07,pair_concentrated,256,7,"[1,0,3,2]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p08,pair_concentrated,256,8,"[1,2,0,3]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p09,pair_concentrated,256,9,"[1,2,3,0]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p10,pair_concentrated,256,10,"[1,3,0,2]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p11,pair_concentrated,256,11,"[1,3,2,0]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p12,pair_concentrated,256,12,"[2,0,1,3]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p13,pair_concentrated,256,13,"[2,0,3,1]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p14,pair_concentrated,256,14,"[2,1,0,3]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p15,pair_concentrated,256,15,"[2,1,3,0]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p16,pair_concentrated,256,16,"[2,3,0,1]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p17,pair_concentrated,256,17,"[2,3,1,0]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p18,pair_concentrated,256,18,"[3,0,1,2]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p19,pair_concentrated,256,19,"[3,0,2,1]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p20,pair_concentrated,256,20,"[3,1,0,2]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p21,pair_concentrated,256,21,"[3,1,2,0]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p22,pair_concentrated,256,22,"[3,2,0,1]",0.5,1.0,8192,2048,3.0,0.25
pair_concentrated_N256_p23,pair_concentrated,256,23,"[3,2,1,0]",0.5,1.0,8192,2048,3.0,0.25
destination_hotspot_N256_p00,destination_hotspot,256,0,"[0,1,2,3]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p01,destination_hotspot,256,1,"[0,1,3,2]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p02,destination_hotspot,256,2,"[0,2,1,3]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p03,destination_hotspot,256,3,"[0,2,3,1]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p04,destination_hotspot,256,4,"[0,3,1,2]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p05,destination_hotspot,256,5,"[0,3,2,1]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p06,destination_hotspot,256,6,"[1,0,2,3]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p07,destination_hotspot,256,7,"[1,0,3,2]",0.5,1.5,8192,2048,3.0,0.375
destination_hotspot_N256_p08,destination_hotspot,256,8,"[1,2,0,3]",0.5,1.5,8192,2048,3.0,0.375
