run,condition,concurrency,n,scheduled_tokens_median,scheduled_tokens_max,scheduled_requests_max,rank_ratio_median,rank_ratio_p95,expert_ratio_median,expert_ratio_p95,dispatch_ratio_median,combine_ratio_median,expert_max_ms_median,dispatch_max_ms_median,combine_max_ms_median,tail15_fraction
ep4_serving_straggler_regime_20260901_1340,long_multi_image,1,96,3203.0,3203,1,1.1239862757330008,1.2796319401122895,1.0384312587770315,1.0856530644704374,1.2427181621587913,1.2126601540873074,0.6409119963645935,0.48999999463558197,0.1854720041155815,0.020833333333333332
ep4_serving_straggler_regime_20260901_1340,long_multi_image,2,192,4218.5,5234,1,1.1646253181701423,1.3054765087853324,1.0478484846758194,1.1757763673575359,1.2184537555081265,1.1956564517056858,0.6862879991531372,0.5305599868297577,0.24292799830436707,0.08333333333333333
ep4_serving_straggler_regime_20260901_1340,long_multi_image,4,192,8437.0,13671,3,1.1472868217054266,1.2717035980693285,1.0554500132411584,1.1490644535488592,1.5056837554850762,1.1822991138720123,1.017872005701065,2.0980640649795532,0.44811199605464935,0.052083333333333336
ep4_serving_straggler_regime_20260901_1340,text_control,1,96,128.0,128,1,1.2788461538461537,1.5846153846153843,1.0324701637150868,1.1565538340503456,1.1666644746074284,1.0928114213048565,0.41059200465679163,0.3662880063056946,0.11062400043010705,0.0625
ep4_serving_straggler_regime_20260901_1340,text_control,2,192,188.0,248,1,1.2833076923076923,1.5740384615384613,1.036546794948288,1.2139498939392706,1.1772013237456647,1.137222244895376,0.4213920086622238,0.395919993519783,0.12161599844694135,0.15625
ep4_serving_straggler_regime_20260901_1340,text_control,4,192,582.0,1036,3,1.2728583073958797,1.5699933303690528,1.028437725546633,1.15779612990656,1.177074676758651,1.1552181857253592,0.45921599864959717,0.38220798969268793,0.11428799852728841,0.057291666666666664
ep4_serving_straggler_regime_20260901_1340,text_control,8,192,1164.0,2200,7,1.2720970446447284,1.5740384615384613,1.0347366362090291,1.1582232454608006,1.1938955710279489,1.1612361588952873,0.5352959930896759,0.40249599516391754,0.1314880028367042,0.057291666666666664
ep4_serving_straggler_regime_20260901_1340,text_control,16,192,2328.0,4528,15,1.271748174562744,1.5740384615384613,1.0519255558427982,1.154252123419167,1.1658791785295315,1.1475431944470889,0.6137119829654694,0.47542400658130646,0.21414399892091746,0.057291666666666664
ep4_serving_straggler_regime_20260901_1340,text_only,1,96,128.0,128,1,1.2788461538461537,1.5846153846153843,1.0290231065663606,1.14043206627039,1.1675320266335258,1.0826880259729807,0.4098239988088608,0.35632000863552094,0.10508800297975535,0.052083333333333336
ep4_serving_straggler_regime_20260901_1340,vision_heavy,1,96,128.0,128,1,1.2346153846153847,1.4153846153846157,1.0299267557070257,1.1647860177467337,1.1493548428205194,1.102607569702567,0.41462400555610657,0.35551999509334564,0.11239999905228609,0.0625
