phase,class,n,fraction_pct,raw_ms,excess_ms,excess_mass_pct
decode,gt5ms,422,0.525189167662286,18927.808208942413,18366.25487971306,13.85904737895889
decode,gt10ms,104,0.1294305057745918,16787.22481060028,16638.80788254738,12.555527966037976
decode,gt20ms,49,0.06098168060533652,15966.047082901001,15906.3325227499,12.0028071864431
decode,gt50ms,38,0.04729191557148547,15582.576877593994,15537.724941521883,11.72465848569054
decode,gt100ms,33,0.04106929510155317,15276.314125061035,15236.5128929317,11.497365982136335
decode,all_positive_excess,40169,49.9912883313421,,37039.44952824712,27.949709359067395
prefill,gt5ms,253,2.7169243986254297,5192.792412281036,3539.98753836751,19.704970031149127
prefill,gt10ms,92,0.9879725085910653,3973.735291481018,2924.4527557194233,16.278660103853774
prefill,gt20ms,39,0.41881443298969073,3178.7645988464355,2303.6485114991665,12.823018270376688
prefill,gt50ms,18,0.19329896907216496,2546.131187438965,1812.629388988018,10.089811729693425
prefill,gt100ms,7,0.07517182130584192,1728.8383560180664,1398.9071476459503,7.786870185830018
prefill,all_positive_excess,4655,49.98926116838488,,5313.735186815262,29.57835062265324
