layer,expert,matched_count,visual_available,text_available,visual_images,text_images
4,11,8,8,14,6,9
4,27,11,51,11,19,11
4,32,13,30,13,11,12
4,34,32,178,34,23,19
4,38,12,107,12,19,11
4,47,20,29,20,13,15
4,52,9,9,39,7,19
4,63,13,76,13,19,11
4,73,13,13,40,7,20
4,75,8,50,8,16,6
4,77,14,51,14,14,11
4,81,32,66,39,23,20
4,85,17,17,21,12,15
4,104,11,11,41,7,21
4,106,12,12,14,7,13
4,109,14,144,14,21,11
4,115,28,45,28,17,17
4,126,19,61,19,15,15
12,2,10,24,10,12,7
12,8,23,24,23,15,14
12,9,15,38,15,12,13
12,21,8,16,8,10,8
12,38,13,58,13,21,11
12,45,8,65,8,15,8
12,64,8,40,8,13,8
12,78,9,102,9,21,7
12,85,11,11,58,9,22
12,91,8,79,8,21,8
12,92,8,61,8,16,8
12,96,11,11,26,8,16
12,99,13,17,13,8,11
12,100,10,31,10,15,9
12,101,11,206,11,23,9
12,105,9,74,9,21,6
12,116,23,23,39,16,21
12,119,21,101,21,15,15
12,126,18,22,18,9,15
24,8,13,13,31,12,20
24,9,8,61,8,18,8
24,17,17,115,17,20,15
24,21,8,23,8,8,6
24,24,12,44,12,10,12
24,49,14,49,14,14,10
24,59,9,53,9,17,9
24,65,32,82,57,22,24
24,85,28,28,60,14,24
24,96,10,10,30,8,21
24,101,10,130,10,23,10
24,105,13,101,13,22,11
24,116,26,34,26,14,17
24,119,29,232,29,23,17
24,126,15,15,36,4,20
36,8,32,56,34,22,19
36,9,14,83,14,20,9
36,15,10,41,10,18,10
36,17,11,93,11,22,7
36,21,13,48,13,14,12
36,32,10,97,10,22,10
36,38,8,28,8,16,6
36,42,11,61,11,19,11
36,46,8,69,8,18,8
36,49,13,43,13,16,11
36,56,32,34,46,15,20
36,65,32,46,44,22,20
36,78,8,169,8,24,7
36,85,32,47,43,17,19
36,96,32,51,32,17,17
36,99,17,47,17,16,14
36,105,14,76,14,23,13
36,116,14,36,14,18,10
36,119,14,255,14,24,9
36,121,8,238,8,24,8
36,126,15,20,15,5,12
44,12,15,62,15,20,12
44,13,9,49,9,18,9
44,14,10,174,10,23,10
44,21,12,120,12,22,12
44,23,9,94,9,21,9
44,25,16,109,16,22,12
44,31,32,82,36,22,18
44,32,21,62,21,21,19
44,47,8,39,8,17,6
44,51,31,76,31,23,17
44,53,14,125,14,21,13
44,60,9,106,9,22,7
44,70,21,108,21,20,15
44,73,12,139,12,22,12
44,80,14,25,14,10,13
44,90,32,96,39,21,18
44,94,32,41,39,14,23
44,98,13,34,13,10,12
44,102,22,42,22,22,13
44,110,14,30,14,14,13
44,121,21,33,21,15,17
44,125,8,44,8,17,8
44,127,11,92,11,23,9
47,2,14,87,14,21,10
47,11,11,97,11,23,10
47,14,12,188,12,24,11
47,15,11,24,11,16,10
47,20,24,55,24,22,16
47,28,9,81,9,21,8
47,31,11,62,11,17,10
47,44,12,12,24,8,19
47,48,10,117,10,24,7
47,54,9,168,9,23,8
47,57,29,80,29,24,19
47,73,15,111,15,22,11
47,77,24,41,24,22,17
47,86,12,55,12,18,11
47,101,15,82,15,21,10
47,105,22,96,22,23,16
47,125,16,51,16,20,10
47,126,18,44,18,18,13
47,127,11,12,11,8,10
