layer,expert,modality,method,required_ratio
4,11,text,oracle,1.0
4,11,text,practical,1.0
4,11,visual,oracle,1.0
4,11,visual,practical,1.0
4,27,text,oracle,0.75
4,27,text,practical,1.0
4,27,visual,oracle,1.0
4,27,visual,practical,1.0
4,32,text,oracle,1.0
4,32,text,practical,1.0
4,32,visual,oracle,1.0
4,32,visual,practical,1.0
4,34,text,oracle,1.0
4,34,text,practical,1.0
4,34,visual,oracle,1.0
4,34,visual,practical,1.0
4,38,text,oracle,1.0
4,38,text,practical,1.0
4,38,visual,oracle,1.0
4,38,visual,practical,1.0
4,47,text,oracle,0.75
4,47,text,practical,0.75
4,47,visual,oracle,1.0
4,47,visual,practical,1.0
4,52,text,oracle,1.0
4,52,text,practical,1.0
4,52,visual,oracle,0.75
4,52,visual,practical,0.75
4,63,text,oracle,0.75
4,63,text,practical,0.75
4,63,visual,oracle,1.0
4,63,visual,practical,1.0
4,73,text,oracle,1.0
4,73,text,practical,1.0
4,73,visual,oracle,1.0
4,73,visual,practical,1.0
4,75,text,oracle,0.75
4,75,text,practical,0.75
4,75,visual,oracle,1.0
4,75,visual,practical,1.0
4,77,text,oracle,0.75
4,77,text,practical,0.75
4,77,visual,oracle,1.0
4,77,visual,practical,1.0
4,81,text,oracle,1.0
4,81,text,practical,1.0
4,81,visual,oracle,1.0
4,81,visual,practical,1.0
4,85,text,oracle,1.0
4,85,text,practical,1.0
4,85,visual,oracle,1.0
4,85,visual,practical,1.0
4,104,text,oracle,1.0
4,104,text,practical,1.0
4,104,visual,oracle,1.0
4,104,visual,practical,1.0
4,106,text,oracle,1.0
4,106,text,practical,1.0
4,106,visual,oracle,1.0
4,106,visual,practical,1.0
4,109,text,oracle,0.75
4,109,text,practical,0.75
4,109,visual,oracle,1.0
4,109,visual,practical,1.0
4,115,text,oracle,1.0
4,115,text,practical,1.0
4,115,visual,oracle,0.75
4,115,visual,practical,0.75
4,126,text,oracle,0.75
4,126,text,practical,0.75
4,126,visual,oracle,1.0
4,126,visual,practical,1.0
12,2,text,oracle,1.0
12,2,text,practical,1.0
12,2,visual,oracle,1.0
12,2,visual,practical,1.0
12,8,text,oracle,1.0
12,8,text,practical,1.0
12,8,visual,oracle,1.0
12,8,visual,practical,1.0
12,9,text,oracle,1.0
12,9,text,practical,1.0
12,9,visual,oracle,1.0
12,9,visual,practical,1.0
12,21,text,oracle,1.0
12,21,text,practical,1.0
12,21,visual,oracle,1.0
12,21,visual,practical,1.0
12,38,text,oracle,1.0
12,38,text,practical,1.0
12,38,visual,oracle,1.0
12,38,visual,practical,1.0
12,45,text,oracle,1.0
12,45,text,practical,1.0
12,45,visual,oracle,1.0
12,45,visual,practical,1.0
12,64,text,oracle,1.0
12,64,text,practical,1.0
12,64,visual,oracle,1.0
12,64,visual,practical,1.0
12,78,text,oracle,1.0
12,78,text,practical,1.0
12,78,visual,oracle,1.0
12,78,visual,practical,1.0
12,85,text,oracle,1.0
12,85,text,practical,1.0
12,85,visual,oracle,1.0
12,85,visual,practical,1.0
12,91,text,oracle,1.0
12,91,text,practical,1.0
12,91,visual,oracle,1.0
12,91,visual,practical,1.0
12,92,text,oracle,1.0
12,92,text,practical,1.0
12,92,visual,oracle,1.0
12,92,visual,practical,1.0
12,96,text,oracle,1.0
12,96,text,practical,1.0
12,96,visual,oracle,1.0
12,96,visual,practical,1.0
12,99,text,oracle,1.0
12,99,text,practical,1.0
12,99,visual,oracle,1.0
12,99,visual,practical,1.0
12,100,text,oracle,1.0
12,100,text,practical,1.0
12,100,visual,oracle,1.0
12,100,visual,practical,1.0
12,101,text,oracle,1.0
12,101,text,practical,1.0
12,101,visual,oracle,1.0
12,101,visual,practical,1.0
12,105,text,oracle,1.0
12,105,text,practical,1.0
12,105,visual,oracle,1.0
12,105,visual,practical,1.0
12,116,text,oracle,1.0
12,116,text,practical,1.0
12,116,visual,oracle,1.0
12,116,visual,practical,1.0
12,119,text,oracle,1.0
12,119,text,practical,1.0
12,119,visual,oracle,1.0
12,119,visual,practical,1.0
12,126,text,oracle,1.0
12,126,text,practical,1.0
12,126,visual,oracle,1.0
12,126,visual,practical,1.0
24,8,text,oracle,1.0
24,8,text,practical,1.0
24,8,visual,oracle,1.0
24,8,visual,practical,1.0
24,9,text,oracle,1.0
24,9,text,practical,1.0
24,9,visual,oracle,1.0
24,9,visual,practical,1.0
24,17,text,oracle,1.0
24,17,text,practical,1.0
24,17,visual,oracle,1.0
24,17,visual,practical,1.0
24,21,text,oracle,1.0
24,21,text,practical,1.0
24,21,visual,oracle,1.0
24,21,visual,practical,1.0
24,24,text,oracle,1.0
24,24,text,practical,1.0
24,24,visual,oracle,1.0
24,24,visual,practical,1.0
24,49,text,oracle,1.0
24,49,text,practical,1.0
24,49,visual,oracle,1.0
24,49,visual,practical,1.0
24,59,text,oracle,1.0
24,59,text,practical,1.0
24,59,visual,oracle,1.0
24,59,visual,practical,1.0
24,65,text,oracle,1.0
24,65,text,practical,1.0
24,65,visual,oracle,1.0
24,65,visual,practical,1.0
24,85,text,oracle,1.0
24,85,text,practical,1.0
24,85,visual,oracle,1.0
24,85,visual,practical,1.0
24,96,text,oracle,1.0
24,96,text,practical,1.0
24,96,visual,oracle,1.0
24,96,visual,practical,1.0
24,101,text,oracle,1.0
24,101,text,practical,1.0
24,101,visual,oracle,1.0
24,101,visual,practical,1.0
24,105,text,oracle,1.0
24,105,text,practical,1.0
24,105,visual,oracle,1.0
24,105,visual,practical,1.0
24,116,text,oracle,1.0
24,116,text,practical,1.0
24,116,visual,oracle,1.0
24,116,visual,practical,1.0
24,119,text,oracle,1.0
24,119,text,practical,1.0
24,119,visual,oracle,1.0
24,119,visual,practical,1.0
24,126,text,oracle,1.0
24,126,text,practical,1.0
24,126,visual,oracle,1.0
24,126,visual,practical,1.0
36,8,text,oracle,1.0
36,8,text,practical,1.0
36,8,visual,oracle,1.0
36,8,visual,practical,1.0
36,9,text,oracle,1.0
36,9,text,practical,0.75
36,9,visual,oracle,1.0
36,9,visual,practical,1.0
36,15,text,oracle,1.0
36,15,text,practical,1.0
36,15,visual,oracle,1.0
36,15,visual,practical,1.0
36,17,text,oracle,1.0
36,17,text,practical,1.0
36,17,visual,oracle,1.0
36,17,visual,practical,1.0
36,21,text,oracle,1.0
36,21,text,practical,1.0
36,21,visual,oracle,1.0
36,21,visual,practical,1.0
36,32,text,oracle,1.0
36,32,text,practical,1.0
36,32,visual,oracle,1.0
36,32,visual,practical,1.0
36,38,text,oracle,1.0
36,38,text,practical,1.0
36,38,visual,oracle,1.0
36,38,visual,practical,1.0
36,42,text,oracle,1.0
36,42,text,practical,1.0
36,42,visual,oracle,1.0
36,42,visual,practical,1.0
36,46,text,oracle,1.0
36,46,text,practical,1.0
36,46,visual,oracle,1.0
36,46,visual,practical,1.0
36,49,text,oracle,1.0
36,49,text,practical,1.0
36,49,visual,oracle,1.0
36,49,visual,practical,1.0
36,56,text,oracle,1.0
36,56,text,practical,1.0
36,56,visual,oracle,1.0
36,56,visual,practical,1.0
36,65,text,oracle,1.0
36,65,text,practical,1.0
36,65,visual,oracle,1.0
36,65,visual,practical,1.0
36,78,text,oracle,1.0
36,78,text,practical,1.0
36,78,visual,oracle,1.0
36,78,visual,practical,1.0
36,85,text,oracle,1.0
36,85,text,practical,1.0
36,85,visual,oracle,1.0
36,85,visual,practical,1.0
36,96,text,oracle,1.0
36,96,text,practical,1.0
36,96,visual,oracle,1.0
36,96,visual,practical,1.0
36,99,text,oracle,1.0
36,99,text,practical,1.0
36,99,visual,oracle,1.0
36,99,visual,practical,1.0
36,105,text,oracle,0.75
36,105,text,practical,0.75
36,105,visual,oracle,1.0
36,105,visual,practical,1.0
36,116,text,oracle,1.0
36,116,text,practical,1.0
36,116,visual,oracle,1.0
36,116,visual,practical,1.0
36,119,text,oracle,0.75
36,119,text,practical,0.75
36,119,visual,oracle,1.0
36,119,visual,practical,1.0
36,121,text,oracle,1.0
36,121,text,practical,1.0
36,121,visual,oracle,1.0
36,121,visual,practical,1.0
36,126,text,oracle,1.0
36,126,text,practical,1.0
36,126,visual,oracle,1.0
36,126,visual,practical,1.0
44,12,text,oracle,0.75
44,12,text,practical,0.75
44,12,visual,oracle,1.0
44,12,visual,practical,1.0
44,13,text,oracle,1.0
44,13,text,practical,1.0
44,13,visual,oracle,1.0
44,13,visual,practical,1.0
44,14,text,oracle,1.0
44,14,text,practical,1.0
44,14,visual,oracle,1.0
44,14,visual,practical,1.0
44,21,text,oracle,1.0
44,21,text,practical,1.0
44,21,visual,oracle,1.0
44,21,visual,practical,1.0
44,23,text,oracle,1.0
44,23,text,practical,1.0
44,23,visual,oracle,1.0
44,23,visual,practical,1.0
44,25,text,oracle,0.75
44,25,text,practical,0.75
44,25,visual,oracle,1.0
44,25,visual,practical,1.0
44,31,text,oracle,0.75
44,31,text,practical,0.75
44,31,visual,oracle,1.0
44,31,visual,practical,1.0
44,32,text,oracle,1.0
44,32,text,practical,1.0
44,32,visual,oracle,1.0
44,32,visual,practical,1.0
44,47,text,oracle,1.0
44,47,text,practical,1.0
44,47,visual,oracle,1.0
44,47,visual,practical,1.0
44,51,text,oracle,1.0
44,51,text,practical,1.0
44,51,visual,oracle,1.0
44,51,visual,practical,1.0
44,53,text,oracle,1.0
44,53,text,practical,1.0
44,53,visual,oracle,1.0
44,53,visual,practical,1.0
44,60,text,oracle,1.0
44,60,text,practical,1.0
44,60,visual,oracle,1.0
44,60,visual,practical,1.0
44,70,text,oracle,1.0
44,70,text,practical,1.0
44,70,visual,oracle,1.0
44,70,visual,practical,1.0
44,73,text,oracle,1.0
44,73,text,practical,1.0
44,73,visual,oracle,1.0
44,73,visual,practical,1.0
44,80,text,oracle,1.0
44,80,text,practical,1.0
44,80,visual,oracle,1.0
44,80,visual,practical,1.0
44,90,text,oracle,1.0
44,90,text,practical,1.0
44,90,visual,oracle,1.0
44,90,visual,practical,1.0
44,94,text,oracle,1.0
44,94,text,practical,1.0
44,94,visual,oracle,1.0
44,94,visual,practical,1.0
44,98,text,oracle,1.0
44,98,text,practical,1.0
44,98,visual,oracle,1.0
44,98,visual,practical,1.0
44,102,text,oracle,1.0
44,102,text,practical,1.0
44,102,visual,oracle,1.0
44,102,visual,practical,1.0
44,110,text,oracle,1.0
44,110,text,practical,1.0
44,110,visual,oracle,1.0
44,110,visual,practical,1.0
44,121,text,oracle,1.0
44,121,text,practical,1.0
44,121,visual,oracle,1.0
44,121,visual,practical,1.0
44,125,text,oracle,1.0
44,125,text,practical,1.0
44,125,visual,oracle,1.0
44,125,visual,practical,1.0
44,127,text,oracle,1.0
44,127,text,practical,1.0
44,127,visual,oracle,1.0
44,127,visual,practical,1.0
47,2,text,oracle,1.0
47,2,text,practical,1.0
47,2,visual,oracle,1.0
47,2,visual,practical,1.0
47,11,text,oracle,1.0
47,11,text,practical,1.0
47,11,visual,oracle,1.0
47,11,visual,practical,1.0
47,14,text,oracle,1.0
47,14,text,practical,1.0
47,14,visual,oracle,1.0
47,14,visual,practical,1.0
47,15,text,oracle,0.75
47,15,text,practical,1.0
47,15,visual,oracle,1.0
47,15,visual,practical,1.0
47,20,text,oracle,1.0
47,20,text,practical,1.0
47,20,visual,oracle,1.0
47,20,visual,practical,1.0
47,28,text,oracle,0.5
47,28,text,practical,0.5
47,28,visual,oracle,1.0
47,28,visual,practical,1.0
47,31,text,oracle,0.75
47,31,text,practical,0.75
47,31,visual,oracle,1.0
47,31,visual,practical,1.0
47,44,text,oracle,1.0
47,44,text,practical,1.0
47,44,visual,oracle,1.0
47,44,visual,practical,1.0
47,48,text,oracle,0.75
47,48,text,practical,0.75
47,48,visual,oracle,1.0
47,48,visual,practical,1.0
47,54,text,oracle,1.0
47,54,text,practical,1.0
47,54,visual,oracle,1.0
47,54,visual,practical,1.0
47,57,text,oracle,1.0
47,57,text,practical,1.0
47,57,visual,oracle,1.0
47,57,visual,practical,1.0
47,73,text,oracle,1.0
47,73,text,practical,1.0
47,73,visual,oracle,1.0
47,73,visual,practical,1.0
47,77,text,oracle,0.75
47,77,text,practical,0.75
47,77,visual,oracle,1.0
47,77,visual,practical,1.0
47,86,text,oracle,1.0
47,86,text,practical,1.0
47,86,visual,oracle,1.0
47,86,visual,practical,1.0
47,101,text,oracle,1.0
47,101,text,practical,1.0
47,101,visual,oracle,1.0
47,101,visual,practical,1.0
47,105,text,oracle,1.0
47,105,text,practical,1.0
47,105,visual,oracle,1.0
47,105,visual,practical,1.0
47,125,text,oracle,1.0
47,125,text,practical,1.0
47,125,visual,oracle,1.0
47,125,visual,practical,1.0
47,126,text,oracle,1.0
47,126,text,practical,1.0
47,126,visual,oracle,1.0
47,126,visual,practical,1.0
47,127,text,oracle,0.25
47,127,text,practical,0.25
47,127,visual,oracle,1.0
47,127,visual,practical,1.0
