modality,request_id,pair_id,token_bucket,layer,predicted_rank,actual_rank,correct,imbalance_cv
text,text_00_coins,0,small,0,1,1,1,0.05749967841433098
text,text_00_coins,0,small,1,0,2,0,0.2905437668809517
text,text_00_coins,0,small,2,2,3,0,0.15166726271638734
text,text_00_coins,0,small,3,0,2,0,0.20701861711430045
text,text_00_coins,0,small,4,3,3,1,0.10142108937785833
text,text_00_coins,0,small,5,3,3,1,0.06426924359883177
text,text_00_coins,0,small,6,2,0,0,0.34632474413816705
text,text_00_coins,0,small,7,0,3,0,0.13570983664905656
text,text_00_coins,0,small,8,1,2,0,0.3385005353184066
text,text_00_coins,0,small,9,1,3,0,0.2585233442585547
text,text_00_coins,0,small,10,3,2,0,0.1432660040937629
text,text_00_coins,0,small,11,1,3,0,0.0902003030735275
text,text_00_coins,0,small,12,0,3,0,0.277034163987444
text,text_00_coins,0,small,13,0,2,0,0.21689269571951997
text,text_00_coins,0,small,14,0,0,1,0.1788978419931959
text,text_00_coins,0,small,15,1,2,0,0.49247595645382747
text,text_00_coins,0,small,16,0,0,1,0.2372799510028797
text,text_00_coins,0,small,17,1,1,1,0.17975742249869014
text,text_00_coins,0,small,18,0,2,0,0.2054615594412799
text,text_00_coins,0,small,19,3,2,0,0.15792665513575238
text,text_00_coins,0,small,20,1,0,0,0.22605901197423836
text,text_00_coins,0,small,21,0,3,0,0.29552451928191303
text,text_00_coins,0,small,22,3,2,0,0.1261408300836175
text,text_00_coins,0,small,23,0,1,0,0.13602454722746668
text,text_00_coins,0,small,24,0,1,0,0.3072210713263741
text,text_00_coins,0,small,25,0,3,0,0.3023443898539365
text,text_00_coins,0,small,26,0,3,0,0.12434422819526394
text,text_00_coins,0,small,27,0,2,0,0.35120555051322827
text,text_00_coins,0,small,28,0,3,0,0.2746565767372628
text,text_00_coins,0,small,29,1,2,0,0.1413997566872975
text,text_00_coins,0,small,30,0,0,1,0.35260023124910606
text,text_00_coins,0,small,31,0,0,1,0.14634669249910015
text,text_00_coins,0,small,32,0,3,0,0.2933020919444496
text,text_00_coins,0,small,33,2,3,0,0.2025729318704474
text,text_00_coins,0,small,34,3,3,1,0.09401466585831013
text,text_00_coins,0,small,35,0,2,0,0.30720905654077585
text,text_00_coins,0,small,36,0,3,0,0.2691758185680414
text,text_00_coins,0,small,37,0,3,0,0.22320236949446848
text,text_00_coins,0,small,38,3,3,1,0.05618917914896141
text,text_00_coins,0,small,39,1,1,1,0.20818922210406085
text,text_00_coins,0,small,40,3,3,1,0.1388185286547095
text,text_00_coins,0,small,41,1,2,0,0.2565884650810138
text,text_00_coins,0,small,42,0,2,0,0.13595487417025875
text,text_00_coins,0,small,43,2,3,0,0.19733805434408158
text,text_00_coins,0,small,44,0,3,0,0.1599052030336907
text,text_00_coins,0,small,45,0,3,0,0.3067774861939887
text,text_00_coins,0,small,46,0,3,0,0.19253318355751886
text,text_00_coins,0,small,47,0,1,0,0.335686423800888
text,text_01_clock_motion,1,small,0,1,2,0,0.09789684325053857
text,text_01_clock_motion,1,small,1,0,0,1,0.21199442893172257
text,text_01_clock_motion,1,small,2,2,2,1,0.16927062943562604
text,text_01_clock_motion,1,small,3,0,3,0,0.18160103826315332
text,text_01_clock_motion,1,small,4,1,1,1,0.21321754024329537
text,text_01_clock_motion,1,small,5,3,3,1,0.13780280123925187
text,text_01_clock_motion,1,small,6,0,0,1,0.3189612191056574
